season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Marie Adam Leenaerdt,1,https://assets.vogue.com/photos/69a6f273d34aaf50ee468776/master/w_2560%2Cc_limit/00001-marie-adam-leenaerdt-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/marie-adam-leenaerdt
fall-2026-ready-to-wear,Marie Adam Leenaerdt,2,https://assets.vogue.com/photos/69a6f2715fee983aa51233eb/master/w_2560%2Cc_limit/00002-marie-adam-leenaerdt-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/marie-adam-leenaerdt
fall-2026-ready-to-wear,Marie Adam Leenaerdt,3,https://assets.vogue.com/photos/69a6f27f7fe60fdf8f62a022/master/w_2560%2Cc_limit/00003-marie-adam-leenaerdt-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/marie-adam-leenaerdt
fall-2026-ready-to-wear,Marie Adam Leenaerdt,4,https://assets.vogue.com/photos/69a6f27f42e63b8b627669b2/master/w_2560%2Cc_limit/00004-marie-adam-leenaerdt-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/marie-adam-leenaerdt
fall-2026-ready-to-wear,Marie Adam Leenaerdt,5,https://assets.vogue.com/photos/69a6f280d34aaf50ee46877d/master/w_2560%2Cc_limit/00005-marie-adam-leenaerdt-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/marie-adam-leenaerdt
fall-2026-ready-to-wear,Marie Adam Leenaerdt,6,https://assets.vogue.com/photos/69a6f291ea5539abc092d59f/master/w_2560%2Cc_limit/00006-marie-adam-leenaerdt-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/marie-adam-leenaerdt
fall-2026-ready-to-wear,Marie Adam Leenaerdt,7,https://assets.vogue.com/photos/69a991ff60598f0ccee7bd61/master/w_2560%2Cc_limit/00002-marie-adam-leenaerdt-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/marie-adam-leenaerdt
fall-2026-ready-to-wear,Marie Adam Leenaerdt,8,https://assets.vogue.com/photos/69a991ffb0781037f9c62e3f/master/w_2560%2Cc_limit/00001-marie-adam-leenaerdt-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/marie-adam-leenaerdt
fall-2026-ready-to-wear,Marie Adam Leenaerdt,9,https://assets.vogue.com/photos/69a991ffb1b864c281c3d060/master/w_2560%2Cc_limit/00003-marie-adam-leenaerdt-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/marie-adam-leenaerdt
fall-2026-ready-to-wear,Marie Adam Leenaerdt,10,https://assets.vogue.com/photos/69a99202948f5d898740f424/master/w_2560%2Cc_limit/00004-marie-adam-leenaerdt-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/marie-adam-leenaerdt
