season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Marina Moscone,1,https://assets.vogue.com/photos/698dc37bd7d7ffbfb79dbe45/master/w_2560%2Cc_limit/00001-marina-moscone-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/marina-moscone
fall-2026-ready-to-wear,Marina Moscone,2,https://assets.vogue.com/photos/698dc37b0c62710370c53e5d/master/w_2560%2Cc_limit/00002-marina-moscone-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/marina-moscone
fall-2026-ready-to-wear,Marina Moscone,3,https://assets.vogue.com/photos/698dc37bd7d7ffbfb79dbe40/master/w_2560%2Cc_limit/00003-marina-moscone-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/marina-moscone
fall-2026-ready-to-wear,Marina Moscone,4,https://assets.vogue.com/photos/698dc37e9fa5bdad301d3a87/master/w_2560%2Cc_limit/00004-marina-moscone-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/marina-moscone
fall-2026-ready-to-wear,Marina Moscone,5,https://assets.vogue.com/photos/698dc37e6d91638fb2928355/master/w_2560%2Cc_limit/00005-marina-moscone-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/marina-moscone
fall-2026-ready-to-wear,Marina Moscone,6,https://assets.vogue.com/photos/698dc37e248f5d23acb9248b/master/w_2560%2Cc_limit/00006-marina-moscone-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/marina-moscone
fall-2026-ready-to-wear,Marina Moscone,7,https://assets.vogue.com/photos/698dc3c6bb0404914593a9a8/master/w_1280%2Cc_limit/00001-marina-moscone-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/marina-moscone
fall-2026-ready-to-wear,Marina Moscone,8,https://assets.vogue.com/photos/68c51e2886690898d4275307/master/w_1280%2Cc_limit/00001-marina-moscone-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/marina-moscone
fall-2026-ready-to-wear,Marina Moscone,9,https://assets.vogue.com/photos/67a8810b578626049816b774/master/w_1280%2Cc_limit/00001-marina-moscone-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/marina-moscone
fall-2026-ready-to-wear,Marina Moscone,10,https://assets.vogue.com/photos/66da1dbf75004094128908bf/master/w_1280%2Cc_limit/00001-marina-moscone-spring-2025-ready-to-wear-credit-brand.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/marina-moscone
fall-2026-ready-to-wear,Marina Moscone,11,https://assets.vogue.com/photos/65c63b2ea366ade5aa509b64/master/w_1280%2Cc_limit/00001-marina-moscone-fall-2024-ready-to-wear-credit-brand.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/marina-moscone
fall-2026-ready-to-wear,Marina Moscone,12,https://assets.vogue.com/photos/64f5ee6d84851ed9b90879a7/master/w_1280%2Cc_limit/00001-marina-moscone-spring-2024-ready-to-wear-credit-brand.jpg,Spring 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/marina-moscone
