season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Max Mara Atelier,1,https://assets.vogue.com/photos/6a4d02a29707a8e796a5fdf8/master/w_2560%2Cc_limit/00001-max-mara-atelier-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/max-mara-atelier
fall-2026-ready-to-wear,Max Mara Atelier,2,https://assets.vogue.com/photos/6a4d02a1209c3c32b16d84b3/master/w_2560%2Cc_limit/00002-max-mara-atelier-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/max-mara-atelier
fall-2026-ready-to-wear,Max Mara Atelier,3,https://assets.vogue.com/photos/6a4d02a238860e0d7de19ab8/master/w_2560%2Cc_limit/00003-max-mara-atelier-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/max-mara-atelier
fall-2026-ready-to-wear,Max Mara Atelier,4,https://assets.vogue.com/photos/6a4d02a41eba9bbc71cfd278/master/w_2560%2Cc_limit/00004-max-mara-atelier-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/max-mara-atelier
fall-2026-ready-to-wear,Max Mara Atelier,5,https://assets.vogue.com/photos/6a4d02a449130aec6f9d7aac/master/w_2560%2Cc_limit/00005-max-mara-atelier-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/max-mara-atelier
fall-2026-ready-to-wear,Max Mara Atelier,6,https://assets.vogue.com/photos/6a4d02a41032c87c253f9324/master/w_2560%2Cc_limit/00006-max-mara-atelier-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/max-mara-atelier
fall-2026-ready-to-wear,Max Mara Atelier,7,https://assets.vogue.com/photos/6a4d02399707a8e796a5fde9/master/w_2560%2Cc_limit/00001a-max-mara-atelier-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/max-mara-atelier
fall-2026-ready-to-wear,Max Mara Atelier,8,https://assets.vogue.com/photos/6a4d0239d6d2481c35bf21ca/master/w_2560%2Cc_limit/00003a-max-mara-atelier-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/max-mara-atelier
fall-2026-ready-to-wear,Max Mara Atelier,9,https://assets.vogue.com/photos/6a4d02fe2888dc153e5e7f6f/master/w_1280%2Cc_limit/00001-max-mara-atelier-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/max-mara-atelier
fall-2026-ready-to-wear,Max Mara Atelier,10,https://assets.vogue.com/photos/685c0a9e54f335b3e9920304/master/w_1280%2Cc_limit/00001-max-mara-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/max-mara-atelier
fall-2026-ready-to-wear,Max Mara Atelier,11,https://assets.vogue.com/photos/66706c18492e4258344d82d0/master/w_1280%2Cc_limit/00001-max-mara-atelier-fall-2024-ready-to-wear-credit-brand.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/max-mara-atelier
fall-2026-ready-to-wear,Max Mara Atelier,12,https://assets.vogue.com/photos/63fbaacec68cd7f1c7b0176b/master/w_1280%2Cc_limit/00001-max-mara-atelier-fall-2023-ready-to-wear-credit-brand.jpg,Fall 2023 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/max-mara-atelier
fall-2026-ready-to-wear,Max Mara Atelier,13,https://assets.vogue.com/photos/621b7779c9817de64e9a2134/master/w_1280%2Cc_limit/00001-max-mara-atelier-fall-22-ready-to-wear-credit-brand.jpg,Fall 2022 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/max-mara-atelier
fall-2026-ready-to-wear,Max Mara Atelier,14,https://assets.vogue.com/photos/607ffca12f96b118c6f8e64d/master/w_1280%2Cc_limit/00001-MAX-MARA-ATELIER-FALL-21.jpg,Fall 2021 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/max-mara-atelier
