season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Maxhosa,1,https://assets.vogue.com/photos/69ade242560c65016c7e48ff/master/w_2560%2Cc_limit/00001-maxhosa-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/maxhosa
fall-2026-ready-to-wear,Maxhosa,2,https://assets.vogue.com/photos/69ade242af13223b2ae9b392/master/w_2560%2Cc_limit/00002-maxhosa-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/maxhosa
fall-2026-ready-to-wear,Maxhosa,3,https://assets.vogue.com/photos/69ade2421668c81375cde87b/master/w_2560%2Cc_limit/00003-maxhosa-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/maxhosa
fall-2026-ready-to-wear,Maxhosa,4,https://assets.vogue.com/photos/69ade245d2e158b3fa5d545f/master/w_2560%2Cc_limit/00004-maxhosa-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/maxhosa
fall-2026-ready-to-wear,Maxhosa,5,https://assets.vogue.com/photos/69ade24513cea2309f24b8be/master/w_2560%2Cc_limit/00005-maxhosa-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/maxhosa
fall-2026-ready-to-wear,Maxhosa,6,https://assets.vogue.com/photos/69ade245ecb30fa1d685ca1b/master/w_2560%2Cc_limit/00006-maxhosa-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/maxhosa
fall-2026-ready-to-wear,Maxhosa,7,https://assets.vogue.com/photos/69ade2aceba30e816974f378/master/w_1280%2Cc_limit/00001-maxhosa-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/maxhosa
fall-2026-ready-to-wear,Maxhosa,8,https://assets.vogue.com/photos/68e184d95d2354609a44a641/master/w_1280%2Cc_limit/00001-maxhosa-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/maxhosa
fall-2026-ready-to-wear,Maxhosa,9,https://assets.vogue.com/photos/67ccab92917ffb640fe90f2e/master/w_1280%2Cc_limit/00001-maxhosa-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/maxhosa
fall-2026-ready-to-wear,Maxhosa,10,https://assets.vogue.com/photos/66f729798c1d8fdb542aff97/master/w_1280%2Cc_limit/00001-maxhosa-spring-2025-ready-to-wear-credit-brand.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/maxhosa
fall-2026-ready-to-wear,Maxhosa,11,https://assets.vogue.com/photos/65e4f0c9c37f4559cfac68ac/master/w_1280%2Cc_limit/00001-maxhose-fall-2024-ready-to-wear-credit-brand.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/maxhosa
