season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Mithridate,1,https://assets.vogue.com/photos/6998d70949927f5b8bb1140a/master/w_2560%2Cc_limit/00001-mithridate-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/mithridate
fall-2026-ready-to-wear,Mithridate,2,https://assets.vogue.com/photos/6998d70a316e9f07b8e9f152/master/w_2560%2Cc_limit/00002-mithridate-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/mithridate
fall-2026-ready-to-wear,Mithridate,3,https://assets.vogue.com/photos/6998d7098be854bfc4756919/master/w_2560%2Cc_limit/00003-mithridate-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/mithridate
fall-2026-ready-to-wear,Mithridate,4,https://assets.vogue.com/photos/6998d70d14164e33acd67f68/master/w_2560%2Cc_limit/00004-mithridate-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/mithridate
fall-2026-ready-to-wear,Mithridate,5,https://assets.vogue.com/photos/6998d70d14164e33acd67f6d/master/w_2560%2Cc_limit/00005-mithridate-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/mithridate
fall-2026-ready-to-wear,Mithridate,6,https://assets.vogue.com/photos/6998d70dd3ee6167fc393e58/master/w_2560%2Cc_limit/00006-mithridate-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/mithridate
fall-2026-ready-to-wear,Mithridate,7,https://assets.vogue.com/photos/6998d6b0874bd4deec8e9050/master/w_1280%2Cc_limit/00001-mithridate-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/mithridate
fall-2026-ready-to-wear,Mithridate,8,https://assets.vogue.com/photos/68cd3f0ab89a5ecf95544826/master/w_1280%2Cc_limit/00001-mithridate-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/mithridate
fall-2026-ready-to-wear,Mithridate,9,https://assets.vogue.com/photos/66e72d65b771360699d0aa8b/master/w_1280%2Cc_limit/00001-spon-mithridate-spring-2025-ready-to-wear-credit-brand.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/mithridate
fall-2026-ready-to-wear,Mithridate,10,https://assets.vogue.com/photos/65d1cf2d0d9a7a9dc79c208c/master/w_1280%2Cc_limit/00001-mithridate-fall-2024-ready-to-wear-credit-brand-spon.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/mithridate
fall-2026-ready-to-wear,Mithridate,11,https://assets.vogue.com/photos/6504505c1aa8eb01c917f5c0/master/w_1280%2Cc_limit/00001-mithridate-spring-2024-ready-to-wear-credit-brand-spon.JPG,Spring 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/mithridate
fall-2026-ready-to-wear,Mithridate,12,https://assets.vogue.com/photos/63ef9e16f0d7b9b88e4fd7b6/master/w_1280%2Cc_limit/00001-mithridate-fall-2023-ready-to-wear-credit-brand-spon.jpg,Fall 2023 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/mithridate
