season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Miu Miu,1,https://assets.vogue.com/photos/69b04b065dbae37d351ac30f/master/w_2560%2Cc_limit/00001-miu-miu-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/miu-miu
fall-2026-ready-to-wear,Miu Miu,2,https://assets.vogue.com/photos/69b04b067ec72fc6089b810d/master/w_2560%2Cc_limit/00002-miu-miu-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/miu-miu
fall-2026-ready-to-wear,Miu Miu,3,https://assets.vogue.com/photos/69b04b07dcfafd819beb0808/master/w_2560%2Cc_limit/00003-miu-miu-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/miu-miu
fall-2026-ready-to-wear,Miu Miu,4,https://assets.vogue.com/photos/69b04b097ec72fc6089b8114/master/w_2560%2Cc_limit/00004-miu-miu-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/miu-miu
fall-2026-ready-to-wear,Miu Miu,5,https://assets.vogue.com/photos/69b04b0a029ae321775d2166/master/w_2560%2Cc_limit/00005-miu-miu-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/miu-miu
fall-2026-ready-to-wear,Miu Miu,6,https://assets.vogue.com/photos/69b04b0abdca1343b58f43ea/master/w_2560%2Cc_limit/00006-miu-miu-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/miu-miu
fall-2026-ready-to-wear,Miu Miu,7,https://assets.vogue.com/photos/69b04b0cac0c35736e152ab8/master/w_2560%2Cc_limit/00007-miu-miu-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 7,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/miu-miu
fall-2026-ready-to-wear,Miu Miu,8,https://assets.vogue.com/photos/69b04b0d4bf7d239c8ba3e0f/master/w_2560%2Cc_limit/00008-miu-miu-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 8,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/miu-miu
fall-2026-ready-to-wear,Miu Miu,9,https://assets.vogue.com/photos/69b05371c5d1d166ef5e96df/master/w_2560%2Cc_limit/00001-miu-miu-fall-2026-ready-to-wear-details-credit-gorunway.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/miu-miu
fall-2026-ready-to-wear,Miu Miu,10,https://assets.vogue.com/photos/69b05371be586ea331b6abe0/master/w_2560%2Cc_limit/00002-miu-miu-fall-2026-ready-to-wear-details-credit-gorunway.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/miu-miu
fall-2026-ready-to-wear,Miu Miu,11,https://assets.vogue.com/photos/69b05371d96792228ad1c8e5/master/w_2560%2Cc_limit/00003-miu-miu-fall-2026-ready-to-wear-details-credit-gorunway.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/miu-miu
fall-2026-ready-to-wear,Miu Miu,12,https://assets.vogue.com/photos/69b053757f390448ffd899db/master/w_2560%2Cc_limit/00004-miu-miu-fall-2026-ready-to-wear-details-credit-gorunway.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/miu-miu
fall-2026-ready-to-wear,Miu Miu,13,https://assets.vogue.com/photos/69b0537512ea888efe5c976f/master/w_2560%2Cc_limit/00005-miu-miu-fall-2026-ready-to-wear-details-credit-gorunway.jpg,Detail Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/miu-miu
