season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Moncler Grenoble,1,https://assets.vogue.com/photos/697f74167c91a8cf1f9126f1/master/w_2560%2Cc_limit/00001-moncler-grenoble-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/moncler-grenoble
fall-2026-ready-to-wear,Moncler Grenoble,2,https://assets.vogue.com/photos/697f74162cb2e0dd3e03a3dd/master/w_2560%2Cc_limit/00002-moncler-grenoble-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/moncler-grenoble
fall-2026-ready-to-wear,Moncler Grenoble,3,https://assets.vogue.com/photos/697f741676009619f486a772/master/w_2560%2Cc_limit/00003-moncler-grenoble-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/moncler-grenoble
fall-2026-ready-to-wear,Moncler Grenoble,4,https://assets.vogue.com/photos/697f74192c022eb2c3286bc6/master/w_2560%2Cc_limit/00004-moncler-grenoble-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/moncler-grenoble
fall-2026-ready-to-wear,Moncler Grenoble,5,https://assets.vogue.com/photos/697f74192c022eb2c3286bc8/master/w_2560%2Cc_limit/00005-moncler-grenoble-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/moncler-grenoble
fall-2026-ready-to-wear,Moncler Grenoble,6,https://assets.vogue.com/photos/697f7419cf540b11de8ff941/master/w_2560%2Cc_limit/00006-moncler-grenoble-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/moncler-grenoble
fall-2026-ready-to-wear,Moncler Grenoble,7,https://assets.vogue.com/photos/697f74d6000746bc3b0168d6/master/w_1280%2Cc_limit/00001-moncler-grenoble-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/moncler-grenoble
fall-2026-ready-to-wear,Moncler Grenoble,8,https://assets.vogue.com/photos/67d6d4bba1678ea5b73f6870/master/w_1280%2Cc_limit/00001-moncler-grenoble-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/moncler-grenoble
fall-2026-ready-to-wear,Moncler Grenoble,9,https://assets.vogue.com/photos/65bfa7c6f160138d0ba2226a/master/w_1280%2Cc_limit/00001-moncler-grenoble-fall-2024-ready-to-wear-credit-brand.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/moncler-grenoble
fall-2026-ready-to-wear,Moncler Grenoble,10,https://assets.vogue.com/photos/58a3998bca21e79601811cbc/master/w_1280%2Cc_limit/01-moncler-grenoble-fall-2017.jpg,Fall 2017 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/moncler-grenoble
fall-2026-ready-to-wear,Moncler Grenoble,11,https://assets.vogue.com/photos/56c002b33edb6edd749a19a8/master/w_1280%2Cc_limit/DSC001_LUC3286.jpg,Fall 2016 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/moncler-grenoble
fall-2026-ready-to-wear,Moncler Grenoble,12,https://assets.vogue.com/photos/55c651d608298d8be228fda6/master/w_1280%2Cc_limit/001-Moncler-Grenoble-1366.jpg,Fall 2015 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/moncler-grenoble
