season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Nihl,1,https://assets.vogue.com/photos/698c4ada699d333567d1ed55/master/w_2560%2Cc_limit/00001-nihl-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/nihl
fall-2026-ready-to-wear,Nihl,2,https://assets.vogue.com/photos/698c4ada525b148bb9163284/master/w_2560%2Cc_limit/00002-nihl-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/nihl
fall-2026-ready-to-wear,Nihl,3,https://assets.vogue.com/photos/698c4adb3cd28a900a38b29f/master/w_2560%2Cc_limit/00003-nihl-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/nihl
fall-2026-ready-to-wear,Nihl,4,https://assets.vogue.com/photos/698c4ade9923e0a98c5b23b1/master/w_2560%2Cc_limit/00004-nihl-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/nihl
fall-2026-ready-to-wear,Nihl,5,https://assets.vogue.com/photos/698c4adf9254c67a18f98b4e/master/w_2560%2Cc_limit/00005-nihl-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/nihl
fall-2026-ready-to-wear,Nihl,6,https://assets.vogue.com/photos/698c4adfc7f32488d87ccccf/master/w_2560%2Cc_limit/00006-nihl-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/nihl
fall-2026-ready-to-wear,Nihl,7,https://assets.vogue.com/photos/698c4acd3040dea3bd0b02af/master/w_1280%2Cc_limit/00001-nihl-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/nihl
fall-2026-ready-to-wear,Nihl,8,https://assets.vogue.com/photos/68c7665122649d2eb9425eba/master/w_1280%2Cc_limit/00001-nihl-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/nihl
fall-2026-ready-to-wear,Nihl,9,https://assets.vogue.com/photos/67a666b2b636edc175618660/master/w_1280%2Cc_limit/00001-nihl-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/nihl
fall-2026-ready-to-wear,Nihl,10,https://assets.vogue.com/photos/66dddef3e90ee1b5c34e7563/master/w_1280%2Cc_limit/00001-nihl-spring-2025-ready-to-wear-credit-brand.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/nihl
fall-2026-ready-to-wear,Nihl,11,https://assets.vogue.com/photos/65c8cb6fca2e6a18a62c72e4/master/w_1280%2Cc_limit/00001-nihl-fall-2024-mens-credit-brand.jpg,Fall 2024 Menswear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/nihl
fall-2026-ready-to-wear,Nihl,12,https://assets.vogue.com/photos/64fe39a8ec8a1ef03496e30d/master/w_1280%2Cc_limit/00001-nihl-spring-2024-menswear-credit-brand.jpg,Spring 2024 Menswear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/nihl
