season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Nili Lotan,1,https://assets.vogue.com/photos/6994bc51dc5128f3b5d70a31/master/w_2560%2Cc_limit/00001-nili-lotan-fall-2026-ready-to-wear-credit-brand.JPG,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/nili-lotan
fall-2026-ready-to-wear,Nili Lotan,2,https://assets.vogue.com/photos/6994bc526f7451d9fe30e999/master/w_2560%2Cc_limit/00002-nili-lotan-fall-2026-ready-to-wear-credit-brand.JPG,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/nili-lotan
fall-2026-ready-to-wear,Nili Lotan,3,https://assets.vogue.com/photos/6994bc52b54ee27a236baac9/master/w_2560%2Cc_limit/00003-nili-lotan-fall-2026-ready-to-wear-credit-brand.JPG,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/nili-lotan
fall-2026-ready-to-wear,Nili Lotan,4,https://assets.vogue.com/photos/6994bc54d999a14279d026c4/master/w_2560%2Cc_limit/00004-nili-lotan-fall-2026-ready-to-wear-credit-brand.JPG,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/nili-lotan
fall-2026-ready-to-wear,Nili Lotan,5,https://assets.vogue.com/photos/6994bc55d72633af45b05677/master/w_2560%2Cc_limit/00005-nili-lotan-fall-2026-ready-to-wear-credit-brand.JPG,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/nili-lotan
fall-2026-ready-to-wear,Nili Lotan,6,https://assets.vogue.com/photos/6994bc55a2a41cb4f5a027c4/master/w_2560%2Cc_limit/00006-nili-lotan-fall-2026-ready-to-wear-credit-brand.JPG,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/nili-lotan
fall-2026-ready-to-wear,Nili Lotan,7,https://assets.vogue.com/photos/6994bca7d3ae360f336bbbb4/master/w_1280%2Cc_limit/00001-nili-lotan-fall-2026-ready-to-wear-credit-brand.JPG,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/nili-lotan
fall-2026-ready-to-wear,Nili Lotan,8,https://assets.vogue.com/photos/69301693504fbe9c49ee9490/master/w_1280%2Cc_limit/00001-nili-lotan-pre-fall-2026-credit-brand.JPG,Pre-Fall 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/nili-lotan
fall-2026-ready-to-wear,Nili Lotan,9,https://assets.vogue.com/photos/68c81ba061ffe411a8203b38/master/w_1280%2Cc_limit/00001-nili-lotan-spring-2026-ready-to-wear-credit-brand.JPG,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/nili-lotan
fall-2026-ready-to-wear,Nili Lotan,10,https://assets.vogue.com/photos/68471398a9fea55ae818c193/master/w_1280%2Cc_limit/00001-nili-lotan-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/nili-lotan
fall-2026-ready-to-wear,Nili Lotan,11,https://assets.vogue.com/photos/67a24abab4089f49d6f7f8b3/master/w_1280%2Cc_limit/00001-nili-lotan-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/nili-lotan
fall-2026-ready-to-wear,Nili Lotan,12,https://assets.vogue.com/photos/6749e76bdafa23221c7d3720/master/w_1280%2Cc_limit/00001-nili-lotan-pre-fall-2025-ready-to-wear-credit-brand.jpg,Pre-Fall 2025,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/nili-lotan
