season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Ottolinger,1,https://assets.vogue.com/photos/69add73fca813ebd625a48ed/master/w_2560%2Cc_limit/00001-ottolinger-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ottolinger
fall-2026-ready-to-wear,Ottolinger,2,https://assets.vogue.com/photos/69add73f13cea2309f24b890/master/w_2560%2Cc_limit/00002-ottolinger-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ottolinger
fall-2026-ready-to-wear,Ottolinger,3,https://assets.vogue.com/photos/69add73f13cea2309f24b88e/master/w_2560%2Cc_limit/00003-ottolinger-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ottolinger
fall-2026-ready-to-wear,Ottolinger,4,https://assets.vogue.com/photos/69add74121068f21b7e6539f/master/w_2560%2Cc_limit/00004-ottolinger-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ottolinger
fall-2026-ready-to-wear,Ottolinger,5,https://assets.vogue.com/photos/69add7426a5ccf690089f8ce/master/w_2560%2Cc_limit/00005-ottolinger-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ottolinger
fall-2026-ready-to-wear,Ottolinger,6,https://assets.vogue.com/photos/69add7426e47df2bce8dfa22/master/w_2560%2Cc_limit/00006-ottolinger-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ottolinger
fall-2026-ready-to-wear,Ottolinger,7,https://assets.vogue.com/photos/69add7c467c8c71e40930c66/master/w_1280%2Cc_limit/00001-ottolinger-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ottolinger
fall-2026-ready-to-wear,Ottolinger,8,https://assets.vogue.com/photos/68e2ac20aabe601ddb9cbee5/master/w_1280%2Cc_limit/00001-ottolinger-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ottolinger
fall-2026-ready-to-wear,Ottolinger,9,https://assets.vogue.com/photos/68e782533c7acf5b74e4d30a/master/w_1280%2Cc_limit/00001-ottolinger-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ottolinger
fall-2026-ready-to-wear,Ottolinger,10,https://assets.vogue.com/photos/67cde482faf247918d966c19/master/w_1280%2Cc_limit/00001-ottolinger-fall-2025-ready-to-wear-credit-gorunway.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ottolinger
fall-2026-ready-to-wear,Ottolinger,11,https://assets.vogue.com/photos/66f98c75028069a62c93bf5c/master/w_1280%2Cc_limit/00001-ottolinger-spring-2025-ready-to-wear-credit-gorunway.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ottolinger
fall-2026-ready-to-wear,Ottolinger,12,https://assets.vogue.com/photos/6682d5a64e0c65677e79ffad/master/w_1280%2Cc_limit/00001-ottolinger-resort-2025-credit-brand.jpg,Resort 2025,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ottolinger
