season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Our Legacy,1,https://assets.vogue.com/photos/696fe245604173444b639235/master/w_2560%2Cc_limit/00001-our-legacy-fall-2026-ready-to-wear-credit-lo-vahlstrom-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/our-legacy
fall-2026-ready-to-wear,Our Legacy,2,https://assets.vogue.com/photos/696fe245c4ffc7f2ead612c2/master/w_2560%2Cc_limit/00002-our-legacy-fall-2026-ready-to-wear-credit-lo-vahlstrom-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/our-legacy
fall-2026-ready-to-wear,Our Legacy,3,https://assets.vogue.com/photos/696fe240ff54c0289aa74347/master/w_2560%2Cc_limit/00003-our-legacy-fall-2026-ready-to-wear-credit-lo-vahlstrom-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/our-legacy
fall-2026-ready-to-wear,Our Legacy,4,https://assets.vogue.com/photos/696fe2477d4a87282081c16e/master/w_2560%2Cc_limit/00004-our-legacy-fall-2026-ready-to-wear-credit-lo-vahlstrom-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/our-legacy
fall-2026-ready-to-wear,Our Legacy,5,https://assets.vogue.com/photos/696fe24cf04db3c3f50a42b9/master/w_2560%2Cc_limit/00005-our-legacy-fall-2026-ready-to-wear-credit-lo-vahlstrom-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/our-legacy
fall-2026-ready-to-wear,Our Legacy,6,https://assets.vogue.com/photos/696fe24aec77c0a0431e55d2/master/w_2560%2Cc_limit/00006-our-legacy-fall-2026-ready-to-wear-credit-lo-vahlstrom-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/our-legacy
fall-2026-ready-to-wear,Our Legacy,7,https://assets.vogue.com/photos/696fe435c14518ab3e0a1cea/master/w_2560%2Cc_limit/00001-our-legacy-fall-2026-ready-to-wear-details-credit-lo-vahlstrom-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/our-legacy
fall-2026-ready-to-wear,Our Legacy,8,https://assets.vogue.com/photos/696fe438f04db3c3f50a42c0/master/w_2560%2Cc_limit/00002-our-legacy-fall-2026-ready-to-wear-details-credit-lo-vahlstrom-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/our-legacy
fall-2026-ready-to-wear,Our Legacy,9,https://assets.vogue.com/photos/696fe4386fdb7b116a635f9a/master/w_2560%2Cc_limit/00003-our-legacy-fall-2026-ready-to-wear-details-credit-lo-vahlstrom-brand.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/our-legacy
fall-2026-ready-to-wear,Our Legacy,10,https://assets.vogue.com/photos/696fe4399230f9312c7b8cd0/master/w_2560%2Cc_limit/00004-our-legacy-fall-2026-ready-to-wear-details-credit-lo-vahlstrom-brand.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/our-legacy
fall-2026-ready-to-wear,Our Legacy,11,https://assets.vogue.com/photos/696fe43cad6ea3ab07e88be3/master/w_2560%2Cc_limit/00005-our-legacy-fall-2026-ready-to-wear-details-credit-lo-vahlstrom-brand.jpg,Detail Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/our-legacy
fall-2026-ready-to-wear,Our Legacy,12,https://assets.vogue.com/photos/696fe43e4e96e2bd8e864475/master/w_2560%2Cc_limit/00006-our-legacy-fall-2026-ready-to-wear-details-credit-lo-vahlstrom-brand.jpg,Detail Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/our-legacy
fall-2026-ready-to-wear,Our Legacy,13,https://assets.vogue.com/photos/696fe047b09b27c365114b52/master/w_1280%2Cc_limit/00002-our-legacy-fall-2026-menswear-credit-lo-vahlstrom-brand.jpg,Fall 2026 Menswear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/our-legacy
fall-2026-ready-to-wear,Our Legacy,14,https://assets.vogue.com/photos/696fe69a4f78343b57d8eac6/master/w_1280%2Cc_limit/00001-our-legacy-fall-2026-ready-to-wear-credit-lo-vahlstrom-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/our-legacy
fall-2026-ready-to-wear,Our Legacy,15,https://assets.vogue.com/photos/68528c179684cab810add3b5/master/w_1280%2Cc_limit/00001-our-legacy-spring-2026-ready-to-wear-credit-lo-vahlstrom.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/our-legacy
fall-2026-ready-to-wear,Our Legacy,16,https://assets.vogue.com/photos/6852960a52a4ea9ef1d04eae/master/w_1280%2Cc_limit/00001-our-legacy-spring-2026-menswear-credit-lo-vahlstrom.jpg,Spring 2026 Menswear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/our-legacy
fall-2026-ready-to-wear,Our Legacy,17,https://assets.vogue.com/photos/678b81054baee3d93c569ef0/master/w_1280%2Cc_limit/00001-our-legacy-fall-2025-menswear-credit-ola-rindal-brand.jpg,Fall 2025 Menswear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/our-legacy
fall-2026-ready-to-wear,Our Legacy,18,https://assets.vogue.com/photos/678cdeb05ae664c7a9fa7b88/master/w_1280%2Cc_limit/00001-our-legacy-fall-2025-ready-to-wear-credit-ola-rindal-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/our-legacy
