season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Pauline Dujancourt,1,https://assets.vogue.com/photos/699af8a48ec7ba26cb17e0e0/master/w_2560%2Cc_limit/00001-pauline-dujancourt-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/pauline-dujancourt
fall-2026-ready-to-wear,Pauline Dujancourt,2,https://assets.vogue.com/photos/699af8a7051bb62ba57b2479/master/w_2560%2Cc_limit/00002-pauline-dujancourt-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/pauline-dujancourt
fall-2026-ready-to-wear,Pauline Dujancourt,3,https://assets.vogue.com/photos/699af8a9659c39d236f0b039/master/w_2560%2Cc_limit/00003-pauline-dujancourt-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/pauline-dujancourt
fall-2026-ready-to-wear,Pauline Dujancourt,4,https://assets.vogue.com/photos/699af8ac85ba1bdcbb34c44a/master/w_2560%2Cc_limit/00004-pauline-dujancourt-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/pauline-dujancourt
fall-2026-ready-to-wear,Pauline Dujancourt,5,https://assets.vogue.com/photos/699af8b79464cb0836d63e1c/master/w_2560%2Cc_limit/00005-pauline-dujancourt-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/pauline-dujancourt
fall-2026-ready-to-wear,Pauline Dujancourt,6,https://assets.vogue.com/photos/699af8b2d9ccd085aa11bb18/master/w_2560%2Cc_limit/00006-pauline-dujancourt-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/pauline-dujancourt
fall-2026-ready-to-wear,Pauline Dujancourt,7,https://assets.vogue.com/photos/699af8599673368ba2799e96/master/w_1280%2Cc_limit/00001-pauline-dujancourt-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/pauline-dujancourt
fall-2026-ready-to-wear,Pauline Dujancourt,8,https://assets.vogue.com/photos/68cf247c4e2766a226a06e6b/master/w_1280%2Cc_limit/00001-pauline-dujancourt-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/pauline-dujancourt
fall-2026-ready-to-wear,Pauline Dujancourt,9,https://assets.vogue.com/photos/67ba495ab546706fd2f3b0d9/master/w_1280%2Cc_limit/00001-pauline-dujancourt-fall-2025-ready-to-wear-credit-gorunway.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/pauline-dujancourt
fall-2026-ready-to-wear,Pauline Dujancourt,10,https://assets.vogue.com/photos/66e93a35781e24d78c9d96f4/master/w_1280%2Cc_limit/00001-pauline-dujancourt-spring-2025-ready-to-wear-credit-brand.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/pauline-dujancourt
