season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Petar Petrov,1,https://assets.vogue.com/photos/69a1f003fe8966f5dc8d87e2/master/w_2560%2Cc_limit/00001-petar-petrov-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/petar-petrov
fall-2026-ready-to-wear,Petar Petrov,2,https://assets.vogue.com/photos/69a1f002aec408aa85bcc184/master/w_2560%2Cc_limit/00002-petar-petrov-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/petar-petrov
fall-2026-ready-to-wear,Petar Petrov,3,https://assets.vogue.com/photos/69a1f003b8d4374e1dfbdc72/master/w_2560%2Cc_limit/00003-petar-petrov-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/petar-petrov
fall-2026-ready-to-wear,Petar Petrov,4,https://assets.vogue.com/photos/69a1f005987928755bd89efc/master/w_2560%2Cc_limit/00004-petar-petrov-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/petar-petrov
fall-2026-ready-to-wear,Petar Petrov,5,https://assets.vogue.com/photos/69a1f006ce691654f522966b/master/w_2560%2Cc_limit/00005-petar-petrov-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/petar-petrov
fall-2026-ready-to-wear,Petar Petrov,6,https://assets.vogue.com/photos/69a1f0065ff71da531bb9e42/master/w_2560%2Cc_limit/00006-petar-petrov-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/petar-petrov
fall-2026-ready-to-wear,Petar Petrov,7,https://assets.vogue.com/photos/69a1f06000e6b8b985162431/master/w_1280%2Cc_limit/00001-petar-petrov-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/petar-petrov
fall-2026-ready-to-wear,Petar Petrov,8,https://assets.vogue.com/photos/68d7dddac05b52e766f03cf1/master/w_1280%2Cc_limit/00001-petar-petrov-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/petar-petrov
fall-2026-ready-to-wear,Petar Petrov,9,https://assets.vogue.com/photos/67c1819f3657e3b2e14771b8/master/w_1280%2Cc_limit/00001-petar-petrov-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/petar-petrov
fall-2026-ready-to-wear,Petar Petrov,10,https://assets.vogue.com/photos/66e4528013cd659c01943a73/master/w_1280%2Cc_limit/00001-petar-petrov-spring-2025-ready-to-wear-credit-andrea-spotorno.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/petar-petrov
fall-2026-ready-to-wear,Petar Petrov,11,https://assets.vogue.com/photos/65d4a2aef0986e229529a35c/master/w_1280%2Cc_limit/00001-petar-petrov-fall-2024-ready-to-wear-credit-brand.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/petar-petrov
fall-2026-ready-to-wear,Petar Petrov,12,https://assets.vogue.com/photos/6513467a983289cea2a85a58/master/w_1280%2Cc_limit/00001-petar-petrov-spring-2024-ready-to-wear-credit-brand.jpg,Spring 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/petar-petrov
