season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Prabal Gurung,1,https://assets.vogue.com/photos/69910e125fd0b37676877d91/master/w_2560%2Cc_limit/00001-prabal-gurung-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/prabal-gurung
fall-2026-ready-to-wear,Prabal Gurung,2,https://assets.vogue.com/photos/69910e11780cbb4c570ecc41/master/w_2560%2Cc_limit/00002-prabal-gurung-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/prabal-gurung
fall-2026-ready-to-wear,Prabal Gurung,3,https://assets.vogue.com/photos/69910e1179f027233997c86f/master/w_2560%2Cc_limit/00003-prabal-gurung-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/prabal-gurung
fall-2026-ready-to-wear,Prabal Gurung,4,https://assets.vogue.com/photos/69910e14f5a3bc8fb7d21ba1/master/w_2560%2Cc_limit/00004-prabal-gurung-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/prabal-gurung
fall-2026-ready-to-wear,Prabal Gurung,5,https://assets.vogue.com/photos/69910e14ae160b990ef125d5/master/w_2560%2Cc_limit/00005-prabal-gurung-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/prabal-gurung
fall-2026-ready-to-wear,Prabal Gurung,6,https://assets.vogue.com/photos/69910e1522c9a84ade0ef9ef/master/w_2560%2Cc_limit/00006-prabal-gurung-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/prabal-gurung
fall-2026-ready-to-wear,Prabal Gurung,7,https://assets.vogue.com/photos/69910ebc3a4fa7130fdd6616/master/w_1280%2Cc_limit/00001-prabal-gurung-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/prabal-gurung
fall-2026-ready-to-wear,Prabal Gurung,8,https://assets.vogue.com/photos/68c5f9d9c731be0422fe8432/master/w_1280%2Cc_limit/00001-prabal-gurung-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/prabal-gurung
fall-2026-ready-to-wear,Prabal Gurung,9,https://assets.vogue.com/photos/67a800618e83b459a651072e/master/w_1280%2Cc_limit/00001-prabal-gurung-fall-2025-ready-to-wear-credit-gorunway.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/prabal-gurung
fall-2026-ready-to-wear,Prabal Gurung,10,https://assets.vogue.com/photos/66dca8d17e8a2a0fe6bd3620/master/w_1280%2Cc_limit/00001-prabal-gurung-spring-2025-ready-to-wear-credit-gorunway.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/prabal-gurung
fall-2026-ready-to-wear,Prabal Gurung,11,https://assets.vogue.com/photos/65c757cdca2e6a18a62c724b/master/w_1280%2Cc_limit/00001-prabal-gurung-fall-2024-ready-to-wear-credit-gorunway.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/prabal-gurung
fall-2026-ready-to-wear,Prabal Gurung,12,https://assets.vogue.com/photos/64fbceb2b668f782d861fedd/master/w_1280%2Cc_limit/00001-prabal-gurung-spring-2024-ready-to-wear-credit-gorunway.jpg,Spring 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/prabal-gurung
