season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Priscavera,1,https://assets.vogue.com/photos/69c4fd45685c444495c1a0c8/master/w_2560%2Cc_limit/00001-priscavera-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/priscavera
fall-2026-ready-to-wear,Priscavera,2,https://assets.vogue.com/photos/69c4fd45dad2db49699eacbe/master/w_2560%2Cc_limit/00002-priscavera-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/priscavera
fall-2026-ready-to-wear,Priscavera,3,https://assets.vogue.com/photos/69c4fd47aa67f0ec2a4cb80d/master/w_2560%2Cc_limit/00003-priscavera-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/priscavera
fall-2026-ready-to-wear,Priscavera,4,https://assets.vogue.com/photos/69c4fd4a25f107fd6cc8c6dd/master/w_2560%2Cc_limit/00004-priscavera-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/priscavera
fall-2026-ready-to-wear,Priscavera,5,https://assets.vogue.com/photos/69c4fd4b817d60de26566620/master/w_2560%2Cc_limit/00005-priscavera-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/priscavera
fall-2026-ready-to-wear,Priscavera,6,https://assets.vogue.com/photos/69c4fd4d7d66bf3320a316cb/master/w_2560%2Cc_limit/00006-priscavera-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/priscavera
fall-2026-ready-to-wear,Priscavera,7,https://assets.vogue.com/photos/69c4fe4d804a28f886743960/master/w_1280%2Cc_limit/00001-priscavera-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/priscavera
fall-2026-ready-to-wear,Priscavera,8,https://assets.vogue.com/photos/68c826fc499346cb3030f946/master/w_1280%2Cc_limit/00001-priscavera-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/priscavera
fall-2026-ready-to-wear,Priscavera,9,https://assets.vogue.com/photos/66db6168b98d91905a80c86e/master/w_1280%2Cc_limit/00001-priscavera-spring-2025-ready-to-wear-credit-francesco-nazardo-brand.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/priscavera
fall-2026-ready-to-wear,Priscavera,10,https://assets.vogue.com/photos/65c8ebd13ce0f0b5188c4c2f/master/w_1280%2Cc_limit/00001-priscavera-fall-2024-ready-to-wear-credit-frances-nazardo.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/priscavera
fall-2026-ready-to-wear,Priscavera,11,https://assets.vogue.com/photos/64fd10e2a732bcea933eeb34/master/w_1280%2Cc_limit/00001-priscavera-spring-2024-ready-to-wear-credit-gorunway.jpg,Spring 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/priscavera
fall-2026-ready-to-wear,Priscavera,12,https://assets.vogue.com/photos/63eae4c4caf31e253aa9e430/master/w_1280%2Cc_limit/00001-priscavera-fall-2023-ready-to-wear-credit-gorunway.jpg,Fall 2023 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/priscavera
