season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Ralph Lauren,1,https://assets.vogue.com/photos/698c63340b557e033ef2431e/master/w_2560%2Cc_limit/00001-ralph-lauren-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ralph-lauren
fall-2026-ready-to-wear,Ralph Lauren,2,https://assets.vogue.com/photos/698c633403e7e2d470dc728c/master/w_2560%2Cc_limit/00002-ralph-lauren-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ralph-lauren
fall-2026-ready-to-wear,Ralph Lauren,3,https://assets.vogue.com/photos/698c6334b30434c3b8aab0d7/master/w_2560%2Cc_limit/00003-ralph-lauren-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ralph-lauren
fall-2026-ready-to-wear,Ralph Lauren,4,https://assets.vogue.com/photos/698c6337160202ccc94a9b28/master/w_2560%2Cc_limit/00004-ralph-lauren-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ralph-lauren
fall-2026-ready-to-wear,Ralph Lauren,5,https://assets.vogue.com/photos/698c633879fdf8a77f2ec947/master/w_2560%2Cc_limit/00005-ralph-lauren-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ralph-lauren
fall-2026-ready-to-wear,Ralph Lauren,6,https://assets.vogue.com/photos/698c63391c8b32690a029b1c/master/w_2560%2Cc_limit/00006-ralph-lauren-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ralph-lauren
fall-2026-ready-to-wear,Ralph Lauren,7,https://assets.vogue.com/photos/698c641460fb5b0b2be09416/master/w_2560%2Cc_limit/00001-ralph-lauren-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ralph-lauren
fall-2026-ready-to-wear,Ralph Lauren,8,https://assets.vogue.com/photos/698c64151a6dcb3dce4305cd/master/w_2560%2Cc_limit/00002-ralph-lauren-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ralph-lauren
fall-2026-ready-to-wear,Ralph Lauren,9,https://assets.vogue.com/photos/698c6416ab4917bbb2d43d0f/master/w_2560%2Cc_limit/00003-ralph-lauren-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ralph-lauren
fall-2026-ready-to-wear,Ralph Lauren,10,https://assets.vogue.com/photos/698c641815fcc095b04cf06e/master/w_2560%2Cc_limit/00004-ralph-lauren-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ralph-lauren
fall-2026-ready-to-wear,Ralph Lauren,11,https://assets.vogue.com/photos/698c641a84952c1c79a309fc/master/w_2560%2Cc_limit/00005-ralph-lauren-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ralph-lauren
fall-2026-ready-to-wear,Ralph Lauren,12,https://assets.vogue.com/photos/698c641a1a6dcb3dce4305d4/master/w_2560%2Cc_limit/00006-ralph-lauren-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ralph-lauren
fall-2026-ready-to-wear,Ralph Lauren,13,https://assets.vogue.com/photos/698bf1d1878d6c7b1efad949/master/w_2560%2Cc_limit/RALPHLAUREN_NYFW_FW26_BACKSTAGE_HUNTERABRAMS_01.jpg,Beauty Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ralph-lauren
fall-2026-ready-to-wear,Ralph Lauren,14,https://assets.vogue.com/photos/698bf1d24182e6e3ef859cde/master/w_2560%2Cc_limit/RALPHLAUREN_NYFW_FW26_BACKSTAGE_HUNTERABRAMS_02.jpg,Beauty Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ralph-lauren
fall-2026-ready-to-wear,Ralph Lauren,15,https://assets.vogue.com/photos/698bf1d1e6ea04b263fe0d00/master/w_2560%2Cc_limit/RALPHLAUREN_NYFW_FW26_BACKSTAGE_HUNTERABRAMS_03.jpg,Beauty Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ralph-lauren
fall-2026-ready-to-wear,Ralph Lauren,16,https://assets.vogue.com/photos/698bf1d788daddf181fbb61e/master/w_2560%2Cc_limit/RALPHLAUREN_NYFW_FW26_BACKSTAGE_HUNTERABRAMS_04.jpg,Beauty Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ralph-lauren
fall-2026-ready-to-wear,Ralph Lauren,17,https://assets.vogue.com/photos/698bf1d93cd28a900a38ae05/master/w_2560%2Cc_limit/RALPHLAUREN_NYFW_FW26_BACKSTAGE_HUNTERABRAMS_05.jpg,Beauty Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ralph-lauren
fall-2026-ready-to-wear,Ralph Lauren,18,https://assets.vogue.com/photos/698bf1d8497126ea9a614b25/master/w_2560%2Cc_limit/RALPHLAUREN_NYFW_FW26_BACKSTAGE_HUNTERABRAMS_06.jpg,Beauty Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ralph-lauren
fall-2026-ready-to-wear,Ralph Lauren,19,https://assets.vogue.com/photos/698c63dbf99ca6c313dc0523/master/w_1280%2Cc_limit/00001-ralph-lauren-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ralph-lauren
fall-2026-ready-to-wear,Ralph Lauren,20,https://assets.vogue.com/photos/696a9e5038a0953270e4a565/master/w_1280%2Cc_limit/00001-ralph-lauren-fall-2026-menswear-credit-gorunway.jpg,Fall 2026 Menswear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ralph-lauren
fall-2026-ready-to-wear,Ralph Lauren,21,https://assets.vogue.com/photos/6942e51932196b4f646f5f33/master/w_1280%2Cc_limit/00001-ralph-lauren-pre-fall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ralph-lauren
fall-2026-ready-to-wear,Ralph Lauren,22,https://assets.vogue.com/photos/68c279ba6dee09b934b6386e/master/w_1280%2Cc_limit/00001-ralph-lauren-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/ralph-lauren
