season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Raquel Diniz,1,https://assets.vogue.com/photos/699c5c5a1f87c50b567aef82/master/w_2560%2Cc_limit/00001-raquel-diniz-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/raquel-diniz
fall-2026-ready-to-wear,Raquel Diniz,2,https://assets.vogue.com/photos/699c5c5be611882bdf702a31/master/w_2560%2Cc_limit/00002-raquel-diniz-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/raquel-diniz
fall-2026-ready-to-wear,Raquel Diniz,3,https://assets.vogue.com/photos/699c5c5b434d98e2a69540d5/master/w_2560%2Cc_limit/00003-raquel-diniz-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/raquel-diniz
fall-2026-ready-to-wear,Raquel Diniz,4,https://assets.vogue.com/photos/699c5c5e051bb62ba57b30fd/master/w_2560%2Cc_limit/00004-raquel-diniz-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/raquel-diniz
fall-2026-ready-to-wear,Raquel Diniz,5,https://assets.vogue.com/photos/699c5c5e4850e0aeed716558/master/w_2560%2Cc_limit/00005-raquel-diniz-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/raquel-diniz
fall-2026-ready-to-wear,Raquel Diniz,6,https://assets.vogue.com/photos/699c5c5e7e59ff6bb21bb807/master/w_2560%2Cc_limit/00006-raquel-diniz-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/raquel-diniz
fall-2026-ready-to-wear,Raquel Diniz,7,https://assets.vogue.com/photos/699c5c61e6b5c3ac6d052fd5/master/w_2560%2Cc_limit/00007-raquel-diniz-fall-2026-ready-to-wear-credit-brand.jpg,Look 7,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/raquel-diniz
fall-2026-ready-to-wear,Raquel Diniz,8,https://assets.vogue.com/photos/699c5c61e611882bdf702a37/master/w_2560%2Cc_limit/00008-raquel-diniz-fall-2026-ready-to-wear-credit-brand.jpg,Look 8,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/raquel-diniz
fall-2026-ready-to-wear,Raquel Diniz,9,https://assets.vogue.com/photos/699c5c4de81e641adfdf96b1/master/w_1280%2Cc_limit/00001-raquel-diniz-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/raquel-diniz
fall-2026-ready-to-wear,Raquel Diniz,10,https://assets.vogue.com/photos/68558acdff50aea90175af97/master/w_1280%2Cc_limit/00001-raquel-diniz-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/raquel-diniz
