season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Richard Quinn,1,https://assets.vogue.com/photos/699b75b515c1a3719e43751a/master/w_2560%2Cc_limit/00001-richard-quinn-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/richard-quinn
fall-2026-ready-to-wear,Richard Quinn,2,https://assets.vogue.com/photos/699b75b5c2a85988facbe1f7/master/w_2560%2Cc_limit/00002-richard-quinn-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/richard-quinn
fall-2026-ready-to-wear,Richard Quinn,3,https://assets.vogue.com/photos/699b75b50d01c04c776bab39/master/w_2560%2Cc_limit/00003-richard-quinn-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/richard-quinn
fall-2026-ready-to-wear,Richard Quinn,4,https://assets.vogue.com/photos/699b75b818d4df3d8e39a8aa/master/w_2560%2Cc_limit/00004-richard-quinn-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/richard-quinn
fall-2026-ready-to-wear,Richard Quinn,5,https://assets.vogue.com/photos/699b75b8a5c46ae880c0068c/master/w_2560%2Cc_limit/00005-richard-quinn-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/richard-quinn
fall-2026-ready-to-wear,Richard Quinn,6,https://assets.vogue.com/photos/699b75b9a5c46ae880c00693/master/w_2560%2Cc_limit/00006-richard-quinn-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/richard-quinn
fall-2026-ready-to-wear,Richard Quinn,7,https://assets.vogue.com/photos/699b8176a0e48a2d4fa87ed0/master/w_2560%2Cc_limit/00001-richard-quinn-fall-2026-ready-to-wear-details-credit-gorunway.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/richard-quinn
fall-2026-ready-to-wear,Richard Quinn,8,https://assets.vogue.com/photos/699b8175eb23730727d0d9ff/master/w_2560%2Cc_limit/00002-richard-quinn-fall-2026-ready-to-wear-details-credit-gorunway.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/richard-quinn
fall-2026-ready-to-wear,Richard Quinn,9,https://assets.vogue.com/photos/699b8176d45701261df09fdf/master/w_2560%2Cc_limit/00003-richard-quinn-fall-2026-ready-to-wear-details-credit-gorunway.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/richard-quinn
fall-2026-ready-to-wear,Richard Quinn,10,https://assets.vogue.com/photos/699b8178874bd4deec8e9fab/master/w_2560%2Cc_limit/00004-richard-quinn-fall-2026-ready-to-wear-details-credit-gorunway.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/richard-quinn
fall-2026-ready-to-wear,Richard Quinn,11,https://assets.vogue.com/photos/699b817a0d01c04c776bab54/master/w_2560%2Cc_limit/00005-richard-quinn-fall-2026-ready-to-wear-details-credit-gorunway.jpg,Detail Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/richard-quinn
fall-2026-ready-to-wear,Richard Quinn,12,https://assets.vogue.com/photos/699b817aeb23730727d0da06/master/w_2560%2Cc_limit/00006-richard-quinn-fall-2026-ready-to-wear-details-credit-gorunway.jpg,Detail Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/richard-quinn
fall-2026-ready-to-wear,Richard Quinn,13,https://assets.vogue.com/photos/699b67147c4c6acc1f38393f/master/w_2560%2Cc_limit/RICHARDQUINN_FW26_BACKSTAGE_ACIELLESTYLEDUMONDE_001.jpg,Beauty Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/richard-quinn
fall-2026-ready-to-wear,Richard Quinn,14,https://assets.vogue.com/photos/699b6715051bb62ba57b27c0/master/w_2560%2Cc_limit/RICHARDQUINN_FW26_BACKSTAGE_ACIELLESTYLEDUMONDE_002.jpg,Beauty Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/richard-quinn
fall-2026-ready-to-wear,Richard Quinn,15,https://assets.vogue.com/photos/699b6715d5ac16e79f7da311/master/w_2560%2Cc_limit/RICHARDQUINN_FW26_BACKSTAGE_ACIELLESTYLEDUMONDE_003.jpg,Beauty Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/richard-quinn
fall-2026-ready-to-wear,Richard Quinn,16,https://assets.vogue.com/photos/699b6716e4901fea0791eff2/master/w_2560%2Cc_limit/RICHARDQUINN_FW26_BACKSTAGE_ACIELLESTYLEDUMONDE_004.jpg,Beauty Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/richard-quinn
fall-2026-ready-to-wear,Richard Quinn,17,https://assets.vogue.com/photos/699b6716adb142e2ea48468c/master/w_2560%2Cc_limit/RICHARDQUINN_FW26_BACKSTAGE_ACIELLESTYLEDUMONDE_005.jpg,Beauty Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/richard-quinn
fall-2026-ready-to-wear,Richard Quinn,18,https://assets.vogue.com/photos/699b67161a82d19111ce27c6/master/w_2560%2Cc_limit/RICHARDQUINN_FW26_BACKSTAGE_ACIELLESTYLEDUMONDE_006.jpg,Beauty Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/richard-quinn
fall-2026-ready-to-wear,Richard Quinn,19,https://assets.vogue.com/photos/699b762c9464cb0836d6409f/master/w_1280%2Cc_limit/00001-richard-quinn-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/richard-quinn
fall-2026-ready-to-wear,Richard Quinn,20,https://assets.vogue.com/photos/68cf1b72db11d697e5108530/master/w_1280%2Cc_limit/00001-richard-quinn-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/richard-quinn
fall-2026-ready-to-wear,Richard Quinn,21,https://assets.vogue.com/photos/67b8f592769b1ef12e65a00f/master/w_1280%2Cc_limit/00001-richard-quinn-fall-2025-ready-to-wear-credit-gorunway.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/richard-quinn
fall-2026-ready-to-wear,Richard Quinn,22,https://assets.vogue.com/photos/66e5f96aa696215122ade681/master/w_1280%2Cc_limit/00001-richard-quinn-spring-2025-ready-to-wear-credit-gorunway.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/richard-quinn
fall-2026-ready-to-wear,Richard Quinn,23,https://assets.vogue.com/photos/65d12695c8f0c23b5bf4b49e/master/w_1280%2Cc_limit/00001-richard-quinn-fall-2024-ready-to-wear-credit-gorunway.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/richard-quinn
fall-2026-ready-to-wear,Richard Quinn,24,https://assets.vogue.com/photos/6506cf6bab6509ade95cc730/master/w_1280%2Cc_limit/00001-richard-quinn-spring-2024-ready-to-wear-credit-gorunway.jpg,Spring 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/richard-quinn
