season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Rue Agthonis,1,https://assets.vogue.com/photos/69cbd26e6268059b637dd4a0/master/w_2560%2Cc_limit/00001-rue-agthonis-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/rue-agthonis
fall-2026-ready-to-wear,Rue Agthonis,2,https://assets.vogue.com/photos/69cbd26f39a00282487ee337/master/w_2560%2Cc_limit/00002-rue-agthonis-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/rue-agthonis
fall-2026-ready-to-wear,Rue Agthonis,3,https://assets.vogue.com/photos/69cbd26f87cab104dea63db2/master/w_2560%2Cc_limit/00003-rue-agthonis-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/rue-agthonis
fall-2026-ready-to-wear,Rue Agthonis,4,https://assets.vogue.com/photos/69cbd274074385eb69f950f3/master/w_2560%2Cc_limit/00004-rue-agthonis-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/rue-agthonis
fall-2026-ready-to-wear,Rue Agthonis,5,https://assets.vogue.com/photos/69cbd2759034ed2b38f00aa2/master/w_2560%2Cc_limit/00005-rue-agthonis-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/rue-agthonis
fall-2026-ready-to-wear,Rue Agthonis,6,https://assets.vogue.com/photos/69cbd2759f591973edc80354/master/w_2560%2Cc_limit/00006-rue-agthonis-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/rue-agthonis
fall-2026-ready-to-wear,Rue Agthonis,7,https://assets.vogue.com/photos/69cbd279d61f5c3308dd29df/master/w_2560%2Cc_limit/00007-rue-agthonis-fall-2026-ready-to-wear-credit-brand.jpg,Look 7,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/rue-agthonis
fall-2026-ready-to-wear,Rue Agthonis,8,https://assets.vogue.com/photos/69cbd278dd26e26f225329ed/master/w_2560%2Cc_limit/00008-rue-agthonis-fall-2026-ready-to-wear-credit-brand.jpg,Look 8,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/rue-agthonis
fall-2026-ready-to-wear,Rue Agthonis,9,https://assets.vogue.com/photos/69cbd1e8920054db0e2c131a/master/w_1280%2Cc_limit/00001-rue-agthonis-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/rue-agthonis
fall-2026-ready-to-wear,Rue Agthonis,10,https://assets.vogue.com/photos/682b36cbc90e1fa946de5ea3/master/w_1280%2Cc_limit/00001-rue-agthonis-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/rue-agthonis
fall-2026-ready-to-wear,Rue Agthonis,11,https://assets.vogue.com/photos/66f578bbffe7239537067d24/master/w_1280%2Cc_limit/00001-rue-agthonis-spring-2025-ready-to-wear-credit-brand.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/rue-agthonis
fall-2026-ready-to-wear,Rue Agthonis,12,https://assets.vogue.com/photos/65e0c75d51df4fd166a335da/master/w_1280%2Cc_limit/00001-rue-agthonis-fall-2024-ready-to-wear-credit-brand.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/rue-agthonis
fall-2026-ready-to-wear,Rue Agthonis,13,https://assets.vogue.com/photos/65bbac0a1bfc200e99976254/master/w_1280%2Cc_limit/00028-rue-agthonis-spring-2024-ready-to-wear-credit-brand.JPG,Spring 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/rue-agthonis
fall-2026-ready-to-wear,Rue Agthonis,14,https://assets.vogue.com/photos/65bbad38e59bdd6c0290d91c/master/w_1280%2Cc_limit/00009-rue-agthonis-fall-2023-ready-to-wear-credit-matt-ford.jpg,Fall 2023 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/rue-agthonis
