season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Sandy Liang,1,https://assets.vogue.com/photos/699233de0fb784e6a383b5ea/master/w_2560%2Cc_limit/00001-sandy-liang-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/sandy-liang
fall-2026-ready-to-wear,Sandy Liang,2,https://assets.vogue.com/photos/699233ddaa97f29828cb8473/master/w_2560%2Cc_limit/00002-sandy-liang-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/sandy-liang
fall-2026-ready-to-wear,Sandy Liang,3,https://assets.vogue.com/photos/699233dd1649f313d4dc9847/master/w_2560%2Cc_limit/00003-sandy-liang-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/sandy-liang
fall-2026-ready-to-wear,Sandy Liang,4,https://assets.vogue.com/photos/699233e00746dda2a143cd91/master/w_2560%2Cc_limit/00004-sandy-liang-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/sandy-liang
fall-2026-ready-to-wear,Sandy Liang,5,https://assets.vogue.com/photos/699233e127e344ed2fc0173e/master/w_2560%2Cc_limit/00005-sandy-liang-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/sandy-liang
fall-2026-ready-to-wear,Sandy Liang,6,https://assets.vogue.com/photos/699233e1f94f2bf00e629fc0/master/w_2560%2Cc_limit/00006-sandy-liang-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/sandy-liang
fall-2026-ready-to-wear,Sandy Liang,7,https://assets.vogue.com/photos/699235381649f313d4dc9891/master/w_1280%2Cc_limit/00001-sandy-liang-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/sandy-liang
fall-2026-ready-to-wear,Sandy Liang,8,https://assets.vogue.com/photos/68c7498e1c7661590ae4a22e/master/w_1280%2Cc_limit/00001-sandy-liang-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/sandy-liang
fall-2026-ready-to-wear,Sandy Liang,9,https://assets.vogue.com/photos/6846f6170a3800802eb1558b/master/w_1280%2Cc_limit/00001-sandy-liang-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/sandy-liang
fall-2026-ready-to-wear,Sandy Liang,10,https://assets.vogue.com/photos/67a9332b8dc3c6ad35b750f0/master/w_1280%2Cc_limit/00001-sandy-liang-fall-2025-ready-to-wear-credit-gorunway.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/sandy-liang
fall-2026-ready-to-wear,Sandy Liang,11,https://assets.vogue.com/photos/66de3026e7500c4e87409d81/master/w_1280%2Cc_limit/00001-sandy-liang-spring-2025-ready-to-wear-credit-gorunway.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/sandy-liang
fall-2026-ready-to-wear,Sandy Liang,12,https://assets.vogue.com/photos/6661c068e4482f3886e3473e/master/w_1280%2Cc_limit/00001-sandy-liang-resort-2025-credit-brand.jpg,Resort 2025,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/sandy-liang
