season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Tanya Taylor,1,https://assets.vogue.com/photos/698ca1e8f38baa1a9fa50634/master/w_2560%2Cc_limit/00001-tanya-taylor-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/tanya-taylor
fall-2026-ready-to-wear,Tanya Taylor,2,https://assets.vogue.com/photos/698ca1e8059f868c4522b9e6/master/w_2560%2Cc_limit/00002-tanya-taylor-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/tanya-taylor
fall-2026-ready-to-wear,Tanya Taylor,3,https://assets.vogue.com/photos/698ca1e80357e18cff8d183e/master/w_2560%2Cc_limit/00003-tanya-taylor-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/tanya-taylor
fall-2026-ready-to-wear,Tanya Taylor,4,https://assets.vogue.com/photos/698ca1eb2313d1341d326cf3/master/w_2560%2Cc_limit/00004-tanya-taylor-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/tanya-taylor
fall-2026-ready-to-wear,Tanya Taylor,5,https://assets.vogue.com/photos/698ca1ecf80d2f63bd369273/master/w_2560%2Cc_limit/00005-tanya-taylor-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/tanya-taylor
fall-2026-ready-to-wear,Tanya Taylor,6,https://assets.vogue.com/photos/698ca1ec9254c67a18f99020/master/w_2560%2Cc_limit/00006-tanya-taylor-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/tanya-taylor
fall-2026-ready-to-wear,Tanya Taylor,7,https://assets.vogue.com/photos/698ca258c7f32488d87cd28c/master/w_1280%2Cc_limit/00001-tanya-taylor-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/tanya-taylor
fall-2026-ready-to-wear,Tanya Taylor,8,https://assets.vogue.com/photos/6931bb76ff58f17556ccbddf/master/w_1280%2Cc_limit/00001-tanya-taylor-pre-fall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/tanya-taylor
fall-2026-ready-to-wear,Tanya Taylor,9,https://assets.vogue.com/photos/68c2efb40b36eb6c3b03b0db/master/w_1280%2Cc_limit/00001-tanya-taylor-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/tanya-taylor
fall-2026-ready-to-wear,Tanya Taylor,10,https://assets.vogue.com/photos/68485f016831fa29ee035117/master/w_1280%2Cc_limit/00001-tanya-taylor-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/tanya-taylor
fall-2026-ready-to-wear,Tanya Taylor,11,https://assets.vogue.com/photos/67a51f67b2ddd69304aef73e/master/w_1280%2Cc_limit/00001-tanya-taylor-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/tanya-taylor
fall-2026-ready-to-wear,Tanya Taylor,12,https://assets.vogue.com/photos/674ec1582d91d317d45b82bd/master/w_1280%2Cc_limit/00001-tanya-taylor-prefall-2025-credit-brand.jpg,Pre-Fall 2025,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/tanya-taylor
