season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Tommy Hilfiger,1,https://assets.vogue.com/photos/699627bcd270f7509bf403bf/master/w_2560%2Cc_limit/00001-tommy-hilfiger-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/tommy-hilfiger
fall-2026-ready-to-wear,Tommy Hilfiger,2,https://assets.vogue.com/photos/699627e3d999a14279d03809/master/w_2560%2Cc_limit/00026-tommy-hilfiger-fall-2026-menswear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/tommy-hilfiger
fall-2026-ready-to-wear,Tommy Hilfiger,3,https://assets.vogue.com/photos/699627bc89d86d8e743baa81/master/w_2560%2Cc_limit/00002-tommy-hilfiger-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/tommy-hilfiger
fall-2026-ready-to-wear,Tommy Hilfiger,4,https://assets.vogue.com/photos/699627e387d0afa1d5abc20b/master/w_2560%2Cc_limit/00027-tommy-hilfiger-fall-2026-menswear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/tommy-hilfiger
fall-2026-ready-to-wear,Tommy Hilfiger,5,https://assets.vogue.com/photos/699627bdd5f583cc27d7ad2e/master/w_2560%2Cc_limit/00003-tommy-hilfiger-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/tommy-hilfiger
fall-2026-ready-to-wear,Tommy Hilfiger,6,https://assets.vogue.com/photos/699627e3f1e3fc617f4ecbbf/master/w_2560%2Cc_limit/00028-tommy-hilfiger-fall-2026-menswear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/tommy-hilfiger
fall-2026-ready-to-wear,Tommy Hilfiger,7,https://assets.vogue.com/photos/6996286a75269a40c2c68d87/master/w_1280%2Cc_limit/00001-tommy-hilfiger-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/tommy-hilfiger
fall-2026-ready-to-wear,Tommy Hilfiger,8,https://assets.vogue.com/photos/66df4159bf254a10521514e1/master/w_1280%2Cc_limit/00001-tommy-hilfiger-spring-2025-ready-to-wear-credit-brand.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/tommy-hilfiger
fall-2026-ready-to-wear,Tommy Hilfiger,9,https://assets.vogue.com/photos/65c74f749a767f5fe173903e/master/w_1280%2Cc_limit/00001-tommy-hilfiger-fall-2024-ready-to-wear-credit-gorunway.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/tommy-hilfiger
fall-2026-ready-to-wear,Tommy Hilfiger,10,https://assets.vogue.com/photos/64c922ee82e3ebdbb4f2a3af/master/w_1280%2Cc_limit/00002-tommy-hilfiger-fall-2023-credit-brand.jpg,Fall 2023 Menswear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/tommy-hilfiger
fall-2026-ready-to-wear,Tommy Hilfiger,11,https://assets.vogue.com/photos/64c9223b7c271bd4c46f944b/master/w_1280%2Cc_limit/00001-tommy-hilfiger-fall-2023-credit-brand.jpg,Fall 2023 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/tommy-hilfiger
fall-2026-ready-to-wear,Tommy Hilfiger,12,https://assets.vogue.com/photos/63695650a3c8cff7cf267c3f/master/w_1280%2Cc_limit/00002-tommy-hilfiger-spring-2023-menswear-credit-brand.jpg,Spring 2023 Menswear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/tommy-hilfiger
