season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Undercover,1,https://assets.vogue.com/photos/69aa95c101dc2f6e6813b50f/master/w_2560%2Cc_limit/00001-undercover-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/undercover
fall-2026-ready-to-wear,Undercover,2,https://assets.vogue.com/photos/69aa95c159f0e262c5d6eaf2/master/w_2560%2Cc_limit/00002-undercover-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/undercover
fall-2026-ready-to-wear,Undercover,3,https://assets.vogue.com/photos/69aa95c1d6d583e7cf1e08d9/master/w_2560%2Cc_limit/00003-undercover-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/undercover
fall-2026-ready-to-wear,Undercover,4,https://assets.vogue.com/photos/69aa95c360598f0ccee7c5a3/master/w_2560%2Cc_limit/00004-undercover-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/undercover
fall-2026-ready-to-wear,Undercover,5,https://assets.vogue.com/photos/69aa95c447aca4ef17d5c4f8/master/w_2560%2Cc_limit/00005-undercover-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/undercover
fall-2026-ready-to-wear,Undercover,6,https://assets.vogue.com/photos/69aa95c401dc2f6e6813b515/master/w_2560%2Cc_limit/00006-undercover-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/undercover
fall-2026-ready-to-wear,Undercover,7,https://assets.vogue.com/photos/69aa9580b0cb023ea302924c/master/w_2560%2Cc_limit/00001-undercover-fall-2026-ready-to-wear-detail-credit-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/undercover
fall-2026-ready-to-wear,Undercover,8,https://assets.vogue.com/photos/69aa9580c7b346d3f533812c/master/w_2560%2Cc_limit/00002-undercover-fall-2026-ready-to-wear-detail-credit-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/undercover
fall-2026-ready-to-wear,Undercover,9,https://assets.vogue.com/photos/69aa958136da9bbd0fa13ce8/master/w_2560%2Cc_limit/00004-undercover-fall-2026-ready-to-wear-detail-credit-brand.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/undercover
fall-2026-ready-to-wear,Undercover,10,https://assets.vogue.com/photos/69aa9583b0781037f9c635e5/master/w_2560%2Cc_limit/00007-undercover-fall-2026-ready-to-wear-detail-credit-brand.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/undercover
fall-2026-ready-to-wear,Undercover,11,https://assets.vogue.com/photos/69aa9583acb5df01a1405957/master/w_2560%2Cc_limit/00015-undercover-fall-2026-ready-to-wear-detail-credit-brand.jpg,Detail Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/undercover
fall-2026-ready-to-wear,Undercover,12,https://assets.vogue.com/photos/69aa9584695ebb321360fec5/master/w_2560%2Cc_limit/00016-undercover-fall-2026-ready-to-wear-detail-credit-brand.jpg,Detail Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/undercover
fall-2026-ready-to-wear,Undercover,13,https://assets.vogue.com/photos/69aa9757263c1af5f9021de0/master/w_1280%2Cc_limit/00001-undercover-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/undercover
fall-2026-ready-to-wear,Undercover,14,https://assets.vogue.com/photos/6968f06fdafeb1bd7d413ca5/master/w_1280%2Cc_limit/00001-undercover-pre-fall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/undercover
fall-2026-ready-to-wear,Undercover,15,https://assets.vogue.com/photos/6973eff9a7d88bcc1298c9ed/master/w_1280%2Cc_limit/00001-undercover-fall-2026-menswear-credit-brand.jpg,Fall 2026 Menswear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/undercover
fall-2026-ready-to-wear,Undercover,16,https://assets.vogue.com/photos/695f9dfcab92fdc7269d35bd/master/w_1280%2Cc_limit/00001-undercover-pre-fall-2026-menswear-credit-brand.jpg,Pre-Fall 2026 Menswear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/undercover
fall-2026-ready-to-wear,Undercover,17,https://assets.vogue.com/photos/68df908633706018543f3344/master/w_1280%2Cc_limit/00001-undercover-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/undercover
fall-2026-ready-to-wear,Undercover,18,https://assets.vogue.com/photos/6852ccff87cd681d72bdebd7/master/w_1280%2Cc_limit/00001-undercover-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/undercover
