season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Yigal Azrouel,1,https://assets.vogue.com/photos/698e4869346412733c42f98e/master/w_2560%2Cc_limit/00001-yigal-azrouel-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/yigal-azrouel
fall-2026-ready-to-wear,Yigal Azrouel,2,https://assets.vogue.com/photos/698e486a825348e39727b9fa/master/w_2560%2Cc_limit/00003-yigal-azrouel-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/yigal-azrouel
fall-2026-ready-to-wear,Yigal Azrouel,3,https://assets.vogue.com/photos/698e486ddedcca6cc04b994a/master/w_2560%2Cc_limit/00004-yigal-azrouel-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/yigal-azrouel
fall-2026-ready-to-wear,Yigal Azrouel,4,https://assets.vogue.com/photos/698e486e68ad7304f78dfd8e/master/w_2560%2Cc_limit/00005-yigal-azrouel-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/yigal-azrouel
fall-2026-ready-to-wear,Yigal Azrouel,5,https://assets.vogue.com/photos/698e486d30cbe9b5588fe5e7/master/w_2560%2Cc_limit/00006-yigal-azrouel-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/yigal-azrouel
fall-2026-ready-to-wear,Yigal Azrouel,6,https://assets.vogue.com/photos/698e48700c62710370c54a4a/master/w_2560%2Cc_limit/00007-yigal-azrouel-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/yigal-azrouel
fall-2026-ready-to-wear,Yigal Azrouel,7,https://assets.vogue.com/photos/698fda863913784456892770/master/w_1280%2Cc_limit/00001-yigal-azrouel-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/yigal-azrouel
fall-2026-ready-to-wear,Yigal Azrouel,8,https://assets.vogue.com/photos/693fd6f781e5cfef103882cd/master/w_1280%2Cc_limit/00001-yigal-azrouel-pre-fall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/yigal-azrouel
fall-2026-ready-to-wear,Yigal Azrouel,9,https://assets.vogue.com/photos/68c1486894af7ffabfcd1430/master/w_1280%2Cc_limit/00001-yigal-azrouel-spring-2026-ready-to-wear-credit-brand-.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/yigal-azrouel
fall-2026-ready-to-wear,Yigal Azrouel,10,https://assets.vogue.com/photos/6842b097093aa8d06c3e8937/master/w_1280%2Cc_limit/00001-yigal-azrouel-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/yigal-azrouel
fall-2026-ready-to-wear,Yigal Azrouel,11,https://assets.vogue.com/photos/66df3fdb039e434e763c881a/master/w_1280%2Cc_limit/00001-yigal-azrouel-spring-2025-ready-to-wear-credit-brand.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/yigal-azrouel
fall-2026-ready-to-wear,Yigal Azrouel,12,https://assets.vogue.com/photos/666afaadc86465e2f01de591/master/w_1280%2Cc_limit/00001-yigal-azrouel-resort-2025-credit-brand.jpg,Resort 2025,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/yigal-azrouel
