season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Zoe Gustavia Anna Whalen,1,https://assets.vogue.com/photos/6992eed8695bc25aaab867ad/master/w_2560%2Cc_limit/00001-zoe-gustavia-anna-whalen-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/zoe-gustavia-anna-whalen
fall-2026-ready-to-wear,Zoe Gustavia Anna Whalen,2,https://assets.vogue.com/photos/6992eed9c62669f5a5b55eec/master/w_2560%2Cc_limit/00002-zoe-gustavia-anna-whalen-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/zoe-gustavia-anna-whalen
fall-2026-ready-to-wear,Zoe Gustavia Anna Whalen,3,https://assets.vogue.com/photos/6992eed978098af49ae5ca80/master/w_2560%2Cc_limit/00003-zoe-gustavia-anna-whalen-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/zoe-gustavia-anna-whalen
fall-2026-ready-to-wear,Zoe Gustavia Anna Whalen,4,https://assets.vogue.com/photos/6992eedbc000099a3fb4b026/master/w_2560%2Cc_limit/00004-zoe-gustavia-anna-whalen-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/zoe-gustavia-anna-whalen
fall-2026-ready-to-wear,Zoe Gustavia Anna Whalen,5,https://assets.vogue.com/photos/6992eedd5c9dc556f59c4463/master/w_2560%2Cc_limit/00005-zoe-gustavia-anna-whalen-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/zoe-gustavia-anna-whalen
fall-2026-ready-to-wear,Zoe Gustavia Anna Whalen,6,https://assets.vogue.com/photos/6992eedcea47b42c31c0c9f5/master/w_2560%2Cc_limit/00006-zoe-gustavia-anna-whalen-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/zoe-gustavia-anna-whalen
fall-2026-ready-to-wear,Zoe Gustavia Anna Whalen,7,https://assets.vogue.com/photos/6992ef6171c8a6e78dcce748/master/w_2560%2Cc_limit/00001-zoe-gustavia-anna-whalen-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/zoe-gustavia-anna-whalen
fall-2026-ready-to-wear,Zoe Gustavia Anna Whalen,8,https://assets.vogue.com/photos/6992ef61c1fd0d704cdf0f94/master/w_2560%2Cc_limit/00002-zoe-gustavia-anna-whalen-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/zoe-gustavia-anna-whalen
fall-2026-ready-to-wear,Zoe Gustavia Anna Whalen,9,https://assets.vogue.com/photos/6992ef618845dbec0daf432b/master/w_2560%2Cc_limit/00003-zoe-gustavia-anna-whalen-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/zoe-gustavia-anna-whalen
fall-2026-ready-to-wear,Zoe Gustavia Anna Whalen,10,https://assets.vogue.com/photos/6992ef64b8aba5ec22c68635/master/w_2560%2Cc_limit/00004-zoe-gustavia-anna-whalen-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/zoe-gustavia-anna-whalen
fall-2026-ready-to-wear,Zoe Gustavia Anna Whalen,11,https://assets.vogue.com/photos/6992ef652949eec4d95c7fc7/master/w_2560%2Cc_limit/00005-zoe-gustavia-anna-whalen-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/zoe-gustavia-anna-whalen
fall-2026-ready-to-wear,Zoe Gustavia Anna Whalen,12,https://assets.vogue.com/photos/6992ef65e3bea45300fb0019/master/w_2560%2Cc_limit/00006-zoe-gustavia-anna-whalen-fall-2026-ready-to-wear-details-credit-brand.jpg,Detail Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/zoe-gustavia-anna-whalen
fall-2026-ready-to-wear,Zoe Gustavia Anna Whalen,13,https://assets.vogue.com/photos/6992f2e7f0315fb4c5e3c8c3/master/w_1280%2Cc_limit/00001-zoe-gustavia-anna-whalen-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/zoe-gustavia-anna-whalen
fall-2026-ready-to-wear,Zoe Gustavia Anna Whalen,14,https://assets.vogue.com/photos/68c41ddced199ed1c16536b8/master/w_1280%2Cc_limit/00006-zoe-gustavia-anna-whalen-spring-2026-ready-to-wear-credit-christian-defonte-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/zoe-gustavia-anna-whalen
fall-2026-ready-to-wear,Zoe Gustavia Anna Whalen,15,https://assets.vogue.com/photos/67ab27c4aa5db44cebbbeedb/master/w_1280%2Cc_limit/00001-zoe-gustavia-anna-whalen-fall-2025-ready-to-wear-credit-christian-defonte-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/zoe-gustavia-anna-whalen
fall-2026-ready-to-wear,Zoe Gustavia Anna Whalen,16,https://assets.vogue.com/photos/66e1cedaec9dabfc1092bd13/master/w_1280%2Cc_limit/00001-zoe-gustavia-anna-whalen-spring-2025-ready-to-wear-credit-brand.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/zoe-gustavia-anna-whalen
