season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Zuhair Murad,1,https://assets.vogue.com/photos/69ac64e068fbe44cbb8b20e4/master/w_2560%2Cc_limit/00001-zuhair-murad-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/zuhair-murad
fall-2026-ready-to-wear,Zuhair Murad,2,https://assets.vogue.com/photos/69ac64e007b10e3780a6eb7e/master/w_2560%2Cc_limit/00002-zuhair-murad-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/zuhair-murad
fall-2026-ready-to-wear,Zuhair Murad,3,https://assets.vogue.com/photos/69ac64e166d166be8ca09e22/master/w_2560%2Cc_limit/00003-zuhair-murad-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/zuhair-murad
fall-2026-ready-to-wear,Zuhair Murad,4,https://assets.vogue.com/photos/69ac64e3488e041ce4d3a21f/master/w_2560%2Cc_limit/00004-zuhair-murad-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/zuhair-murad
fall-2026-ready-to-wear,Zuhair Murad,5,https://assets.vogue.com/photos/69ac64e3185f8f11a4568aff/master/w_2560%2Cc_limit/00005-zuhair-murad-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/zuhair-murad
fall-2026-ready-to-wear,Zuhair Murad,6,https://assets.vogue.com/photos/69ac64e3eae9e9ed6126e19f/master/w_2560%2Cc_limit/00006-zuhair-murad-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/zuhair-murad
fall-2026-ready-to-wear,Zuhair Murad,7,https://assets.vogue.com/photos/69ac6574e9b53b64b7568a5e/master/w_1280%2Cc_limit/00001-zuhair-murad-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/zuhair-murad
fall-2026-ready-to-wear,Zuhair Murad,8,https://assets.vogue.com/photos/697a6a555a1f684c789e1ecd/master/w_1280%2Cc_limit/00001-zuhair-murad-couture-spring-2026-credit-gorunway.jpg,Spring 2026 Couture,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/zuhair-murad
fall-2026-ready-to-wear,Zuhair Murad,9,https://assets.vogue.com/photos/695e53af26ec331854ba1fdb/master/w_1280%2Cc_limit/00001-zuhair-murad-pre-fall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/zuhair-murad
fall-2026-ready-to-wear,Zuhair Murad,10,https://assets.vogue.com/photos/68e3d10ddc64b9ac28485364/master/w_1280%2Cc_limit/00001-zuhair-murad-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/zuhair-murad
fall-2026-ready-to-wear,Zuhair Murad,11,https://assets.vogue.com/photos/686eb84024a91e16371683f5/master/w_1280%2Cc_limit/00001-zuhair-murad-fall-2025-couture-credit-gorunway.jpg,Fall 2025 Couture,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/zuhair-murad
fall-2026-ready-to-wear,Zuhair Murad,12,https://assets.vogue.com/photos/68628bc79a7183ab2d91fb64/master/w_1280%2Cc_limit/00001-zuhair-murad-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/zuhair-murad
