season,designer,look_number,image_url,caption,source_url
lagos-spring-2026,Boyedoe,1,https://assets.vogue.com/photos/69047e3cb73ba99225329f6f/master/w_2560%2Cc_limit/00001-boyedoe-spring-2026-ready-to-wear-lagos-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/lagos-spring-2026/boyedoe
lagos-spring-2026,Boyedoe,2,https://assets.vogue.com/photos/69047e19c2748cb42526cd5f/master/w_2560%2Cc_limit/00002-boyedoe-spring-2026-ready-to-wear-lagos-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/lagos-spring-2026/boyedoe
lagos-spring-2026,Boyedoe,3,https://assets.vogue.com/photos/69047e19e191e280ff043704/master/w_2560%2Cc_limit/00003-boyedoe-spring-2026-ready-to-wear-lagos-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/lagos-spring-2026/boyedoe
lagos-spring-2026,Boyedoe,4,https://assets.vogue.com/photos/69047e1f7c31142b69f06edb/master/w_2560%2Cc_limit/00004-boyedoe-spring-2026-ready-to-wear-lagos-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/lagos-spring-2026/boyedoe
lagos-spring-2026,Boyedoe,5,https://assets.vogue.com/photos/69047e1ec2748cb42526cd61/master/w_2560%2Cc_limit/00005-boyedoe-spring-2026-ready-to-wear-lagos-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/lagos-spring-2026/boyedoe
lagos-spring-2026,Boyedoe,6,https://assets.vogue.com/photos/69047e1e7c31142b69f06ed9/master/w_2560%2Cc_limit/00006-boyedoe-spring-2026-ready-to-wear-lagos-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/lagos-spring-2026/boyedoe
lagos-spring-2026,Boyedoe,7,https://assets.vogue.com/photos/69047e6d08d9dec1a76589ef/master/w_1280%2Cc_limit/00001-boyedoe-spring-2026-ready-to-wear-lagos-credit-brand.jpg,Lagos Spring 2026,https://www.vogue.com/fashion-shows/lagos-spring-2026/boyedoe
lagos-spring-2026,Emmy Kasbit,1,https://assets.vogue.com/photos/69049c27fae1cc089f1b4efd/master/w_2560%2Cc_limit/00001-emmy-kasbit-spring-2026-ready-to-wear-lagos-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/lagos-spring-2026/emmy-kasbit
lagos-spring-2026,Emmy Kasbit,2,https://assets.vogue.com/photos/69049c27b825c674f6feb3f6/master/w_2560%2Cc_limit/00002-emmy-kasbit-spring-2026-ready-to-wear-lagos-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/lagos-spring-2026/emmy-kasbit
lagos-spring-2026,Emmy Kasbit,3,https://assets.vogue.com/photos/69049c2866c1c16263e7c674/master/w_2560%2Cc_limit/00003-emmy-kasbit-spring-2026-ready-to-wear-lagos-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/lagos-spring-2026/emmy-kasbit
lagos-spring-2026,Emmy Kasbit,4,https://assets.vogue.com/photos/69049c29366938541ccbfd67/master/w_2560%2Cc_limit/00004-emmy-kasbit-spring-2026-ready-to-wear-lagos-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/lagos-spring-2026/emmy-kasbit
lagos-spring-2026,Emmy Kasbit,5,https://assets.vogue.com/photos/69049c2a7c31142b69f06ede/master/w_2560%2Cc_limit/00005-emmy-kasbit-spring-2026-ready-to-wear-lagos-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/lagos-spring-2026/emmy-kasbit
lagos-spring-2026,Emmy Kasbit,6,https://assets.vogue.com/photos/69049c2b2f2f4dc95bf5f2b9/master/w_2560%2Cc_limit/00006-emmy-kasbit-spring-2026-ready-to-wear-lagos-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/lagos-spring-2026/emmy-kasbit
lagos-spring-2026,Emmy Kasbit,7,https://assets.vogue.com/photos/69049c78ff0e2f8935126a7b/master/w_1280%2Cc_limit/00001-emmy-kasbit-spring-2026-ready-to-wear-lagos-credit-brand.jpg,Lagos Spring 2026,https://www.vogue.com/fashion-shows/lagos-spring-2026/emmy-kasbit
lagos-spring-2026,Emmy Kasbit,8,https://assets.vogue.com/photos/671f6317e8635deb23f4a7ee/master/w_1280%2Cc_limit/00001-emmy-kasbit-spring-2025-ready-to-wear-credit-brand.jpg,Lagos Spring 2025,https://www.vogue.com/fashion-shows/lagos-spring-2026/emmy-kasbit
