season,designer,look_number,image_url,caption,source_url
mexico-fall-2026,Francisco Cancino,1,https://assets.vogue.com/photos/6a02dfdf28691fd6de6efa46/master/w_2560%2Cc_limit/00001-francisco-cancino-fall-2026-ready-to-wear-mexico-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/mexico-fall-2026/francisco-cancino
mexico-fall-2026,Francisco Cancino,2,https://assets.vogue.com/photos/6a02e02f092a8c15084f9648/master/w_2560%2Cc_limit/00002-francisco-cancino-fall-2026-ready-to-wear-mexico-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/mexico-fall-2026/francisco-cancino
mexico-fall-2026,Francisco Cancino,3,https://assets.vogue.com/photos/6a02dfdf09ff52d2c94d1c91/master/w_2560%2Cc_limit/00003-francisco-cancino-fall-2026-ready-to-wear-mexico-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/mexico-fall-2026/francisco-cancino
mexico-fall-2026,Francisco Cancino,4,https://assets.vogue.com/photos/6a02dfe2f1f51ee490918a75/master/w_2560%2Cc_limit/00004-francisco-cancino-fall-2026-ready-to-wear-mexico-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/mexico-fall-2026/francisco-cancino
mexico-fall-2026,Francisco Cancino,5,https://assets.vogue.com/photos/6a02dfe2f1f51ee490918a7b/master/w_2560%2Cc_limit/00005-francisco-cancino-fall-2026-ready-to-wear-mexico-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/mexico-fall-2026/francisco-cancino
mexico-fall-2026,Francisco Cancino,6,https://assets.vogue.com/photos/6a02dfe5444c3b582be6baf1/master/w_2560%2Cc_limit/00006-francisco-cancino-fall-2026-ready-to-wear-mexico-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/mexico-fall-2026/francisco-cancino
mexico-fall-2026,Francisco Cancino,7,https://assets.vogue.com/photos/6a02e0dc092a8c15084f965a/master/w_1280%2Cc_limit/00001-francisco-cancino-fall-2026-ready-to-wear-mexico-credit-brand.jpg,Mexico Fall 2026,https://www.vogue.com/fashion-shows/mexico-fall-2026/francisco-cancino
mexico-fall-2026,Francisco Cancino,8,https://assets.vogue.com/photos/691842ffe45bb50720d9defb/master/w_1280%2Cc_limit/00001-francisco-cancino-spring-2026-ready-to-wear-mexico-credit-brand.jpg,Mexico Spring 2026,https://www.vogue.com/fashion-shows/mexico-fall-2026/francisco-cancino
mexico-fall-2026,Francisco Cancino,9,https://assets.vogue.com/photos/6821b20d45f143a51a757ef1/master/w_1280%2Cc_limit/00001-francisco-cancino-fall-2025-ready-to-wear-mexico-credit-brand.jpg,Mexico Fall 2025,https://www.vogue.com/fashion-shows/mexico-fall-2026/francisco-cancino
mexico-fall-2026,Francisco Cancino,10,https://assets.vogue.com/photos/6710cd2bd362008958cf300b/master/w_1280%2Cc_limit/00001-francisco-cancino-spring-2025-ready-to-wear-credit-brand.jpg,Mexico Spring 2025,https://www.vogue.com/fashion-shows/mexico-fall-2026/francisco-cancino
mexico-fall-2026,Francisco Cancino,11,https://assets.vogue.com/photos/664cc76df341313b7bdb92b0/master/w_1280%2Cc_limit/00001-francisco-cancino-fall-2024-ready-to-wear-mexico-credit-brand.jpg,Mexico Fall 2024,https://www.vogue.com/fashion-shows/mexico-fall-2026/francisco-cancino
mexico-fall-2026,Francisco Cancino,12,https://assets.vogue.com/photos/6526b513e3ef4b1008003464/master/w_1280%2Cc_limit/00001-francisco-cancino-spring-2024-ready-to-wear-mexico-credit-israel-esparza-for-mercedes-benz-fashion-week-mexico.jpg,Mexico Spring 2024,https://www.vogue.com/fashion-shows/mexico-fall-2026/francisco-cancino
