season,designer,look_number,image_url,caption,source_url
mexico-fall-2026,Mancandy,1,https://assets.vogue.com/photos/6a184cf085ae2c0aaa63715c/master/w_2560%2Cc_limit/00001-mancandy-fall-2026-ready-to-wear-mexico-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/mexico-fall-2026/mancandy
mexico-fall-2026,Mancandy,2,https://assets.vogue.com/photos/6a184cf02d7d5770cfdf9aba/master/w_2560%2Cc_limit/00002-mancandy-fall-2026-ready-to-wear-mexico-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/mexico-fall-2026/mancandy
mexico-fall-2026,Mancandy,3,https://assets.vogue.com/photos/6a184cf0383034aeb72a9623/master/w_2560%2Cc_limit/00003-mancandy-fall-2026-ready-to-wear-mexico-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/mexico-fall-2026/mancandy
mexico-fall-2026,Mancandy,4,https://assets.vogue.com/photos/6a184cf38a0e8bd08b6da928/master/w_2560%2Cc_limit/00004-mancandy-fall-2026-ready-to-wear-mexico-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/mexico-fall-2026/mancandy
mexico-fall-2026,Mancandy,5,https://assets.vogue.com/photos/6a184cf360c5148778821326/master/w_2560%2Cc_limit/00005-mancandy-fall-2026-ready-to-wear-mexico-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/mexico-fall-2026/mancandy
mexico-fall-2026,Mancandy,6,https://assets.vogue.com/photos/6a184cf43e022ee2fcd58061/master/w_2560%2Cc_limit/00006-mancandy-fall-2026-ready-to-wear-mexico-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/mexico-fall-2026/mancandy
mexico-fall-2026,Mancandy,7,https://assets.vogue.com/photos/6a184dbafd11ed7fa52283bb/master/w_1280%2Cc_limit/00001-mancandy-fall-2026-ready-to-wear-mexico-credit-brand.jpg,Mexico Fall 2026,https://www.vogue.com/fashion-shows/mexico-fall-2026/mancandy
mexico-fall-2026,Mancandy,8,https://assets.vogue.com/photos/69248f17e3c5348779e8fc44/master/w_1280%2Cc_limit/00001-mancandy-spring-2026-ready-to-wear-mexico-credit-brand.jpg,Mexico Spring 2026,https://www.vogue.com/fashion-shows/mexico-fall-2026/mancandy
mexico-fall-2026,Mancandy,9,https://assets.vogue.com/photos/6714c94c2c66ee75704eb5fc/master/w_1280%2Cc_limit/00001-mancandy-spring-2025-ready-to-wear-mexico-credit-brand.jpg,Mexico Spring 2025,https://www.vogue.com/fashion-shows/mexico-fall-2026/mancandy
mexico-fall-2026,Mancandy,10,https://assets.vogue.com/photos/652f9eabb8c525a8cd0a7c0f/master/w_1280%2Cc_limit/00001-mancandy-2024-ready-to-wear-mexico-credit-israel-esparza-mercedes-benz-fashion-week-mexico.jpg,Mexico Spring 2024,https://www.vogue.com/fashion-shows/mexico-fall-2026/mancandy
