season,designer,look_number,image_url,caption,source_url
mexico-spring-2026,Alexia Ulibarri,1,https://assets.vogue.com/photos/69184639f6216b9f884c0b4a/master/w_2560%2Cc_limit/00001-alexia-ulibarri-spring-2026-ready-to-wear-mexico-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/mexico-spring-2026/alexia-ulibarri
mexico-spring-2026,Alexia Ulibarri,2,https://assets.vogue.com/photos/6918463940cf725d7f338803/master/w_2560%2Cc_limit/00002-alexia-ulibarri-spring-2026-ready-to-wear-mexico-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/mexico-spring-2026/alexia-ulibarri
mexico-spring-2026,Alexia Ulibarri,3,https://assets.vogue.com/photos/6918463c883205b3bbcb120c/master/w_2560%2Cc_limit/00003-alexia-ulibarri-spring-2026-ready-to-wear-mexico-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/mexico-spring-2026/alexia-ulibarri
mexico-spring-2026,Alexia Ulibarri,4,https://assets.vogue.com/photos/6918463d8f1331715fc292b6/master/w_2560%2Cc_limit/00004-alexia-ulibarri-spring-2026-ready-to-wear-mexico-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/mexico-spring-2026/alexia-ulibarri
mexico-spring-2026,Alexia Ulibarri,5,https://assets.vogue.com/photos/6918463ecbbc1bc98362c838/master/w_2560%2Cc_limit/00005-alexia-ulibarri-spring-2026-ready-to-wear-mexico-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/mexico-spring-2026/alexia-ulibarri
mexico-spring-2026,Alexia Ulibarri,6,https://assets.vogue.com/photos/691846408b8eeade7e12563d/master/w_2560%2Cc_limit/00006-alexia-ulibarri-spring-2026-ready-to-wear-mexico-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/mexico-spring-2026/alexia-ulibarri
mexico-spring-2026,Alexia Ulibarri,7,https://assets.vogue.com/photos/691846979b44c3d76664ce23/master/w_1280%2Cc_limit/00001-alexia-ulibarri-spring-2026-ready-to-wear-mexico-credit-brand.jpg,Mexico Spring 2026,https://www.vogue.com/fashion-shows/mexico-spring-2026/alexia-ulibarri
mexico-spring-2026,Alexia Ulibarri,8,https://assets.vogue.com/photos/626944b7c2aad9f5943e2b82/master/w_1280%2Cc_limit/00001-alexia-ulibarri-mexico-city-fall-2022-mexico-credit-israel-esparza.jpg,Mexico City Fall 2022,https://www.vogue.com/fashion-shows/mexico-spring-2026/alexia-ulibarri
mexico-spring-2026,Alexia Ulibarri,9,https://assets.vogue.com/photos/616dc8276426d40cdb41f437/master/w_1280%2Cc_limit/00001-AlexiaUlibarri-Spring-22-Mexico-credit-brand.jpg,Mexico City Spring 2022,https://www.vogue.com/fashion-shows/mexico-spring-2026/alexia-ulibarri
mexico-spring-2026,Francisco Cancino,1,https://assets.vogue.com/photos/69184278883205b3bbcb1201/master/w_2560%2Cc_limit/00001-francisco-cancino-spring-2026-ready-to-wear-mexico-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/mexico-spring-2026/francisco-cancino
