season,designer,look_number,image_url,caption,source_url
pre-fall-2026,Alix Higgins,1,https://assets.vogue.com/photos/69b7ce3aee9b5d1217213d0e/master/w_2560%2Cc_limit/00001-alix-higgins-pre-fall-2026-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/pre-fall-2026/alix-higgins
pre-fall-2026,Alix Higgins,2,https://assets.vogue.com/photos/69b7ce3ac25b2bf7cf448dd3/master/w_2560%2Cc_limit/00002-alix-higgins-pre-fall-2026-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/pre-fall-2026/alix-higgins
pre-fall-2026,Alix Higgins,3,https://assets.vogue.com/photos/69b7ce3a6c3b7e5757a77880/master/w_2560%2Cc_limit/00003-alix-higgins-pre-fall-2026-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/pre-fall-2026/alix-higgins
pre-fall-2026,Alix Higgins,4,https://assets.vogue.com/photos/69b7ce3d4834a98f9f15a3c5/master/w_2560%2Cc_limit/00004-alix-higgins-pre-fall-2026-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/pre-fall-2026/alix-higgins
pre-fall-2026,Alix Higgins,5,https://assets.vogue.com/photos/69b7ce3d1db92174ffd7fea4/master/w_2560%2Cc_limit/00005-alix-higgins-pre-fall-2026-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/pre-fall-2026/alix-higgins
pre-fall-2026,Alix Higgins,6,https://assets.vogue.com/photos/69b7ce3d5e6bcea118b8d3db/master/w_2560%2Cc_limit/00006-alix-higgins-pre-fall-2026-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/pre-fall-2026/alix-higgins
pre-fall-2026,Alix Higgins,7,https://assets.vogue.com/photos/69b7cf6663985536956decd2/master/w_1280%2Cc_limit/00001-alix-higgins-pre-fall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/pre-fall-2026/alix-higgins
pre-fall-2026,Alix Higgins,8,https://assets.vogue.com/photos/68243afe472524da42d776ec/master/w_1280%2Cc_limit/00001-alix-higgins-resort-2026-australia-credit-gorunway.jpg,Australia Resort 2026,https://www.vogue.com/fashion-shows/pre-fall-2026/alix-higgins
pre-fall-2026,Alix Higgins,9,https://assets.vogue.com/photos/66444674fab05c20b001e5c3/master/w_1280%2Cc_limit/00001-alix-higgins-resort-2025-australia-credit-gorunway.jpg,Australia Resort 2025,https://www.vogue.com/fashion-shows/pre-fall-2026/alix-higgins
pre-fall-2026,Alix Higgins,10,https://assets.vogue.com/photos/646732cd406cf236781d3f63/master/w_1280%2Cc_limit/00001-alix-higgins-australia-resort-2024-credit-gorunway.jpg,Australia Resort 2024,https://www.vogue.com/fashion-shows/pre-fall-2026/alix-higgins
pre-fall-2026,Alix Higgins,11,https://assets.vogue.com/photos/627e2212c256e533ccecff80/master/w_1280%2Cc_limit/00001-alix-higgins-australia-resort-2023-credit-getty-images-via-brand.jpg,Australia Resort 2023,https://www.vogue.com/fashion-shows/pre-fall-2026/alix-higgins
