season,designer,look_number,image_url,caption,source_url
resort-2026,6397,1,https://assets.vogue.com/photos/68400be833663cae0c6ce127/master/w_2560%2Cc_limit/00001-6397-resort-2026-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/resort-2026/6397
resort-2026,6397,2,https://assets.vogue.com/photos/68400be98253b0f3f595de5d/master/w_2560%2Cc_limit/00002-6397-resort-2026-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/resort-2026/6397
resort-2026,6397,3,https://assets.vogue.com/photos/68400be9045cd82f60804382/master/w_2560%2Cc_limit/00003-6397-resort-2026-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/resort-2026/6397
resort-2026,6397,4,https://assets.vogue.com/photos/68400bebb65d70b0d282dbe3/master/w_2560%2Cc_limit/00004-6397-resort-2026-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/resort-2026/6397
resort-2026,6397,5,https://assets.vogue.com/photos/68400bebf142a1b158288e97/master/w_2560%2Cc_limit/00005-6397-resort-2026-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/resort-2026/6397
resort-2026,6397,6,https://assets.vogue.com/photos/68400beb87460af6f1925515/master/w_2560%2Cc_limit/00006-6397-resort-2026-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/resort-2026/6397
resort-2026,6397,7,https://assets.vogue.com/photos/68400d8badeaf61bf2d074ca/master/w_2560%2Cc_limit/00001a-6397-resort-2026-details-credit-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/resort-2026/6397
resort-2026,6397,8,https://assets.vogue.com/photos/68400d8ccf57eaab43f09960/master/w_2560%2Cc_limit/00002a-6397-resort-2026-details-credit-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/resort-2026/6397
resort-2026,6397,9,https://assets.vogue.com/photos/68400d8b9ef5aa89fad1d15c/master/w_2560%2Cc_limit/00003a-6397-resort-2026-details-credit-brand.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/resort-2026/6397
resort-2026,6397,10,https://assets.vogue.com/photos/68400d8e0095e81fc99a2a2c/master/w_2560%2Cc_limit/00004a-6397-resort-2026-details-credit-brand.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/resort-2026/6397
resort-2026,6397,11,https://assets.vogue.com/photos/68400d8e045cd82f60804385/master/w_2560%2Cc_limit/00005a-6397-resort-2026-details-credit-brand.jpg,Detail Look 5,https://www.vogue.com/fashion-shows/resort-2026/6397
resort-2026,6397,12,https://assets.vogue.com/photos/68400d8e84955c80773b5728/master/w_2560%2Cc_limit/00006a-6397-resort-2026-details-credit-brand.jpg,Detail Look 6,https://www.vogue.com/fashion-shows/resort-2026/6397
resort-2026,6397,13,https://assets.vogue.com/photos/693708f55caf48caec349f33/master/w_1280%2Cc_limit/00001-6397-pre-fall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/resort-2026/6397
resort-2026,6397,14,https://assets.vogue.com/photos/68c88ebf67fdbb1bebbc2c64/master/w_1280%2Cc_limit/00001-6397-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2026/6397
resort-2026,6397,15,https://assets.vogue.com/photos/68400d1ca544c8911ea056ee/master/w_1280%2Cc_limit/00001-6397-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/resort-2026/6397
resort-2026,6397,16,https://assets.vogue.com/photos/67ae413660e63ed5fd33dcf6/master/w_1280%2Cc_limit/00001-6397-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2026/6397
resort-2026,6397,17,https://assets.vogue.com/photos/674f4ae6c32b280d046e64cf/master/w_1280%2Cc_limit/00001-6397-pre-fall-2025-credit-brand.jpg,Pre-Fall 2025,https://www.vogue.com/fashion-shows/resort-2026/6397
resort-2026,6397,18,https://assets.vogue.com/photos/66df3402a1f6308204cae00e/master/w_1280%2Cc_limit/00001-6397-spring-2025-ready-to-wear-credit-brand.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2026/6397
resort-2026,A L C,1,https://assets.vogue.com/photos/6842ab8a998e794390196d7c/master/w_2560%2Cc_limit/00001-alc-resort-2026-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/resort-2026/a-l-c
resort-2026,A L C,2,https://assets.vogue.com/photos/6842ab8beaeb5d755b9409f2/master/w_2560%2Cc_limit/00002-alc-resort-2026-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/resort-2026/a-l-c
resort-2026,A L C,3,https://assets.vogue.com/photos/6842ab8b42c97db7f8d5be51/master/w_2560%2Cc_limit/00003-alc-resort-2026-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/resort-2026/a-l-c
