season,designer,look_number,image_url,caption,source_url
resort-2027,Adam Lippes,1,https://assets.vogue.com/photos/6a20389198e37540ddca39c5/master/w_2560%2Cc_limit/00001-adam-lippes-resort-2027-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/resort-2027/adam-lippes
resort-2027,Adam Lippes,2,https://assets.vogue.com/photos/6a203891486d749e03a01bb5/master/w_2560%2Cc_limit/00002-adam-lippes-resort-2027-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/resort-2027/adam-lippes
resort-2027,Adam Lippes,3,https://assets.vogue.com/photos/6a20389047b57e313223c697/master/w_2560%2Cc_limit/00003-adam-lippes-resort-2027-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/resort-2027/adam-lippes
resort-2027,Adam Lippes,4,https://assets.vogue.com/photos/6a2038942bf6ff5c1bd91611/master/w_2560%2Cc_limit/00004-adam-lippes-resort-2027-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/resort-2027/adam-lippes
resort-2027,Adam Lippes,5,https://assets.vogue.com/photos/6a20389441b66177a7d102b6/master/w_2560%2Cc_limit/00005-adam-lippes-resort-2027-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/resort-2027/adam-lippes
resort-2027,Adam Lippes,6,https://assets.vogue.com/photos/6a2038955ac9b8e5f3a9aa48/master/w_2560%2Cc_limit/00006-adam-lippes-resort-2027-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/resort-2027/adam-lippes
resort-2027,Adam Lippes,7,https://assets.vogue.com/photos/6a20399d83cad60e859575e0/master/w_2560%2Cc_limit/00002a-adam-lippes-resort-2027-details-credit-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/resort-2027/adam-lippes
resort-2027,Adam Lippes,8,https://assets.vogue.com/photos/6a20399f83cad60e859575e6/master/w_2560%2Cc_limit/00003a-adam-lippes-resort-2027-details-credit-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/resort-2027/adam-lippes
resort-2027,Adam Lippes,9,https://assets.vogue.com/photos/6a20399b01936f16eac57e81/master/w_2560%2Cc_limit/00005a-adam-lippes-resort-2027-details-credit-brand.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/resort-2027/adam-lippes
resort-2027,Adam Lippes,10,https://assets.vogue.com/photos/6a20399fdd4218405ca59a5e/master/w_2560%2Cc_limit/00006a-adam-lippes-resort-2027-details-credit-brand.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/resort-2027/adam-lippes
resort-2027,Adam Lippes,11,https://assets.vogue.com/photos/6a2039a1143199104286f154/master/w_2560%2Cc_limit/00010a-adam-lippes-resort-2027-details-credit-brand.jpg,Detail Look 5,https://www.vogue.com/fashion-shows/resort-2027/adam-lippes
resort-2027,Adam Lippes,12,https://assets.vogue.com/photos/6a2039a2a415106318477b2f/master/w_2560%2Cc_limit/00019a-adam-lippes-resort-2027-details-credit-brand.jpg,Detail Look 6,https://www.vogue.com/fashion-shows/resort-2027/adam-lippes
resort-2027,Adam Lippes,13,https://assets.vogue.com/photos/6a20387155cfabb025d34871/master/w_1280%2Cc_limit/00001-adam-lippes-resort-2027-credit-brand.jpg,Resort 2027,https://www.vogue.com/fashion-shows/resort-2027/adam-lippes
resort-2027,Adam Lippes,14,https://assets.vogue.com/photos/69932572699b8d2775ce4c7d/master/w_1280%2Cc_limit/00001-adam-lippes-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/adam-lippes
resort-2027,Adam Lippes,15,https://assets.vogue.com/photos/69394a0b8d7eec09388c0649/master/w_1280%2Cc_limit/00001-adam-lippes-pre-fall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/resort-2027/adam-lippes
resort-2027,Adam Lippes,16,https://assets.vogue.com/photos/68c44347fe839688832ed461/master/w_1280%2Cc_limit/00001-adam-lippes-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/adam-lippes
resort-2027,Adam Lippes,17,https://assets.vogue.com/photos/68432c3fcc0f4f3ad3878524/master/w_1280%2Cc_limit/00001-adam-lippes-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/resort-2027/adam-lippes
resort-2027,Adam Lippes,18,https://assets.vogue.com/photos/67b3087f7ea3796cfbb52af1/master/w_1280%2Cc_limit/00001-adam-lippes-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/adam-lippes
