season,designer,look_number,image_url,caption,source_url
resort-2027,Alberta Ferretti,1,https://assets.vogue.com/photos/6a2182d583cad60e85958d0c/master/w_2560%2Cc_limit/00001-alberta-ferretti-resort-2027-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/resort-2027/alberta-ferretti
resort-2027,Alberta Ferretti,2,https://assets.vogue.com/photos/6a2182d40689786776b0cbea/master/w_2560%2Cc_limit/00002-alberta-ferretti-resort-2027-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/resort-2027/alberta-ferretti
resort-2027,Alberta Ferretti,3,https://assets.vogue.com/photos/6a2182d683cad60e85958d19/master/w_2560%2Cc_limit/00003-alberta-ferretti-resort-2027-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/resort-2027/alberta-ferretti
resort-2027,Alberta Ferretti,4,https://assets.vogue.com/photos/6a2182d84e1b7a48982551f5/master/w_2560%2Cc_limit/00004-alberta-ferretti-resort-2027-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/resort-2027/alberta-ferretti
resort-2027,Alberta Ferretti,5,https://assets.vogue.com/photos/6a2182d962794640d33b2341/master/w_2560%2Cc_limit/00005-alberta-ferretti-resort-2027-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/resort-2027/alberta-ferretti
resort-2027,Alberta Ferretti,6,https://assets.vogue.com/photos/6a2182da4be0781a04f8c23e/master/w_2560%2Cc_limit/00006-alberta-ferretti-resort-2027-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/resort-2027/alberta-ferretti
resort-2027,Alberta Ferretti,7,https://assets.vogue.com/photos/6a2183bffcb893695efbdfe4/master/w_1280%2Cc_limit/00001-alberta-ferretti-resort-2027-credit-brand.jpg,Resort 2027,https://www.vogue.com/fashion-shows/resort-2027/alberta-ferretti
resort-2027,Alberta Ferretti,8,https://assets.vogue.com/photos/697f9525963155e2a16175c8/master/w_1280%2Cc_limit/00001-alberta-ferretti-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/alberta-ferretti
resort-2027,Alberta Ferretti,9,https://assets.vogue.com/photos/691f2318ead520f6538ae7d7/master/w_1280%2Cc_limit/00001-alberta-ferretti-prefall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/resort-2027/alberta-ferretti
resort-2027,Alberta Ferretti,10,https://assets.vogue.com/photos/68d2dd99f4d7b88b963b3aa5/master/w_1280%2Cc_limit/00001-alberta-ferretti-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/alberta-ferretti
resort-2027,Alberta Ferretti,11,https://assets.vogue.com/photos/683efe21967bcb6c158b1cbc/master/w_1280%2Cc_limit/00001-alberta-ferretti-resort-2026-detail-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/resort-2027/alberta-ferretti
resort-2027,Alberta Ferretti,12,https://assets.vogue.com/photos/67be2a8ac9fe254958d40114/master/w_1280%2Cc_limit/00001-alberta-ferretti-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/alberta-ferretti
