season,designer,look_number,image_url,caption,source_url
resort-2027,Ashlyn,1,https://assets.vogue.com/photos/6a22fd86ca149766ad50484d/master/w_2560%2Cc_limit/00001-ashlyn-resort-2027-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/resort-2027/ashlyn
resort-2027,Ashlyn,2,https://assets.vogue.com/photos/6a22fd85d50f2a7e6d7fae95/master/w_2560%2Cc_limit/00002-ashlyn-resort-2027-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/resort-2027/ashlyn
resort-2027,Ashlyn,3,https://assets.vogue.com/photos/6a22fd865f72af7dbc8bd4b8/master/w_2560%2Cc_limit/00003-ashlyn-resort-2027-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/resort-2027/ashlyn
resort-2027,Ashlyn,4,https://assets.vogue.com/photos/6a22fd883dcb72c16e6d339c/master/w_2560%2Cc_limit/00004-ashlyn-resort-2027-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/resort-2027/ashlyn
resort-2027,Ashlyn,5,https://assets.vogue.com/photos/6a22fd89bea56d2e1507a2ec/master/w_2560%2Cc_limit/00005-ashlyn-resort-2027-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/resort-2027/ashlyn
resort-2027,Ashlyn,6,https://assets.vogue.com/photos/6a22fd888506535e6d9ee372/master/w_2560%2Cc_limit/00006-ashlyn-resort-2027-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/resort-2027/ashlyn
resort-2027,Ashlyn,7,https://assets.vogue.com/photos/6a22fe18ac6d35f607103b30/master/w_2560%2Cc_limit/00001-ashlyn-resort-2027-details-credit-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/resort-2027/ashlyn
resort-2027,Ashlyn,8,https://assets.vogue.com/photos/6a22fe183dcb72c16e6d35eb/master/w_2560%2Cc_limit/00003-ashlyn-resort-2027-details-credit-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/resort-2027/ashlyn
resort-2027,Ashlyn,9,https://assets.vogue.com/photos/6a22fe1abea56d2e1507a2f8/master/w_2560%2Cc_limit/00004-ashlyn-resort-2027-details-credit-brand.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/resort-2027/ashlyn
resort-2027,Ashlyn,10,https://assets.vogue.com/photos/6a22fe1bda5fa9d308b726b6/master/w_2560%2Cc_limit/00005-ashlyn-resort-2027-details-credit-brand.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/resort-2027/ashlyn
resort-2027,Ashlyn,11,https://assets.vogue.com/photos/6a22fe1bd1b9bd695a14ca92/master/w_2560%2Cc_limit/00006-ashlyn-resort-2027-details-credit-brand.jpg,Detail Look 5,https://www.vogue.com/fashion-shows/resort-2027/ashlyn
resort-2027,Ashlyn,12,https://assets.vogue.com/photos/6a22fd607703e7e6a3bae506/master/w_1280%2Cc_limit/00001-ashlyn-resort-2027-credit-brand.jpg,Resort 2027,https://www.vogue.com/fashion-shows/resort-2027/ashlyn
resort-2027,Ashlyn,13,https://assets.vogue.com/photos/698e4a10a5638c4459ba1418/master/w_1280%2Cc_limit/00001-ashlyn-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/ashlyn
resort-2027,Ashlyn,14,https://assets.vogue.com/photos/68c48fa9a22a85c8403fe099/master/w_1280%2Cc_limit/00001-ashlyn-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/ashlyn
resort-2027,Ashlyn,15,https://assets.vogue.com/photos/67a691479b714aada1968c55/master/w_1280%2Cc_limit/00001-ashlyn-fall-2025-ready-to-wear-credit-gorunway.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/ashlyn
resort-2027,Ashlyn,16,https://assets.vogue.com/photos/66df4d7f9f1ebd0bc3b02559/master/w_1280%2Cc_limit/00001-ashlyn-spring-2025-ready-to-wear-credit-brand.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/ashlyn
resort-2027,Ashlyn,17,https://assets.vogue.com/photos/66680dba44804e462d3116dc/master/w_1280%2Cc_limit/00001-ashlyn-resort-2025-credit-brand.jpg,Resort 2025,https://www.vogue.com/fashion-shows/resort-2027/ashlyn
