season,designer,look_number,image_url,caption,source_url
resort-2027,Atelier Prabal Gurung,1,https://assets.vogue.com/photos/6a2a7c81af5b67e767cdf4fb/master/w_2560%2Cc_limit/00001-atelier-prabal-gurung-resort-2027-credit-mark-grgurich-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/resort-2027/atelier-prabal-gurung
resort-2027,Atelier Prabal Gurung,2,https://assets.vogue.com/photos/6a2a7c8196b038b8a901103f/master/w_2560%2Cc_limit/00002-atelier-prabal-gurung-resort-2027-credit-mark-grgurich-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/resort-2027/atelier-prabal-gurung
resort-2027,Atelier Prabal Gurung,3,https://assets.vogue.com/photos/6a2a7c818bb2ebda48f262f6/master/w_2560%2Cc_limit/00003-atelier-prabal-gurung%2520resort-2027-credit-mark-grgurich-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/resort-2027/atelier-prabal-gurung
resort-2027,Atelier Prabal Gurung,4,https://assets.vogue.com/photos/6a2a7c8342efb2a216ebf5f2/master/w_2560%2Cc_limit/00004-atelier-prabal-gurung-resort-2027-credit-mark-grgurich-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/resort-2027/atelier-prabal-gurung
resort-2027,Atelier Prabal Gurung,5,https://assets.vogue.com/photos/6a2a7c840d4d1fcd5a672fa0/master/w_2560%2Cc_limit/00005-atelier-prabal-gurung-resort-2027-credit-mark-grgurich-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/resort-2027/atelier-prabal-gurung
resort-2027,Atelier Prabal Gurung,6,https://assets.vogue.com/photos/6a2a7c84d2ceb66baa5e3dc5/master/w_2560%2Cc_limit/00006-atelier-prabal-gurung-resort-2027-credit-mark-grgurich-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/resort-2027/atelier-prabal-gurung
resort-2027,Atelier Prabal Gurung,7,https://assets.vogue.com/photos/6a2a7c5642efb2a216ebf5ec/master/w_2560%2Cc_limit/00006a-atelier-prabal-gurung-resort-2027-details-credit-mark-grgurich-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/resort-2027/atelier-prabal-gurung
resort-2027,Atelier Prabal Gurung,8,https://assets.vogue.com/photos/6a2a7c563c8d0393fa1beeab/master/w_2560%2Cc_limit/00011a-atelier-prabal-gurung-resort-2027-details-credit-mark-grgurich-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/resort-2027/atelier-prabal-gurung
resort-2027,Atelier Prabal Gurung,9,https://assets.vogue.com/photos/6a2a7c5678ccba144fa30ed1/master/w_2560%2Cc_limit/00015a-atelier-prabal-gurung-resort-2027-details-credit-mark-grgurich-brand.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/resort-2027/atelier-prabal-gurung
resort-2027,Atelier Prabal Gurung,10,https://assets.vogue.com/photos/679171845872f10ebfefd223/master/w_1280%2Cc_limit/00001-atelier-prabal-gurung-fall-2025-ready-to-wear-credit-andrew-egan-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/atelier-prabal-gurung
resort-2027,Atelier Prabal Gurung,11,https://assets.vogue.com/photos/65eb569b1630e11b678c3fac/master/w_1280%2Cc_limit/00001-atelier-prabal-gurung-spring-2024-couture-credit-andrew-egan.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/atelier-prabal-gurung
