season,designer,look_number,image_url,caption,source_url
resort-2027,Bibhu Mohapatra,1,https://assets.vogue.com/photos/6a2fafcd5641ee581d3bb511/master/w_2560%2Cc_limit/00001-bibhu-mohapatra-resort-2027-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/resort-2027/bibhu-mohapatra
resort-2027,Bibhu Mohapatra,2,https://assets.vogue.com/photos/6a2fafcd6a9dbd44bc6fb37f/master/w_2560%2Cc_limit/00002-bibhu-mohapatra-resort-2027-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/resort-2027/bibhu-mohapatra
resort-2027,Bibhu Mohapatra,3,https://assets.vogue.com/photos/6a2fafcda2051cd267a1e5f4/master/w_2560%2Cc_limit/00003-bibhu-mohapatra-resort-2027-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/resort-2027/bibhu-mohapatra
resort-2027,Bibhu Mohapatra,4,https://assets.vogue.com/photos/6a2fafcf54efa927ec9db0f8/master/w_2560%2Cc_limit/00004-bibhu-mohapatra-resort-2027-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/resort-2027/bibhu-mohapatra
resort-2027,Bibhu Mohapatra,5,https://assets.vogue.com/photos/6a2fafcfec61324c358370f2/master/w_2560%2Cc_limit/00005-bibhu-mohapatra-resort-2027-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/resort-2027/bibhu-mohapatra
resort-2027,Bibhu Mohapatra,6,https://assets.vogue.com/photos/6a2fafd0545a83525fa92e7a/master/w_2560%2Cc_limit/00006-bibhu-mohapatra-resort-2027-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/resort-2027/bibhu-mohapatra
resort-2027,Bibhu Mohapatra,7,https://assets.vogue.com/photos/6a2fb0d6552b54b0b31ed580/master/w_1280%2Cc_limit/00001-bibhu-mohapatra-resort-2027-credit-brand.jpg,Resort 2027,https://www.vogue.com/fashion-shows/resort-2027/bibhu-mohapatra
resort-2027,Bibhu Mohapatra,8,https://assets.vogue.com/photos/6992e84d5c9dc556f59c43cd/master/w_1280%2Cc_limit/00001-bibhu-mohapatra-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/bibhu-mohapatra
resort-2027,Bibhu Mohapatra,9,https://assets.vogue.com/photos/68c8a42ef96c4760e9061745/master/w_1280%2Cc_limit/00001-bibhu-mohapatra-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/bibhu-mohapatra
resort-2027,Bibhu Mohapatra,10,https://assets.vogue.com/photos/684c45986b71bf5e67279a33/master/w_1280%2Cc_limit/00001-bibhu-mohapatra-resort-2026-credit-kevin-sturman-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/resort-2027/bibhu-mohapatra
resort-2027,Bibhu Mohapatra,11,https://assets.vogue.com/photos/67aa9549844ce58a38201cd8/master/w_1280%2Cc_limit/00001-bibhu-mohapatra-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/bibhu-mohapatra
resort-2027,Bibhu Mohapatra,12,https://assets.vogue.com/photos/66e151c993fec9ff2da3e446/master/w_1280%2Cc_limit/00001-bibhu-mohapatra-spring-2025-ready-to-wear-credit-gorunway.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/bibhu-mohapatra
