season,designer,look_number,image_url,caption,source_url
resort-2027,Blumarine,1,https://assets.vogue.com/photos/6a1565e6a3f726652bbaef83/master/w_2560%2Cc_limit/00001-blumarine-resort-2027-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/resort-2027/blumarine
resort-2027,Blumarine,2,https://assets.vogue.com/photos/6a1565e74028f56f9c8592ef/master/w_2560%2Cc_limit/00002-blumarine-resort-2027-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/resort-2027/blumarine
resort-2027,Blumarine,3,https://assets.vogue.com/photos/6a1565e65f7f8d579571f94e/master/w_2560%2Cc_limit/00003-blumarine-resort-2027-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/resort-2027/blumarine
resort-2027,Blumarine,4,https://assets.vogue.com/photos/6a1565eae5158a0dc22bcdab/master/w_2560%2Cc_limit/00004-blumarine-resort-2027-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/resort-2027/blumarine
resort-2027,Blumarine,5,https://assets.vogue.com/photos/6a1565ecd649c1bb842cc601/master/w_2560%2Cc_limit/00005-blumarine-resort-2027-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/resort-2027/blumarine
resort-2027,Blumarine,6,https://assets.vogue.com/photos/6a1565ec34dbec03f2abc25f/master/w_2560%2Cc_limit/00006-blumarine-resort-2027-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/resort-2027/blumarine
resort-2027,Blumarine,7,https://assets.vogue.com/photos/6a15664c4028f56f9c859304/master/w_1280%2Cc_limit/00001-blumarine-resort-2027-credit-brand.jpg,Resort 2027,https://www.vogue.com/fashion-shows/resort-2027/blumarine
resort-2027,Blumarine,8,https://assets.vogue.com/photos/69a1a5ed9353ccc561c39201/master/w_1280%2Cc_limit/00001-blumarine-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/blumarine
resort-2027,Blumarine,9,https://assets.vogue.com/photos/69651fcb3fa9aa70451ee074/master/w_1280%2Cc_limit/00001-blumarine-pre-fall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/resort-2027/blumarine
resort-2027,Blumarine,10,https://assets.vogue.com/photos/68d67d27c4bfd66195140b3c/master/w_1280%2Cc_limit/00001-blumarine-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/blumarine
resort-2027,Blumarine,11,https://assets.vogue.com/photos/684da4daca0c80e43dfe13cf/master/w_1280%2Cc_limit/00001-blumarine-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/resort-2027/blumarine
resort-2027,Blumarine,12,https://assets.vogue.com/photos/67c06570b9a6569122b8a2d4/master/w_1280%2Cc_limit/00001-blumarine-fall-2025-ready-to-wear-credit-gorunway.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/blumarine
