season,designer,look_number,image_url,caption,source_url
resort-2027,Carolina Herrera,1,https://assets.vogue.com/photos/6a26df7f931d9d7c0c9eae37/master/w_2560%2Cc_limit/00001-carolina-herrera-resort-2027-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/resort-2027/carolina-herrera
resort-2027,Carolina Herrera,2,https://assets.vogue.com/photos/6a26df7f65a93248756808e6/master/w_2560%2Cc_limit/00002-carolina-herrera-resort-2027-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/resort-2027/carolina-herrera
resort-2027,Carolina Herrera,3,https://assets.vogue.com/photos/6a26df800d94d755358fea87/master/w_2560%2Cc_limit/00003-carolina-herrera-resort-2027-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/resort-2027/carolina-herrera
resort-2027,Carolina Herrera,4,https://assets.vogue.com/photos/6a26df839ae035893bf118c7/master/w_2560%2Cc_limit/00004-carolina-herrera-resort-2027-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/resort-2027/carolina-herrera
resort-2027,Carolina Herrera,5,https://assets.vogue.com/photos/6a26df84aa1815e71dfaf59f/master/w_2560%2Cc_limit/00005-carolina-herrera-resort-2027-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/resort-2027/carolina-herrera
resort-2027,Carolina Herrera,6,https://assets.vogue.com/photos/6a26df848e7e6baf4bfe7771/master/w_2560%2Cc_limit/00006-carolina-herrera-resort-2027-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/resort-2027/carolina-herrera
resort-2027,Carolina Herrera,7,https://assets.vogue.com/photos/6a26e0ba595a3d31bbd13644/master/w_1280%2Cc_limit/00001-carolina-herrera-resort-2027-credit-brand.jpg,Resort 2027,https://www.vogue.com/fashion-shows/resort-2027/carolina-herrera
resort-2027,Carolina Herrera,8,https://assets.vogue.com/photos/698e172c0e652cb218c5111b/master/w_1280%2Cc_limit/00001-carolina-herrera-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/carolina-herrera
resort-2027,Carolina Herrera,9,https://assets.vogue.com/photos/695c378282604c824f9ffbdf/master/w_1280%2Cc_limit/00001-carolina-herrera-prefall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/resort-2027/carolina-herrera
resort-2027,Carolina Herrera,10,https://assets.vogue.com/photos/69247342f1daecfabdfa98be/master/w_1280%2Cc_limit/00001-carolina-herrera-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/resort-2027/carolina-herrera
resort-2027,Carolina Herrera,11,https://assets.vogue.com/photos/68cc4f40e605964057b9ae8c/master/w_1280%2Cc_limit/_SDR0013.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/carolina-herrera
resort-2027,Carolina Herrera,12,https://assets.vogue.com/photos/67aa46873a9633dc42d04563/master/w_1280%2Cc_limit/00001-carolina-herrera-fall-2025-ready-to-wear-credit-gorunway.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/carolina-herrera
