season,designer,look_number,image_url,caption,source_url
resort-2027,Diesel,1,https://assets.vogue.com/photos/6a1ff1d0a415106318477a36/master/w_2560%2Cc_limit/00001-diesel-resort-2027-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/resort-2027/diesel
resort-2027,Diesel,2,https://assets.vogue.com/photos/6a1ff1d0620c5e6f5097906b/master/w_2560%2Cc_limit/00002-diesel-resort-2027-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/resort-2027/diesel
resort-2027,Diesel,3,https://assets.vogue.com/photos/6a1ff1d301936f16eac57c2c/master/w_2560%2Cc_limit/00003-diesel-resort-2027-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/resort-2027/diesel
resort-2027,Diesel,4,https://assets.vogue.com/photos/6a1ff1d48a211b0d6d764f1a/master/w_2560%2Cc_limit/00004-diesel-resort-2027-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/resort-2027/diesel
resort-2027,Diesel,5,https://assets.vogue.com/photos/6a1ff1d42bf6ff5c1bd914cb/master/w_2560%2Cc_limit/00005-diesel-resort-2027-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/resort-2027/diesel
resort-2027,Diesel,6,https://assets.vogue.com/photos/6a1ff1d541b66177a7d10204/master/w_2560%2Cc_limit/00006-diesel-resort-2027-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/resort-2027/diesel
resort-2027,Diesel,7,https://assets.vogue.com/photos/6a1ff25cc3a9eab0b9983dc9/master/w_1280%2Cc_limit/00000-diesel-resort-2027-credit-brand.jpg,Resort 2027,https://www.vogue.com/fashion-shows/resort-2027/diesel
resort-2027,Diesel,8,https://assets.vogue.com/photos/699e1d5731d309942895253b/master/w_1280%2Cc_limit/00001-diesel-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/diesel
resort-2027,Diesel,9,https://assets.vogue.com/photos/691daa1650ab3f6acc5a2b19/master/w_1280%2Cc_limit/00001-diesel-prefall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/resort-2027/diesel
resort-2027,Diesel,10,https://assets.vogue.com/photos/68d43104f0d62ac7a1136f0a/master/w_1280%2Cc_limit/00001-diesel-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/diesel
resort-2027,Diesel,11,https://assets.vogue.com/photos/68358fa0c38c8b48a74ea48e/master/w_1280%2Cc_limit/_00001a-diesel-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/resort-2027/diesel
resort-2027,Diesel,12,https://assets.vogue.com/photos/67c032f64ea8000ddcf9dd17/master/w_1280%2Cc_limit/00001-diesel-fall-2025-ready-to-wear-credit-gorunway.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/diesel
