season,designer,look_number,image_url,caption,source_url
resort-2027,Eckhaus Latta,1,https://assets.vogue.com/photos/6a35023dc7ac1b738a578fde/master/w_2560%2Cc_limit/00001-eckhaus-latta-resort-2027-credit-ritsch-sisters-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/resort-2027/eckhaus-latta
resort-2027,Eckhaus Latta,2,https://assets.vogue.com/photos/6a35023e83496f19bc5c3820/master/w_2560%2Cc_limit/00002-eckhaus-latta-resort-2027-credit-ritsch-sisters-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/resort-2027/eckhaus-latta
resort-2027,Eckhaus Latta,3,https://assets.vogue.com/photos/6a35023da39154d4ff5ee158/master/w_2560%2Cc_limit/00003-eckhaus-latta-resort-2027-credit-ritsch-sisters-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/resort-2027/eckhaus-latta
resort-2027,Eckhaus Latta,4,https://assets.vogue.com/photos/6a35024098abfca1b325533e/master/w_2560%2Cc_limit/00004-eckhaus-latta-resort-2027-credit-ritsch-sisters-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/resort-2027/eckhaus-latta
resort-2027,Eckhaus Latta,5,https://assets.vogue.com/photos/6a35024014df71759ef13629/master/w_2560%2Cc_limit/00005-eckhaus-latta-resort-2027-credit-ritsch-sisters-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/resort-2027/eckhaus-latta
resort-2027,Eckhaus Latta,6,https://assets.vogue.com/photos/6a35024169c73d871c13eab3/master/w_2560%2Cc_limit/00006-eckhaus-latta-resort-2027-credit-ritsch-sisters-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/resort-2027/eckhaus-latta
resort-2027,Eckhaus Latta,7,https://assets.vogue.com/photos/6a3502a14d5a693e400fdfac/master/w_1280%2Cc_limit/00001-eckhaus-latta-resort-2027-credit-ritsch-sisters-brand.jpg,Resort 2027,https://www.vogue.com/fashion-shows/resort-2027/eckhaus-latta
resort-2027,Eckhaus Latta,8,https://assets.vogue.com/photos/699113291b92e743f7369067/master/w_1280%2Cc_limit/00001-eckhaus-latta-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/eckhaus-latta
resort-2027,Eckhaus Latta,9,https://assets.vogue.com/photos/68c609f79fc30053d90c8e2a/master/w_1280%2Cc_limit/00001-eckhaus-latta-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/eckhaus-latta
resort-2027,Eckhaus Latta,10,https://assets.vogue.com/photos/67a7b9112b54c3369e5693e9/master/w_1280%2Cc_limit/00001-eckhaus-latta-fall-2025-ready-to-wear-credit-gorunway.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/eckhaus-latta
resort-2027,Eckhaus Latta,11,https://assets.vogue.com/photos/66db679ab19a526d2a74ad00/master/w_1280%2Cc_limit/00001-eckhaus-latta-spring-2025-ready-to-wear-credit-brand.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/eckhaus-latta
resort-2027,Eckhaus Latta,12,https://assets.vogue.com/photos/65c7f3540bafde8e207880c6/master/w_1280%2Cc_limit/00001-eckhaus-latta-fall-2024-ready-to-wear-credit-gorunway.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/eckhaus-latta
