season,designer,look_number,image_url,caption,source_url
resort-2027,Elie Saab,1,https://assets.vogue.com/photos/6a3564b3c19df43570c33266/master/w_2560%2Cc_limit/00001-elie-saab-resort-2027-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/resort-2027/elie-saab
resort-2027,Elie Saab,2,https://assets.vogue.com/photos/6a3564b45b5b3454062a425a/master/w_2560%2Cc_limit/00002-elie-saab-resort-2027-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/resort-2027/elie-saab
resort-2027,Elie Saab,3,https://assets.vogue.com/photos/6a3564b4c6743ac3369105fe/master/w_2560%2Cc_limit/00003-elie-saab-resort-2027-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/resort-2027/elie-saab
resort-2027,Elie Saab,4,https://assets.vogue.com/photos/6a3564b775480937fc0001d3/master/w_2560%2Cc_limit/00004-elie-saab-resort-2027-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/resort-2027/elie-saab
resort-2027,Elie Saab,5,https://assets.vogue.com/photos/6a3564b95b5b3454062a4260/master/w_2560%2Cc_limit/00005-elie-saab-resort-2027-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/resort-2027/elie-saab
resort-2027,Elie Saab,6,https://assets.vogue.com/photos/6a3564b8c7ac1b738a57912e/master/w_2560%2Cc_limit/00006-elie-saab-resort-2027-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/resort-2027/elie-saab
resort-2027,Elie Saab,7,https://assets.vogue.com/photos/6a35668ba39154d4ff5ee23c/master/w_2560%2Cc_limit/00003a-elie-saab-resort-2027-details-credit-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/resort-2027/elie-saab
resort-2027,Elie Saab,8,https://assets.vogue.com/photos/6a35668a4c8a215ae82230cf/master/w_2560%2Cc_limit/00035a-elie-saab-resort-2027-details-credit-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/resort-2027/elie-saab
resort-2027,Elie Saab,9,https://assets.vogue.com/photos/6a35668ac19df43570c33283/master/w_2560%2Cc_limit/00050a-elie-saab-resort-2027-details-credit-brand.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/resort-2027/elie-saab
resort-2027,Elie Saab,10,https://assets.vogue.com/photos/6a35668d7ca497383515f3a9/master/w_2560%2Cc_limit/00062a-elie-saab-resort-2027-details-credit-brand.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/resort-2027/elie-saab
resort-2027,Elie Saab,11,https://assets.vogue.com/photos/6a3562e4c6743ac3369105f3/master/w_1280%2Cc_limit/00001-elie-saab-resort-2027-credit-brand.jpg,Resort 2027,https://www.vogue.com/fashion-shows/resort-2027/elie-saab
resort-2027,Elie Saab,12,https://assets.vogue.com/photos/69ac6f72e9d9bdfc2c53adf0/master/w_1280%2Cc_limit/00001-elie-saab-fall-2026-ready-to-wear-credit-gorunway.JPG,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/elie-saab
resort-2027,Elie Saab,13,https://assets.vogue.com/photos/697a2c86c8a08947df21e849/master/w_1280%2Cc_limit/00001-elie-saab-spring-2026-couture-credit-gorunway.jpg,Spring 2026 Couture,https://www.vogue.com/fashion-shows/resort-2027/elie-saab
resort-2027,Elie Saab,14,https://assets.vogue.com/photos/69693977e9f6ea06bb17bf04/master/w_1280%2Cc_limit/00001-elie-saab-pre-fall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/resort-2027/elie-saab
resort-2027,Elie Saab,15,https://assets.vogue.com/photos/68e15e69c6626e6f95208d7b/master/w_1280%2Cc_limit/00001-elie-saab-spring-2026-ready-to-wear-credit-gorunway.JPG,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/elie-saab
resort-2027,Elie Saab,16,https://assets.vogue.com/photos/686e8d89224c36d82be707d9/master/w_1280%2Cc_limit/00001-elie-saab-fall-2025-couture-credit-gorunway.JPG,Fall 2025 Couture,https://www.vogue.com/fashion-shows/resort-2027/elie-saab
