season,designer,look_number,image_url,caption,source_url
resort-2027,Kate Barton,1,https://assets.vogue.com/photos/6a2bca1f411c101ee1fb0ccb/master/w_2560%2Cc_limit/00001-kate-barton-resort-2027-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/resort-2027/kate-barton
resort-2027,Kate Barton,2,https://assets.vogue.com/photos/6a2bca20b31f7944e266a461/master/w_2560%2Cc_limit/00002-kate-barton-resort-2027-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/resort-2027/kate-barton
resort-2027,Kate Barton,3,https://assets.vogue.com/photos/6a2bca20b374afe0f2c8e2c8/master/w_2560%2Cc_limit/00003-kate-barton-resort-2027-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/resort-2027/kate-barton
resort-2027,Kate Barton,4,https://assets.vogue.com/photos/6a2bca22db2ae11b747de8eb/master/w_2560%2Cc_limit/00004-kate-barton-resort-2027-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/resort-2027/kate-barton
resort-2027,Kate Barton,5,https://assets.vogue.com/photos/6a2bca24f7c16d93f1274ae4/master/w_2560%2Cc_limit/00005-kate-barton-resort-2027-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/resort-2027/kate-barton
resort-2027,Kate Barton,6,https://assets.vogue.com/photos/6a2bca2478ccba144fa33f90/master/w_2560%2Cc_limit/00006-kate-barton-resort-2027-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/resort-2027/kate-barton
resort-2027,Kate Barton,7,https://assets.vogue.com/photos/6a2bcaee411c101ee1fb0cd7/master/w_2560%2Cc_limit/00001-kate-barton-resort-2027-details-credit-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/resort-2027/kate-barton
resort-2027,Kate Barton,8,https://assets.vogue.com/photos/6a2bcaf142efb2a216ec1694/master/w_2560%2Cc_limit/00002-kate-barton-resort-2027-details-credit-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/resort-2027/kate-barton
resort-2027,Kate Barton,9,https://assets.vogue.com/photos/6a2bcaefc5bf7ee9d6b4a733/master/w_2560%2Cc_limit/00003-kate-barton-resort-2027-details-credit-brand.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/resort-2027/kate-barton
resort-2027,Kate Barton,10,https://assets.vogue.com/photos/6a2bcaf1b31f7944e266a484/master/w_2560%2Cc_limit/00004-kate-barton-resort-2027-details-credit-brand.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/resort-2027/kate-barton
resort-2027,Kate Barton,11,https://assets.vogue.com/photos/6a2bcaf299cfbedc220f11d1/master/w_2560%2Cc_limit/00005-kate-barton-resort-2027-details-credit-brand.jpg,Detail Look 5,https://www.vogue.com/fashion-shows/resort-2027/kate-barton
resort-2027,Kate Barton,12,https://assets.vogue.com/photos/6a2bcaf46ec6b34b2ccc432a/master/w_2560%2Cc_limit/00006-kate-barton-resort-2027-details-credit-brand.jpg,Detail Look 6,https://www.vogue.com/fashion-shows/resort-2027/kate-barton
resort-2027,Kate Barton,13,https://assets.vogue.com/photos/6a2bcae07401e829600d97a7/master/w_1280%2Cc_limit/00001-kate-barton-resort-2027-credit-brand.jpg,Resort 2027,https://www.vogue.com/fashion-shows/resort-2027/kate-barton
resort-2027,Kate Barton,14,https://assets.vogue.com/photos/6990d99fc361e711f698702b/master/w_1280%2Cc_limit/00001-kate-barton-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/kate-barton
resort-2027,Kate Barton,15,https://assets.vogue.com/photos/68c3298189c054e3a211a555/master/w_1280%2Cc_limit/00001-kate-barton-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/kate-barton
resort-2027,Kate Barton,16,https://assets.vogue.com/photos/67aa99af5a5b518d6adfcd39/master/w_1280%2Cc_limit/00001-kate-barton-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/kate-barton
resort-2027,Kate Barton,17,https://assets.vogue.com/photos/66e0bb0b5449429f0c32dada/master/w_1280%2Cc_limit/00001-kate-barton-spring-2025-ready-to-wear-credit-gorunway.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/kate-barton
