season,designer,look_number,image_url,caption,source_url
resort-2027,Lafayette 148,1,https://assets.vogue.com/photos/6a17fd5337a36f27e518db9b/master/w_2560%2Cc_limit/00001-lafayette-148-new-york-resort-2027-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/resort-2027/lafayette-148
resort-2027,Lafayette 148,2,https://assets.vogue.com/photos/6a17fd53aaa12cff6163f2cc/master/w_2560%2Cc_limit/00002-lafayette-148-new-york-resort-2027-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/resort-2027/lafayette-148
resort-2027,Lafayette 148,3,https://assets.vogue.com/photos/6a17fd54b13a70e3fc4528f8/master/w_2560%2Cc_limit/00003-lafayette-148-new-york-resort-2027-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/resort-2027/lafayette-148
resort-2027,Lafayette 148,4,https://assets.vogue.com/photos/6a17fd56fa5862f0683c55bd/master/w_2560%2Cc_limit/00004-lafayette-148-new-york-resort-2027-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/resort-2027/lafayette-148
resort-2027,Lafayette 148,5,https://assets.vogue.com/photos/6a17fd57ce76aacd65233f1f/master/w_2560%2Cc_limit/00005-lafayette-148-new-york-resort-2027-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/resort-2027/lafayette-148
resort-2027,Lafayette 148,6,https://assets.vogue.com/photos/6a17fd572d4ac94caca43295/master/w_2560%2Cc_limit/00006-lafayette-148-new-york-resort-2027-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/resort-2027/lafayette-148
resort-2027,Lafayette 148,7,https://assets.vogue.com/photos/6a17fda3fd11ed7fa522810f/master/w_1280%2Cc_limit/00001-lafayette-148-new-york-resort-2027-credit-brand.jpg,Resort 2027,https://www.vogue.com/fashion-shows/resort-2027/lafayette-148
resort-2027,Lafayette 148,8,https://assets.vogue.com/photos/698cfc4b79fdf8a77f2eddce/master/w_1280%2Cc_limit/00001-lafayette-148-new-york-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/lafayette-148
resort-2027,Lafayette 148,9,https://assets.vogue.com/photos/6932fafc94238268eec90114/master/w_1280%2Cc_limit/00001-lafayette-148-new-york-pre-fall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/resort-2027/lafayette-148
resort-2027,Lafayette 148,10,https://assets.vogue.com/photos/68baa6275d4dbaf5a9c11d33/master/w_1280%2Cc_limit/00001-lafayette-148-new-york-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/lafayette-148
resort-2027,Lafayette 148,11,https://assets.vogue.com/photos/683f1203f3a272c235937b70/master/w_1280%2Cc_limit/00001-lafayette-148-new-york-resort-2026-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/resort-2027/lafayette-148
resort-2027,Lafayette 148,12,https://assets.vogue.com/photos/67a6a7c4e4553f19c75aef39/master/w_1280%2Cc_limit/00001-lafayette-148-new-york-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/lafayette-148
