season,designer,look_number,image_url,caption,source_url
resort-2027,Lauren Manoogian,1,https://assets.vogue.com/photos/6a301a36b62cd79693deff18/master/w_2560%2Cc_limit/00001-lauren-manoogian-resort-2027-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/resort-2027/lauren-manoogian
resort-2027,Lauren Manoogian,2,https://assets.vogue.com/photos/6a301a36e486d9e409bfb9d6/master/w_2560%2Cc_limit/00002-lauren-manoogian-resort-2027-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/resort-2027/lauren-manoogian
resort-2027,Lauren Manoogian,3,https://assets.vogue.com/photos/6a301a364182de8cc2e6e394/master/w_2560%2Cc_limit/00003-lauren-manoogian-resort-2027-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/resort-2027/lauren-manoogian
resort-2027,Lauren Manoogian,4,https://assets.vogue.com/photos/6a301a39e1fe52a605760e79/master/w_2560%2Cc_limit/00004-lauren-manoogian-resort-2027-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/resort-2027/lauren-manoogian
resort-2027,Lauren Manoogian,5,https://assets.vogue.com/photos/6a301a39fe796f2ff3015547/master/w_2560%2Cc_limit/00005-lauren-manoogian-resort-2027-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/resort-2027/lauren-manoogian
resort-2027,Lauren Manoogian,6,https://assets.vogue.com/photos/6a301a3951c826e304e22ac8/master/w_2560%2Cc_limit/00006-lauren-manoogian-resort-2027-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/resort-2027/lauren-manoogian
resort-2027,Lauren Manoogian,7,https://assets.vogue.com/photos/6a301aa343945217534998e6/master/w_1280%2Cc_limit/00001-lauren-manoogian-resort-2027-credit-brand.jpg,Resort 2027,https://www.vogue.com/fashion-shows/resort-2027/lauren-manoogian
resort-2027,Lauren Manoogian,8,https://assets.vogue.com/photos/699593e4c200314363e988a6/master/w_1280%2Cc_limit/00001-lauren-manoogian-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/lauren-manoogian
resort-2027,Lauren Manoogian,9,https://assets.vogue.com/photos/68cad211b3d7bc5f1830040a/master/w_1280%2Cc_limit/00001-lauren-manoogian-spring-2026-ready-to-wear-credit-zander-taketomo-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/lauren-manoogian
resort-2027,Lauren Manoogian,10,https://assets.vogue.com/photos/68503456519cb59c55dcc994/master/w_1280%2Cc_limit/00001-lauren-manoogian-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/resort-2027/lauren-manoogian
resort-2027,Lauren Manoogian,11,https://assets.vogue.com/photos/67b5a94cb4f1a4baef1f89bf/master/w_1280%2Cc_limit/00001-lauren-manoogian-fall-2025-ready-to-wear-credit-zander-taketomo-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/lauren-manoogian
resort-2027,Lauren Manoogian,12,https://assets.vogue.com/photos/66e32535c0bc86d92bf39ae2/master/w_1280%2Cc_limit/00001-lauren-manoogian-spring-2025-ready-to-wear-credit-brand.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/lauren-manoogian
