season,designer,look_number,image_url,caption,source_url
resort-2027,Roberto Cavalli,1,https://assets.vogue.com/photos/6a21857e75a7aaa823992f59/master/w_2560%2Cc_limit/00001-roberto-cavalli-resort-2027-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/resort-2027/roberto-cavalli
resort-2027,Roberto Cavalli,2,https://assets.vogue.com/photos/6a21857d9e0355535dcf3c9c/master/w_2560%2Cc_limit/00002-roberto-cavalli-resort-2027-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/resort-2027/roberto-cavalli
resort-2027,Roberto Cavalli,3,https://assets.vogue.com/photos/6a21857d01936f16eac59758/master/w_2560%2Cc_limit/00003-roberto-cavalli-resort-2027-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/resort-2027/roberto-cavalli
resort-2027,Roberto Cavalli,4,https://assets.vogue.com/photos/6a218580cd8f53eca42d7445/master/w_2560%2Cc_limit/00004-roberto-cavalli-resort-2027-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/resort-2027/roberto-cavalli
resort-2027,Roberto Cavalli,5,https://assets.vogue.com/photos/6a218580bea56d2e15077989/master/w_2560%2Cc_limit/00005-roberto-cavalli-resort-2027-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/resort-2027/roberto-cavalli
resort-2027,Roberto Cavalli,6,https://assets.vogue.com/photos/6a218581bea56d2e1507798f/master/w_2560%2Cc_limit/00006-roberto-cavalli-resort-2027-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/resort-2027/roberto-cavalli
resort-2027,Roberto Cavalli,7,https://assets.vogue.com/photos/6a218619a6bb5ea6ca3c6690/master/w_1280%2Cc_limit/00001-roberto-cavalli-resort-2027-credit-brand.jpg,Resort 2027,https://www.vogue.com/fashion-shows/resort-2027/roberto-cavalli
resort-2027,Roberto Cavalli,8,https://assets.vogue.com/photos/69a152af993f4fc38046cd60/master/w_1280%2Cc_limit/00001-roberto-cavalli-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/roberto-cavalli
resort-2027,Roberto Cavalli,9,https://assets.vogue.com/photos/69247f24634e3def44d6f61d/master/w_1280%2Cc_limit/00001-roberto-cavalli-pre-fall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/resort-2027/roberto-cavalli
resort-2027,Roberto Cavalli,10,https://assets.vogue.com/photos/68d6386682caa0ff56c8b775/master/w_1280%2Cc_limit/00001-roberto-cavalli-spring-2026-ready-to-wear-credit-gorunway.JPG,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/roberto-cavalli
resort-2027,Roberto Cavalli,11,https://assets.vogue.com/photos/683587e4ece0761ed2aede1b/master/w_1280%2Cc_limit/00001-roberto-cavalli-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/resort-2027/roberto-cavalli
resort-2027,Roberto Cavalli,12,https://assets.vogue.com/photos/67c0e0ddd58446c6df78f274/master/w_1280%2Cc_limit/00001-roberto-cavalli-fall-2025-ready-to-wear-credit-gorunway.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/roberto-cavalli
