season,designer,look_number,image_url,caption,source_url
resort-2027,Sandy Liang,1,https://assets.vogue.com/photos/6a2805cd595a3d31bbd154fb/master/w_2560%2Cc_limit/00001-sandy-liang-resort-2027-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/resort-2027/sandy-liang
resort-2027,Sandy Liang,2,https://assets.vogue.com/photos/6a2805cee88be9156b560348/master/w_2560%2Cc_limit/00002-sandy-liang-resort-2027-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/resort-2027/sandy-liang
resort-2027,Sandy Liang,3,https://assets.vogue.com/photos/6a2805cd5c3ed0cf08caac3f/master/w_2560%2Cc_limit/00003-sandy-liang-resort-2027-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/resort-2027/sandy-liang
resort-2027,Sandy Liang,4,https://assets.vogue.com/photos/6a2805d093903b02c98c568a/master/w_2560%2Cc_limit/00004-sandy-liang-resort-2027-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/resort-2027/sandy-liang
resort-2027,Sandy Liang,5,https://assets.vogue.com/photos/6a2805d09ae035893bf1343e/master/w_2560%2Cc_limit/00005-sandy-liang-resort-2027-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/resort-2027/sandy-liang
resort-2027,Sandy Liang,6,https://assets.vogue.com/photos/6a2805d02bd3f79b4b7f0348/master/w_2560%2Cc_limit/00006-sandy-liang-resort-2027-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/resort-2027/sandy-liang
resort-2027,Sandy Liang,7,https://assets.vogue.com/photos/6a280605198f4e06351037d8/master/w_1280%2Cc_limit/00001-sandy-liang-resort-2027-credit-brand.jpg,Resort 2027,https://www.vogue.com/fashion-shows/resort-2027/sandy-liang
resort-2027,Sandy Liang,8,https://assets.vogue.com/photos/699235381649f313d4dc9891/master/w_1280%2Cc_limit/00001-sandy-liang-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/sandy-liang
resort-2027,Sandy Liang,9,https://assets.vogue.com/photos/68c7498e1c7661590ae4a22e/master/w_1280%2Cc_limit/00001-sandy-liang-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/sandy-liang
resort-2027,Sandy Liang,10,https://assets.vogue.com/photos/6846f6170a3800802eb1558b/master/w_1280%2Cc_limit/00001-sandy-liang-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/resort-2027/sandy-liang
resort-2027,Sandy Liang,11,https://assets.vogue.com/photos/67a9332b8dc3c6ad35b750f0/master/w_1280%2Cc_limit/00001-sandy-liang-fall-2025-ready-to-wear-credit-gorunway.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/sandy-liang
resort-2027,Sandy Liang,12,https://assets.vogue.com/photos/66de3026e7500c4e87409d81/master/w_1280%2Cc_limit/00001-sandy-liang-spring-2025-ready-to-wear-credit-gorunway.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/sandy-liang
