season,designer,look_number,image_url,caption,source_url
resort-2027,Stine Goya,1,https://assets.vogue.com/photos/6a1e9ca426ff556d2999987d/master/w_2560%2Cc_limit/00001-stine-goya-resort-2027-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/resort-2027/stine-goya
resort-2027,Stine Goya,2,https://assets.vogue.com/photos/6a1e9ca4644b60220c2144c5/master/w_2560%2Cc_limit/00002-stine-goya-resort-2027-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/resort-2027/stine-goya
resort-2027,Stine Goya,3,https://assets.vogue.com/photos/6a1e9ca40232e898f1441c31/master/w_2560%2Cc_limit/00003-stine-goya-resort-2027-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/resort-2027/stine-goya
resort-2027,Stine Goya,4,https://assets.vogue.com/photos/6a1e9ca854ad1192f90e7b84/master/w_2560%2Cc_limit/00004-stine-goya-resort-2027-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/resort-2027/stine-goya
resort-2027,Stine Goya,5,https://assets.vogue.com/photos/6a1e9ca7164e25193c92276d/master/w_2560%2Cc_limit/00005-stine-goya-resort-2027-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/resort-2027/stine-goya
resort-2027,Stine Goya,6,https://assets.vogue.com/photos/6a1e9ca89a496fe727405011/master/w_2560%2Cc_limit/00006-stine-goya-resort-2027-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/resort-2027/stine-goya
resort-2027,Stine Goya,7,https://assets.vogue.com/photos/69f47c81908e4af9cb6279d4/master/w_1280%2Cc_limit/00001-stine-goya-resort-2017-credit-brand.jpg,Resort 2027,https://www.vogue.com/fashion-shows/resort-2027/stine-goya
resort-2027,Stine Goya,8,https://assets.vogue.com/photos/6976540f9415d1616feac760/master/w_1280%2Cc_limit/00001-stine-goya-fall-2026-ready-to-wear-copenhagen-credit-brand.jpg,Copenhagen Fall 2026,https://www.vogue.com/fashion-shows/resort-2027/stine-goya
resort-2027,Stine Goya,9,https://assets.vogue.com/photos/690360a540c24611fd734b5e/master/w_1280%2Cc_limit/00001-stine-goya-pre-fall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/resort-2027/stine-goya
resort-2027,Stine Goya,10,https://assets.vogue.com/photos/6891c939f8d5248f3a160df8/master/w_1280%2Cc_limit/00001-stine-goya-spring-2026-ready-to-wear-copenhagen-credit-brand.jpg,Copenhagen Spring 2026,https://www.vogue.com/fashion-shows/resort-2027/stine-goya
resort-2027,Stine Goya,11,https://assets.vogue.com/photos/681b4bf31b517100fcdf9167/master/w_1280%2Cc_limit/00001-stine-goya-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/resort-2027/stine-goya
resort-2027,Stine Goya,12,https://assets.vogue.com/photos/679d458019e4645f50d8d937/master/w_1280%2Cc_limit/00001-stine-goya-fall-2025-ready-to-wear-copenhagen-credit-cphfw.jpg,Copenhagen Fall 2025,https://www.vogue.com/fashion-shows/resort-2027/stine-goya
