season,designer,look_number,image_url,caption,source_url
resort-2027,Teurn,1,https://assets.vogue.com/photos/6a26a8bba32455cb0110d854/master/w_2560%2Cc_limit/00001-teurn-studios-resort-2027-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/resort-2027/teurn
resort-2027,Teurn,2,https://assets.vogue.com/photos/6a26a8bbbfd371e93a52c772/master/w_2560%2Cc_limit/00002-teurn-studios-resort-2027-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/resort-2027/teurn
resort-2027,Teurn,3,https://assets.vogue.com/photos/6a26a8bb2f4ab89d63c7181d/master/w_2560%2Cc_limit/00003-teurn-studios-resort-2027-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/resort-2027/teurn
resort-2027,Teurn,4,https://assets.vogue.com/photos/6a26a8bffeadfac160089883/master/w_2560%2Cc_limit/00004-teurn-studios-resort-2027-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/resort-2027/teurn
resort-2027,Teurn,5,https://assets.vogue.com/photos/6a26a8bed52b977189243242/master/w_2560%2Cc_limit/00005-teurn-studios-resort-2027-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/resort-2027/teurn
resort-2027,Teurn,6,https://assets.vogue.com/photos/6a26a8bed52b977189243240/master/w_2560%2Cc_limit/00006-teurn-studios-resort-2027-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/resort-2027/teurn
resort-2027,Teurn,7,https://assets.vogue.com/photos/6a26a9024996d2df7bcf9320/master/w_1280%2Cc_limit/00001-teurn-studios-resort-2027-credit-brand.jpg,Resort 2027,https://www.vogue.com/fashion-shows/resort-2027/teurn
resort-2027,Teurn,8,https://assets.vogue.com/photos/6847e9dc18cab7c5dabb5b34/master/w_1280%2Cc_limit/00001-teurn-studios-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/resort-2027/teurn
resort-2027,Teurn,9,https://assets.vogue.com/photos/67a63b488c79fef6113080d2/master/w_1280%2Cc_limit/00001-teurn-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/teurn
resort-2027,Teurn,10,https://assets.vogue.com/photos/674068fd5fe0c311899d51f1/master/w_1280%2Cc_limit/00001-teurn-studios-pre-fall-2025-credit-brand.jpg,Pre-Fall 2025,https://www.vogue.com/fashion-shows/resort-2027/teurn
resort-2027,Teurn,11,https://assets.vogue.com/photos/66f827bd47b5ff41c0cffbbb/master/w_1280%2Cc_limit/00001-teurn-studios-spring-2025-ready-to-wear-credit-brand.jpeg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/teurn
resort-2027,Teurn,12,https://assets.vogue.com/photos/667439176d38f1d98afa34f9/master/w_1280%2Cc_limit/00002-teurn-studios-resort-2025-credit-brand.jpg,Resort 2025,https://www.vogue.com/fashion-shows/resort-2027/teurn
