season,designer,look_number,image_url,caption,source_url
resort-2027,The Garment,1,https://assets.vogue.com/photos/6a1d472b478b53d8719f9308/master/w_2560%2Cc_limit/00001-the-garment-resort-2027-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/resort-2027/the-garment
resort-2027,The Garment,2,https://assets.vogue.com/photos/6a1d472d0232e898f1440580/master/w_2560%2Cc_limit/00002-the-garment-resort-2027-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/resort-2027/the-garment
resort-2027,The Garment,3,https://assets.vogue.com/photos/6a1d472cef79861ec0d679dc/master/w_2560%2Cc_limit/00003-the-garment-resort-2027-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/resort-2027/the-garment
resort-2027,The Garment,4,https://assets.vogue.com/photos/6a1d472e98a8c9a1638511b7/master/w_2560%2Cc_limit/00004-the-garment-resort-2027-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/resort-2027/the-garment
resort-2027,The Garment,5,https://assets.vogue.com/photos/6a1d472f2c4709f8dd8adf53/master/w_2560%2Cc_limit/00005-the-garment-resort-2027-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/resort-2027/the-garment
resort-2027,The Garment,6,https://assets.vogue.com/photos/6a1d4730a714765cf0d1ae5c/master/w_2560%2Cc_limit/00006-the-garment-resort-2027-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/resort-2027/the-garment
resort-2027,The Garment,7,https://assets.vogue.com/photos/6a1d47ba3234ed1d34c508a0/master/w_1280%2Cc_limit/00001-the-garment-resort-2027-credit-brand.jpg,Resort 2027,https://www.vogue.com/fashion-shows/resort-2027/the-garment
resort-2027,The Garment,8,https://assets.vogue.com/photos/6979ffeef7bbf554af311cc0/master/w_1280%2Cc_limit/00001-the-garment-fall-2026-ready-to-wear-copenhagen-credit-gorunway.jpg,Copenhagen Fall 2026,https://www.vogue.com/fashion-shows/resort-2027/the-garment
resort-2027,The Garment,9,https://assets.vogue.com/photos/6926cdbc6f1483b6bd77bc2d/master/w_1280%2Cc_limit/00001-the-garment-pre-fall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/resort-2027/the-garment
resort-2027,The Garment,10,https://assets.vogue.com/photos/6893483a68d761a0aa4b7f98/master/w_1280%2Cc_limit/00001-the-garment-spring-2026-ready-to-wear-copenhagen-credit-gorunway.jpg,Copenhagen Spring 2026,https://www.vogue.com/fashion-shows/resort-2027/the-garment
resort-2027,The Garment,11,https://assets.vogue.com/photos/685917700a8873204568b693/master/w_1280%2Cc_limit/00001-the-garment-resort-2026-credit-marco-van-rijt.jpg,Resort 2026,https://www.vogue.com/fashion-shows/resort-2027/the-garment
resort-2027,The Garment,12,https://assets.vogue.com/photos/679a2852edc98c1612c21425/master/w_1280%2Cc_limit/00001-the-garment-fall-2025-ready-to-wear-copenhagen-credit-gorunway.jpg,Copenhagen Fall 2025,https://www.vogue.com/fashion-shows/resort-2027/the-garment
