season,designer,look_number,image_url,caption,source_url
resort-2027,Ulla Johnson,1,https://assets.vogue.com/photos/6a27d151a69737dde6034ed5/master/w_2560%2Cc_limit/00001-ulla-johnson-resort-2027-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/resort-2027/ulla-johnson
resort-2027,Ulla Johnson,2,https://assets.vogue.com/photos/6a27d15165a9324875682090/master/w_2560%2Cc_limit/00002-ulla-johnson-resort-2027-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/resort-2027/ulla-johnson
resort-2027,Ulla Johnson,3,https://assets.vogue.com/photos/6a27d151ac064a6e5eff6443/master/w_2560%2Cc_limit/00003-ulla-johnson-resort-2027-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/resort-2027/ulla-johnson
resort-2027,Ulla Johnson,4,https://assets.vogue.com/photos/6a27d154b174dc11b2ad2a24/master/w_2560%2Cc_limit/00004-ulla-johnson-resort-2027-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/resort-2027/ulla-johnson
resort-2027,Ulla Johnson,5,https://assets.vogue.com/photos/6a27d154595a3d31bbd15431/master/w_2560%2Cc_limit/00005-ulla-johnson-resort-2027-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/resort-2027/ulla-johnson
resort-2027,Ulla Johnson,6,https://assets.vogue.com/photos/6a27d1545fa5a31aac26126f/master/w_2560%2Cc_limit/00006-ulla-johnson-resort-2027-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/resort-2027/ulla-johnson
resort-2027,Ulla Johnson,7,https://assets.vogue.com/photos/6a27d112a69737dde6034eca/master/w_2560%2Cc_limit/00001a-ulla-johnson-resort-2027-detail-credit-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/resort-2027/ulla-johnson
resort-2027,Ulla Johnson,8,https://assets.vogue.com/photos/6a27d113e88be9156b5602d0/master/w_2560%2Cc_limit/00012a-ulla-johnson-resort-2027-detail-credit-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/resort-2027/ulla-johnson
resort-2027,Ulla Johnson,9,https://assets.vogue.com/photos/6a27d1149ff8c680e9fb65b5/master/w_2560%2Cc_limit/00018a-ulla-johnson-resort-2027-detail-credit-brand.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/resort-2027/ulla-johnson
resort-2027,Ulla Johnson,10,https://assets.vogue.com/photos/6a27d1155c3ed0cf08caaaeb/master/w_2560%2Cc_limit/00022a-ulla-johnson-resort-2027-detail-credit-brand.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/resort-2027/ulla-johnson
resort-2027,Ulla Johnson,11,https://assets.vogue.com/photos/6a27d11665a9324875682085/master/w_2560%2Cc_limit/00023a-ulla-johnson-resort-2027-detail-credit-brand.jpg,Detail Look 5,https://www.vogue.com/fashion-shows/resort-2027/ulla-johnson
resort-2027,Ulla Johnson,12,https://assets.vogue.com/photos/6a27d1175fa5a31aac261269/master/w_2560%2Cc_limit/00028a-ulla-johnson-resort-2027-detail-credit-brand.jpg,Detail Look 6,https://www.vogue.com/fashion-shows/resort-2027/ulla-johnson
resort-2027,Ulla Johnson,13,https://assets.vogue.com/photos/6a27d2093717577ea3c11e84/master/w_1280%2Cc_limit/00001-ulla-johnson-resort-2027-credit-brand.jpg,Resort 2027,https://www.vogue.com/fashion-shows/resort-2027/ulla-johnson
resort-2027,Ulla Johnson,14,https://assets.vogue.com/photos/698fdfb573d18457d5bd9d9d/master/w_1280%2Cc_limit/00001-ulla-johnson-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/ulla-johnson
resort-2027,Ulla Johnson,15,https://assets.vogue.com/photos/6932a49f3e350d3b0a625201/master/w_1280%2Cc_limit/00001-ulla-johnson-pre-fall-2026-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/resort-2027/ulla-johnson
resort-2027,Ulla Johnson,16,https://assets.vogue.com/photos/68c731ef0d52bede4149f563/master/w_1280%2Cc_limit/00001-ulla-johnson-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/ulla-johnson
resort-2027,Ulla Johnson,17,https://assets.vogue.com/photos/6841a8b832adead18ca2337d/master/w_1280%2Cc_limit/00001-ulla-johnson-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/resort-2027/ulla-johnson
resort-2027,Ulla Johnson,18,https://assets.vogue.com/photos/67a93fd6f9f3ece25e3b135b/master/w_1280%2Cc_limit/00001-ulla-johnson-fall-2025-ready-to-wear-credit-gorunway.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/ulla-johnson
