season,designer,look_number,image_url,caption,source_url
resort-2027,Victoria Beckham,1,https://assets.vogue.com/photos/6a156f0ae5158a0dc22bce34/master/w_2560%2Cc_limit/00001-victoria-beckham-resort-2027-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/resort-2027/victoria-beckham
resort-2027,Victoria Beckham,2,https://assets.vogue.com/photos/6a156f14f3f5280b6f1168cc/master/w_2560%2Cc_limit/00002-victoria-beckham-resort-2027-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/resort-2027/victoria-beckham
resort-2027,Victoria Beckham,3,https://assets.vogue.com/photos/6a156f0cd40e5829b596b7e8/master/w_2560%2Cc_limit/00003-victoria-beckham-resort-2027-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/resort-2027/victoria-beckham
resort-2027,Victoria Beckham,4,https://assets.vogue.com/photos/6a156f0fe051ea65c18c4296/master/w_2560%2Cc_limit/00004-victoria-beckham-resort-2027-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/resort-2027/victoria-beckham
resort-2027,Victoria Beckham,5,https://assets.vogue.com/photos/6a156f11b925bc9718a56705/master/w_2560%2Cc_limit/00005-victoria-beckham-resort-2027-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/resort-2027/victoria-beckham
resort-2027,Victoria Beckham,6,https://assets.vogue.com/photos/6a156f14e5158a0dc22bce3a/master/w_2560%2Cc_limit/00006-victoria-beckham-resort-2027-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/resort-2027/victoria-beckham
resort-2027,Victoria Beckham,7,https://assets.vogue.com/photos/6a156fbd858ea24069bf2bd5/master/w_1280%2Cc_limit/00001-victoria-beckham-resort-2027-credit-brand.jpg,Resort 2027,https://www.vogue.com/fashion-shows/resort-2027/victoria-beckham
resort-2027,Victoria Beckham,8,https://assets.vogue.com/photos/69ab65f3a1a7894146347a0e/master/w_1280%2Cc_limit/00001-victoria-beckham-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/victoria-beckham
resort-2027,Victoria Beckham,9,https://assets.vogue.com/photos/69257be8b84220b423602d9f/master/w_1280%2Cc_limit/00001-victoria-beckham-pre-fall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/resort-2027/victoria-beckham
resort-2027,Victoria Beckham,10,https://assets.vogue.com/photos/68e0cce9edaea224be38ba92/master/w_1280%2Cc_limit/00001-victoria-beckham-spring-2026-ready-to-wear-credit-gorunway.JPG,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/victoria-beckham
resort-2027,Victoria Beckham,11,https://assets.vogue.com/photos/682c3c40625f2ce2fca5c046/master/w_1280%2Cc_limit/00001-victoria-beckham-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/resort-2027/victoria-beckham
resort-2027,Victoria Beckham,12,https://assets.vogue.com/photos/67cc044c5c8c8be7c4f3b118/master/w_1280%2Cc_limit/00001-victoria-beckham-fall-2025-ready-to-wear-credit-gorunway.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/victoria-beckham
