season,designer,look_number,image_url,caption,source_url
resort-2027,Yigal Azrouel,1,https://assets.vogue.com/photos/6a1fe5d375a7aaa823991369/master/w_2560%2Cc_limit/00001-yigal-azrouel-resort-2027-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/resort-2027/yigal-azrouel
resort-2027,Yigal Azrouel,2,https://assets.vogue.com/photos/6a1fe5d3486d749e03a019ca/master/w_2560%2Cc_limit/00002-yigal-azrouel-resort-2027-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/resort-2027/yigal-azrouel
resort-2027,Yigal Azrouel,3,https://assets.vogue.com/photos/6a1fe5d300e4d170c8c9b2a4/master/w_2560%2Cc_limit/00003-yigal-azrouel-resort-2027-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/resort-2027/yigal-azrouel
resort-2027,Yigal Azrouel,4,https://assets.vogue.com/photos/6a1fe5d5c3a9eab0b9983ccf/master/w_2560%2Cc_limit/00004-yigal-azrouel-resort-2027-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/resort-2027/yigal-azrouel
resort-2027,Yigal Azrouel,5,https://assets.vogue.com/photos/6a1fe5d511a6e6d50286954c/master/w_2560%2Cc_limit/00005-yigal-azrouel-resort-2027-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/resort-2027/yigal-azrouel
resort-2027,Yigal Azrouel,6,https://assets.vogue.com/photos/6a1fe5d675a7aaa82399136f/master/w_2560%2Cc_limit/00006-yigal-azrouel-resort-2027-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/resort-2027/yigal-azrouel
resort-2027,Yigal Azrouel,7,https://assets.vogue.com/photos/6a1fe61d41b66177a7d10091/master/w_1280%2Cc_limit/00001-yigal-azrouel-resort-2027-credit-brand.jpg,Resort 2027,https://www.vogue.com/fashion-shows/resort-2027/yigal-azrouel
resort-2027,Yigal Azrouel,8,https://assets.vogue.com/photos/698fda863913784456892770/master/w_1280%2Cc_limit/00001-yigal-azrouel-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/yigal-azrouel
resort-2027,Yigal Azrouel,9,https://assets.vogue.com/photos/693fd6f781e5cfef103882cd/master/w_1280%2Cc_limit/00001-yigal-azrouel-pre-fall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/resort-2027/yigal-azrouel
resort-2027,Yigal Azrouel,10,https://assets.vogue.com/photos/68c1486894af7ffabfcd1430/master/w_1280%2Cc_limit/00001-yigal-azrouel-spring-2026-ready-to-wear-credit-brand-.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/yigal-azrouel
resort-2027,Yigal Azrouel,11,https://assets.vogue.com/photos/6842b097093aa8d06c3e8937/master/w_1280%2Cc_limit/00001-yigal-azrouel-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/resort-2027/yigal-azrouel
resort-2027,Yigal Azrouel,12,https://assets.vogue.com/photos/66df3fdb039e434e763c881a/master/w_1280%2Cc_limit/00001-yigal-azrouel-spring-2025-ready-to-wear-credit-brand.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/yigal-azrouel
