season,designer,look_number,image_url,caption,source_url
resort-2027,Zuhair Murad,1,https://assets.vogue.com/photos/6a43be0ad63b6868e3894dda/master/w_2560%2Cc_limit/00001-zuhair-murad-resort-2027-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/resort-2027/zuhair-murad
resort-2027,Zuhair Murad,2,https://assets.vogue.com/photos/6a43be32bd9702d43d404c58/master/w_2560%2Cc_limit/00002-zuhair-murad-resort-2027-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/resort-2027/zuhair-murad
resort-2027,Zuhair Murad,3,https://assets.vogue.com/photos/6a43be32ad29eef6274d1634/master/w_2560%2Cc_limit/00003-zuhair-murad-resort-2027-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/resort-2027/zuhair-murad
resort-2027,Zuhair Murad,4,https://assets.vogue.com/photos/6a43d4933466902a4fd9264b/master/w_2560%2Cc_limit/00004-zuhair-murad-resort-2027-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/resort-2027/zuhair-murad
resort-2027,Zuhair Murad,5,https://assets.vogue.com/photos/6a43be34103653a1f45f11b3/master/w_2560%2Cc_limit/00005-zuhair-murad-resort-2027-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/resort-2027/zuhair-murad
resort-2027,Zuhair Murad,6,https://assets.vogue.com/photos/6a43be35097c812a8094cb70/master/w_2560%2Cc_limit/00006-zuhair-murad-resort-2027-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/resort-2027/zuhair-murad
resort-2027,Zuhair Murad,7,https://assets.vogue.com/photos/6a43beca745dc934d93b65e7/master/w_1280%2Cc_limit/00001-zuhair-murad-resort-2027-credit-brand.jpg,Resort 2027,https://www.vogue.com/fashion-shows/resort-2027/zuhair-murad
resort-2027,Zuhair Murad,8,https://assets.vogue.com/photos/69ac6574e9b53b64b7568a5e/master/w_1280%2Cc_limit/00001-zuhair-murad-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/zuhair-murad
resort-2027,Zuhair Murad,9,https://assets.vogue.com/photos/697a6a555a1f684c789e1ecd/master/w_1280%2Cc_limit/00001-zuhair-murad-couture-spring-2026-credit-gorunway.jpg,Spring 2026 Couture,https://www.vogue.com/fashion-shows/resort-2027/zuhair-murad
resort-2027,Zuhair Murad,10,https://assets.vogue.com/photos/695e53af26ec331854ba1fdb/master/w_1280%2Cc_limit/00001-zuhair-murad-pre-fall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/resort-2027/zuhair-murad
resort-2027,Zuhair Murad,11,https://assets.vogue.com/photos/68e3d10ddc64b9ac28485364/master/w_1280%2Cc_limit/00001-zuhair-murad-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027/zuhair-murad
resort-2027,Zuhair Murad,12,https://assets.vogue.com/photos/686eb84024a91e16371683f5/master/w_1280%2Cc_limit/00001-zuhair-murad-fall-2025-couture-credit-gorunway.jpg,Fall 2025 Couture,https://www.vogue.com/fashion-shows/resort-2027/zuhair-murad
