season,designer,look_number,image_url,caption,source_url
resort-2027-menswear,Dsquared,1,https://assets.vogue.com/photos/6a0ee55d72316ab5d965227c/master/w_2560%2Cc_limit/00001-dsquared2-resort-2027-menswear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/resort-2027-menswear/dsquared
resort-2027-menswear,Dsquared,2,https://assets.vogue.com/photos/6a0ee55e229c52eebfda868d/master/w_2560%2Cc_limit/00002-dsquared2-resort-2027-menswear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/resort-2027-menswear/dsquared
resort-2027-menswear,Dsquared,3,https://assets.vogue.com/photos/6a0ee55efce9ac5558d5096d/master/w_2560%2Cc_limit/00003-dsquared2-resort-2027-menswear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/resort-2027-menswear/dsquared
resort-2027-menswear,Dsquared,4,https://assets.vogue.com/photos/6a0ee561e57785338759d927/master/w_2560%2Cc_limit/00004-dsquared2-resort-2027-menswear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/resort-2027-menswear/dsquared
resort-2027-menswear,Dsquared,5,https://assets.vogue.com/photos/6a0ee561c2528c953386f95b/master/w_2560%2Cc_limit/00005-dsquared2-resort-2027-menswear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/resort-2027-menswear/dsquared
resort-2027-menswear,Dsquared,6,https://assets.vogue.com/photos/6a0ee56272316ab5d9652282/master/w_2560%2Cc_limit/00006-dsquared2-resort-2027-menswear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/resort-2027-menswear/dsquared
resort-2027-menswear,Dsquared,7,https://assets.vogue.com/photos/6a0ee38ca3632c1efedfd3e1/master/w_1280%2Cc_limit/00001-dsquared2-resort-2027-credit-brand.jpg,Resort 2027,https://www.vogue.com/fashion-shows/resort-2027-menswear/dsquared
resort-2027-menswear,Dsquared,8,https://assets.vogue.com/photos/6a0ee54f5c06d5e0986b9426/master/w_1280%2Cc_limit/00001-dsquared2-resort-2027-menswear-credit-brand.jpg,Resort 2027 Menswear,https://www.vogue.com/fashion-shows/resort-2027-menswear/dsquared
resort-2027-menswear,Dsquared,9,https://assets.vogue.com/photos/696ac411d7015d8e63d48d97/master/w_1280%2Cc_limit/00004-dsquared2-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/resort-2027-menswear/dsquared
resort-2027-menswear,Dsquared,10,https://assets.vogue.com/photos/696ac28438670b592d7fdef6/master/w_1280%2Cc_limit/00001-dsquared2-fall-2026-menswear-credit-gorunway.jpg,Fall 2026 Menswear,https://www.vogue.com/fashion-shows/resort-2027-menswear/dsquared
resort-2027-menswear,Dsquared,11,https://assets.vogue.com/photos/691ef27b72aa417914887091/master/w_1280%2Cc_limit/00001-dsquared2-pre-fall-2026-ready-to-wear-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/resort-2027-menswear/dsquared
resort-2027-menswear,Dsquared,12,https://assets.vogue.com/photos/691ef34e681be622f421a59a/master/w_1280%2Cc_limit/00001-dsquared2-pre-fall-2026-menswear-credit-brand.jpg,Pre-Fall 2026 Menswear,https://www.vogue.com/fashion-shows/resort-2027-menswear/dsquared
