season,designer,look_number,image_url,caption,source_url
shanghai-fall-2026,Yirantian,1,https://assets.vogue.com/photos/69ca39616cc354b9ee5e96ea/master/w_2560%2Cc_limit/00001-yirantian-fall-2026-ready-to-wear-shanghai-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/shanghai-fall-2026/yirantian
shanghai-fall-2026,Yirantian,2,https://assets.vogue.com/photos/69ca3963c27f0ad814eea3ca/master/w_2560%2Cc_limit/00002-yirantian-fall-2026-ready-to-wear-shanghai-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/shanghai-fall-2026/yirantian
shanghai-fall-2026,Yirantian,3,https://assets.vogue.com/photos/69ca39608134fd0c2858f829/master/w_2560%2Cc_limit/00003-yirantian-fall-2026-ready-to-wear-shanghai-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/shanghai-fall-2026/yirantian
shanghai-fall-2026,Yirantian,4,https://assets.vogue.com/photos/69ca39649e35eb69bd6af8ae/master/w_2560%2Cc_limit/00004-yirantian-fall-2026-ready-to-wear-shanghai-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/shanghai-fall-2026/yirantian
shanghai-fall-2026,Yirantian,5,https://assets.vogue.com/photos/69ca3964c31e6854fd8d11e4/master/w_2560%2Cc_limit/00005-yirantian-fall-2026-ready-to-wear-shanghai-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/shanghai-fall-2026/yirantian
shanghai-fall-2026,Yirantian,6,https://assets.vogue.com/photos/69ca3968c35a03f6be85c2a2/master/w_2560%2Cc_limit/00006-yirantian-fall-2026-ready-to-wear-shanghai-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/shanghai-fall-2026/yirantian
shanghai-fall-2026,Yirantian,7,https://assets.vogue.com/photos/69ca3a3396b67272e9d5213c/master/w_1280%2Cc_limit/00001-yirantian-fall-2026-ready-to-wear-shanghai-credit-brand.jpg,Shanghai Fall 2026,https://www.vogue.com/fashion-shows/shanghai-fall-2026/yirantian
shanghai-fall-2026,Yirantian,8,https://assets.vogue.com/photos/68ed0311c32e45e28f0758ee/master/w_1280%2Cc_limit/00001-yirantian-spring-2026-ready-to-wear-shanghai-credit-brand.jpg,Shanghai Spring 2026,https://www.vogue.com/fashion-shows/shanghai-fall-2026/yirantian
shanghai-fall-2026,Yirantian,9,https://assets.vogue.com/photos/67e51a4527f6a09bef56cbc5/master/w_1280%2Cc_limit/00001-yirantian-fall-2025-ready-to-wear-shanghai-credit-brand.jpg,Shanghai Fall 2025,https://www.vogue.com/fashion-shows/shanghai-fall-2026/yirantian
shanghai-fall-2026,Yirantian,10,https://assets.vogue.com/photos/67094206c1366e47ecea7af2/master/w_1280%2Cc_limit/00001-yirantian-spring-2025-ready-to-wear-shanghai-credit-brand.jpg,Shanghai Spring 2025,https://www.vogue.com/fashion-shows/shanghai-fall-2026/yirantian
shanghai-fall-2026,Yirantian,11,https://assets.vogue.com/photos/660ecc576bf3eb28e98a5ca1/master/w_1280%2Cc_limit/00001-yirantian-fall-2024-ready-to-wear-shanghai-credit-brand.jpg,Shanghai Fall 2024,https://www.vogue.com/fashion-shows/shanghai-fall-2026/yirantian
