season,designer,look_number,image_url,caption,source_url
spain-fall-2026,Carlota Barrera,1,https://assets.vogue.com/photos/69cd247443f56aebacfbda97/master/w_2560%2Cc_limit/00001-carlota-barrera-fall-2026-ready-to-wear-spain-credit-brandnew.jpg,Look 1,https://www.vogue.com/fashion-shows/spain-fall-2026/carlota-barrera
spain-fall-2026,Carlota Barrera,2,https://assets.vogue.com/photos/69cd247515f0781079750d81/master/w_2560%2Cc_limit/00002-carlota-barrera-fall-2026-ready-to-wear-spain-credit-brandnew.jpg,Look 2,https://www.vogue.com/fashion-shows/spain-fall-2026/carlota-barrera
spain-fall-2026,Carlota Barrera,3,https://assets.vogue.com/photos/69cd247343a99ff905c9ea47/master/w_2560%2Cc_limit/00003-carlota-barrera-fall-2026-ready-to-wear-spain-credit-brandnew.jpg,Look 3,https://www.vogue.com/fashion-shows/spain-fall-2026/carlota-barrera
spain-fall-2026,Carlota Barrera,4,https://assets.vogue.com/photos/69cd24763780ad69b0f51dca/master/w_2560%2Cc_limit/00004-carlota-barrera-fall-2026-ready-to-wear-spain-credit-brandnew.jpg,Look 4,https://www.vogue.com/fashion-shows/spain-fall-2026/carlota-barrera
spain-fall-2026,Carlota Barrera,5,https://assets.vogue.com/photos/69cd24771b60ab108eef45b6/master/w_2560%2Cc_limit/00005-carlota-barrera-fall-2026-ready-to-wear-spain-credit-brandnew.jpg,Look 5,https://www.vogue.com/fashion-shows/spain-fall-2026/carlota-barrera
spain-fall-2026,Carlota Barrera,6,https://assets.vogue.com/photos/69cd2478b50b2560d051b11f/master/w_2560%2Cc_limit/00006-carlota-barrera-fall-2026-ready-to-wear-spain-credit-brandnew.jpg,Look 6,https://www.vogue.com/fashion-shows/spain-fall-2026/carlota-barrera
spain-fall-2026,Carlota Barrera,7,https://assets.vogue.com/photos/69cd24d2f3e837b127627789/master/w_1280%2Cc_limit/00001-carlota-barrera-fall-2026-ready-to-wear-spain-credit-brandnew.jpg,Spain Fall 2026,https://www.vogue.com/fashion-shows/spain-fall-2026/carlota-barrera
spain-fall-2026,Carlota Barrera,8,https://assets.vogue.com/photos/68f6541abcd73a4f86646fd0/master/w_1280%2Cc_limit/00001-carlota-barrera-spring-2026-ready-to-wear-spain-credit-brand.jpg,Spain Spring 2026,https://www.vogue.com/fashion-shows/spain-fall-2026/carlota-barrera
spain-fall-2026,Carlota Barrera,9,https://assets.vogue.com/photos/682f8bfe28edfa7cdb89bf68/master/w_1280%2Cc_limit/00001-carlota-barrera-fall-2025-menswear-spain-credit-brand.jpg,Spain Fall 2025,https://www.vogue.com/fashion-shows/spain-fall-2026/carlota-barrera
spain-fall-2026,Carlota Barrera,10,https://assets.vogue.com/photos/6728f156e136f83c2950c727/master/w_1280%2Cc_limit/00001-carlota-barrera-spring-2025-ready-to-wear-spain-credit-brand.jpg,Spain Spring 2025,https://www.vogue.com/fashion-shows/spain-fall-2026/carlota-barrera
spain-fall-2026,Carlota Barrera,11,https://assets.vogue.com/photos/65425d0a418361642e2f2c7c/master/w_1280%2Cc_limit/00001-carlotta-barrera-spring-2024-ready-to-wear-credit-brand.jpg,Spain Spring 2024,https://www.vogue.com/fashion-shows/spain-fall-2026/carlota-barrera
spain-fall-2026,Carlota Barrera,12,https://assets.vogue.com/photos/641deb7ca1da63a97ad51433/master/w_1280%2Cc_limit/00001-carlota-barrera-madrid-fall-2023-ready-to-wear-credit-brand.jpg,Madrid Fall 2023,https://www.vogue.com/fashion-shows/spain-fall-2026/carlota-barrera
