season,designer,look_number,image_url,caption,source_url
spain-fall-2026,Ernesto Naranjo,1,https://assets.vogue.com/photos/69c2b88d7b3c740153ea2081/master/w_2560%2Cc_limit/00001-ernesto-naranjo-fall-2026-ready-to-wear-spain-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/spain-fall-2026/ernesto-naranjo
spain-fall-2026,Ernesto Naranjo,2,https://assets.vogue.com/photos/69c2b88c12d0397895a9dc15/master/w_2560%2Cc_limit/00002-ernesto-naranjo-fall-2026-ready-to-wear-spain-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/spain-fall-2026/ernesto-naranjo
spain-fall-2026,Ernesto Naranjo,3,https://assets.vogue.com/photos/69c2b88d7c4d3ee2210b29b2/master/w_2560%2Cc_limit/00003-ernesto-naranjo-fall-2026-ready-to-wear-spain-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/spain-fall-2026/ernesto-naranjo
spain-fall-2026,Ernesto Naranjo,4,https://assets.vogue.com/photos/69c2b89036033359e3bf7794/master/w_2560%2Cc_limit/00004-ernesto-naranjo-fall-2026-ready-to-wear-spain-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/spain-fall-2026/ernesto-naranjo
spain-fall-2026,Ernesto Naranjo,5,https://assets.vogue.com/photos/69c2b89138c2ba2b1c981680/master/w_2560%2Cc_limit/00005-ernesto-naranjo-fall-2026-ready-to-wear-spain-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/spain-fall-2026/ernesto-naranjo
spain-fall-2026,Ernesto Naranjo,6,https://assets.vogue.com/photos/69c2b8904821c6278b9caea7/master/w_2560%2Cc_limit/00006-ernesto-naranjo-fall-2026-ready-to-wear-spain-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/spain-fall-2026/ernesto-naranjo
spain-fall-2026,Ernesto Naranjo,7,https://assets.vogue.com/photos/69c3b05f63d157e81f757e4e/master/w_2560%2Cc_limit/00001c-ernesto-naranjo-fall-2026-ready-to-wear-spain-details-credit-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/spain-fall-2026/ernesto-naranjo
spain-fall-2026,Ernesto Naranjo,8,https://assets.vogue.com/photos/69c3b0608ea0efbde3ee3ce6/master/w_2560%2Cc_limit/00001a-ernesto-naranjo-fall-2026-ready-to-wear-spain-details-credit-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/spain-fall-2026/ernesto-naranjo
spain-fall-2026,Ernesto Naranjo,9,https://assets.vogue.com/photos/69c3b05f401ea724eef12ce1/master/w_2560%2Cc_limit/00001b-ernesto-naranjo-fall-2026-ready-to-wear-spain-details-credit-brand.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/spain-fall-2026/ernesto-naranjo
spain-fall-2026,Ernesto Naranjo,10,https://assets.vogue.com/photos/69c3b0631b4da9b481693408/master/w_2560%2Cc_limit/00002a-ernesto-naranjo-fall-2026-ready-to-wear-spain-details-credit-brand.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/spain-fall-2026/ernesto-naranjo
spain-fall-2026,Ernesto Naranjo,11,https://assets.vogue.com/photos/69c3b062d7362496086f601e/master/w_2560%2Cc_limit/00003a-ernesto-naranjo-fall-2026-ready-to-wear-spain-details-credit-brand.jpg,Detail Look 5,https://www.vogue.com/fashion-shows/spain-fall-2026/ernesto-naranjo
spain-fall-2026,Ernesto Naranjo,12,https://assets.vogue.com/photos/69c3b063221c926da166d2e2/master/w_2560%2Cc_limit/00008a-ernesto-naranjo-fall-2026-ready-to-wear-spain-details-credit-brand.jpg,Detail Look 6,https://www.vogue.com/fashion-shows/spain-fall-2026/ernesto-naranjo
spain-fall-2026,Ernesto Naranjo,13,https://assets.vogue.com/photos/69c2b8f96f4a5ba33fe2d74e/master/w_1280%2Cc_limit/00001-ernesto-naranjo-fall-2026-ready-to-wear-spain-credit-brand.jpg,Spain Fall 2026,https://www.vogue.com/fashion-shows/spain-fall-2026/ernesto-naranjo
spain-fall-2026,Ernesto Naranjo,14,https://assets.vogue.com/photos/690e215c2e5cc058e6fe7a42/master/w_1280%2Cc_limit/00001-ernesto-naranjo-spring-2026-ready-to-wear-spain-credit-brand.jpg,Spain Spring 2026,https://www.vogue.com/fashion-shows/spain-fall-2026/ernesto-naranjo
spain-fall-2026,Ernesto Naranjo,15,https://assets.vogue.com/photos/66159a2701d159d7f32dc193/master/w_1280%2Cc_limit/00001-ernesto-naranjo-spain-fall-2024-ready-to-wear-credit-brand.jpg,Spain Fall 2024,https://www.vogue.com/fashion-shows/spain-fall-2026/ernesto-naranjo
spain-fall-2026,Ernesto Naranjo,16,https://assets.vogue.com/photos/65493bba65d0f178a0071556/master/w_1280%2Cc_limit/00001-ernesto-naranjo-madrid-spring-2024-ready-to-wear-credit-brand.jpg,Spain Spring 2024,https://www.vogue.com/fashion-shows/spain-fall-2026/ernesto-naranjo
spain-fall-2026,Ernesto Naranjo,17,https://assets.vogue.com/photos/6422faf8afd649d6598d1549/master/w_1280%2Cc_limit/00001-ernesto-naranjo-shengtao-chen-fall-2023-ready-to-wear-madrid-credit-brand.jpg,Madrid Fall 2023,https://www.vogue.com/fashion-shows/spain-fall-2026/ernesto-naranjo
spain-fall-2026,Ernesto Naranjo,18,https://assets.vogue.com/photos/633d59f848c4b968fbfa9a69/master/w_1280%2Cc_limit/00001-ernesto-naranjo-spring-2023-ready-to-wear-madrid-credit-brand.jpg,Madrid Spring 2023,https://www.vogue.com/fashion-shows/spain-fall-2026/ernesto-naranjo
