season,designer,look_number,image_url,caption,source_url
spain-fall-2026,Juan Vidal,1,https://assets.vogue.com/photos/69c273a5c1fe8891d2ec58e3/master/w_2560%2Cc_limit/00001-juan-vidal-fall-2026-ready-to-wear-spain-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/spain-fall-2026/juan-vidal
spain-fall-2026,Juan Vidal,2,https://assets.vogue.com/photos/69c273a3f370af779be2a725/master/w_2560%2Cc_limit/00002-juan-vidal-fall-2026-ready-to-wear-spain-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/spain-fall-2026/juan-vidal
spain-fall-2026,Juan Vidal,3,https://assets.vogue.com/photos/69c273a230321eb667866ca8/master/w_2560%2Cc_limit/00003-juan-vidal-fall-2026-ready-to-wear-spain-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/spain-fall-2026/juan-vidal
spain-fall-2026,Juan Vidal,4,https://assets.vogue.com/photos/69c273a7a1c6022062ac7e97/master/w_2560%2Cc_limit/00004-juan-vidal-fall-2026-ready-to-wear-spain-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/spain-fall-2026/juan-vidal
spain-fall-2026,Juan Vidal,5,https://assets.vogue.com/photos/69c273a81b17d84dedad9ab3/master/w_2560%2Cc_limit/00005-juan-vidal-fall-2026-ready-to-wear-spain-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/spain-fall-2026/juan-vidal
spain-fall-2026,Juan Vidal,6,https://assets.vogue.com/photos/69c273a99ceeb3781f1b6b1e/master/w_2560%2Cc_limit/00006-juan-vidal-fall-2026-ready-to-wear-spain-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/spain-fall-2026/juan-vidal
spain-fall-2026,Juan Vidal,7,https://assets.vogue.com/photos/69c274264821c6278b9cac6e/master/w_1280%2Cc_limit/00001-juan-vidal-fall-2026-ready-to-wear-spain-credit-brand.jpg,Spain Fall 2026,https://www.vogue.com/fashion-shows/spain-fall-2026/juan-vidal
spain-fall-2026,Juan Vidal,8,https://assets.vogue.com/photos/682df887a5da50fafd3f1d57/master/w_1280%2Cc_limit/00001-juan-vidal-fall-2025-ready-to-wear-spain-credit-brand.JPG,Spain Fall 2025,https://www.vogue.com/fashion-shows/spain-fall-2026/juan-vidal
spain-fall-2026,Juan Vidal,9,https://assets.vogue.com/photos/672cb683022d926daf4bfcb4/master/w_1280%2Cc_limit/00005-juan-vidal-spring-2025-ready-to-wear-spain-credit-brand.jpg,Spain Spring 2025,https://www.vogue.com/fashion-shows/spain-fall-2026/juan-vidal
spain-fall-2026,Juan Vidal,10,https://assets.vogue.com/photos/5e35b622e36ad60008e28470/master/w_1280%2Cc_limit/00001-Juan-Vidal-Madrid-Fall-2020-credit-Pablo-Latorre-LEstrop.JPG,Madrid Fall 2020,https://www.vogue.com/fashion-shows/spain-fall-2026/juan-vidal
spain-fall-2026,Juan Vidal,11,https://assets.vogue.com/photos/5d223f0b21279400082248b4/master/w_1280%2Cc_limit/Juan_Vidal_001.JPG,Madrid Spring 2020,https://www.vogue.com/fashion-shows/spain-fall-2026/juan-vidal
spain-fall-2026,Juan Vidal,12,https://assets.vogue.com/photos/5c519438c3b5182d62fa5543/master/w_1280%2Cc_limit/00001-Juan-Vidal-Madrid-Fall-19-credit-MBFWMADRID-Francesc-Ten.jpg,Madrid Fall 2019,https://www.vogue.com/fashion-shows/spain-fall-2026/juan-vidal
