season,designer,look_number,image_url,caption,source_url
spring-2027-menswear,Amiri,1,https://assets.vogue.com/photos/6a3d5c3ee7349c94ffbe64d0/master/w_2560%2Cc_limit/00001-amiri-spring-2027-menswear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-menswear/amiri
spring-2027-menswear,Amiri,2,https://assets.vogue.com/photos/6a3d5c3e224a1b3d1a6135ee/master/w_2560%2Cc_limit/00002-amiri-spring-2027-menswear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-menswear/amiri
spring-2027-menswear,Amiri,3,https://assets.vogue.com/photos/6a3d5c3ed1ddba749507d486/master/w_2560%2Cc_limit/00003-amiri-spring-2027-menswear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-menswear/amiri
spring-2027-menswear,Amiri,4,https://assets.vogue.com/photos/6a3d5c41bf8d114e6dbaf0d6/master/w_2560%2Cc_limit/00004-amiri-spring-2027-menswear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-menswear/amiri
spring-2027-menswear,Amiri,5,https://assets.vogue.com/photos/6a3d5c4119a4321626bce006/master/w_2560%2Cc_limit/00005-amiri-spring-2027-menswear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-menswear/amiri
spring-2027-menswear,Amiri,6,https://assets.vogue.com/photos/6a3d5c415435d76bc80524e8/master/w_2560%2Cc_limit/00006-amiri-spring-2027-menswear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-menswear/amiri
spring-2027-menswear,Amiri,7,https://assets.vogue.com/photos/6a3d6a77d69100dab637f9bf/master/w_2560%2Cc_limit/amiri_parismensss27_backstage_acielle01.jpg,Beauty Look 1,https://www.vogue.com/fashion-shows/spring-2027-menswear/amiri
spring-2027-menswear,Amiri,8,https://assets.vogue.com/photos/6a3d6a76183b3ef6fdb262dd/master/w_2560%2Cc_limit/amiri_parismensss27_backstage_acielle02.jpg,Beauty Look 2,https://www.vogue.com/fashion-shows/spring-2027-menswear/amiri
spring-2027-menswear,Amiri,9,https://assets.vogue.com/photos/6a3d6a771af678fb9c86f181/master/w_2560%2Cc_limit/amiri_parismensss27_backstage_acielle03.jpg,Beauty Look 3,https://www.vogue.com/fashion-shows/spring-2027-menswear/amiri
spring-2027-menswear,Amiri,10,https://assets.vogue.com/photos/6a3d6a77224a1b3d1a6136ea/master/w_2560%2Cc_limit/amiri_parismensss27_backstage_acielle04.jpg,Beauty Look 4,https://www.vogue.com/fashion-shows/spring-2027-menswear/amiri
spring-2027-menswear,Amiri,11,https://assets.vogue.com/photos/6a3d6a78a2306c15bdb2d0bf/master/w_2560%2Cc_limit/amiri_parismensss27_backstage_acielle05.jpg,Beauty Look 5,https://www.vogue.com/fashion-shows/spring-2027-menswear/amiri
spring-2027-menswear,Amiri,12,https://assets.vogue.com/photos/6a3d6a78d4f75b1bdcba22c2/master/w_2560%2Cc_limit/amiri_parismensss27_backstage_acielle06.jpg,Beauty Look 6,https://www.vogue.com/fashion-shows/spring-2027-menswear/amiri
spring-2027-menswear,Amiri,13,https://assets.vogue.com/photos/6a3d5d31e7349c94ffbe64d7/master/w_1280%2Cc_limit/00001-amiri-spring-2027-menswear-credit-gorunway.jpg,Spring 2027 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/amiri
spring-2027-menswear,Amiri,14,https://assets.vogue.com/photos/69725c3a19a11e5d61e42775/master/w_1280%2Cc_limit/00001-amiri-fall-2026-menswear-credit-gorunway.jpg,Fall 2026 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/amiri
spring-2027-menswear,Amiri,15,https://assets.vogue.com/photos/685d7e2411f9a105983179af/master/w_1280%2Cc_limit/00001-amiri-spring-2026-menswear-credit-gorunway.jpg,Spring 2026 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/amiri
spring-2027-menswear,Amiri,16,https://assets.vogue.com/photos/6792bc111ed3f2ac9da18a00/master/w_1280%2Cc_limit/00001-amiri-fall-2025-menswear-credit-gorunway.jpg,Fall 2025 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/amiri
spring-2027-menswear,Amiri,17,https://assets.vogue.com/photos/66745e15fe392776901aef75/master/w_1280%2Cc_limit/00001-amiri-spring-2025-menswear-credit-gorunway.jpg,Spring 2025 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/amiri
spring-2027-menswear,Amiri,18,https://assets.vogue.com/photos/65a9679d9e29241eb401337a/master/w_1280%2Cc_limit/00001-amiri-fall-2024-mens-credit-gorunway.jpg,Fall 2024 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/amiri
