season,designer,look_number,image_url,caption,source_url
spring-2027-menswear,Arnar Mar Jonsson,1,https://assets.vogue.com/photos/6a438fc46585eed77f4b6dd6/master/w_2560%2Cc_limit/00001-ranra-spring-2027-menswear-credit-george-eyres-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-menswear/arnar-mar-jonsson
spring-2027-menswear,Arnar Mar Jonsson,2,https://assets.vogue.com/photos/6a438fc432d31ab99564ad9e/master/w_2560%2Cc_limit/00002-ranra-spring-2027-menswear-credit-george-eyres-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-menswear/arnar-mar-jonsson
spring-2027-menswear,Arnar Mar Jonsson,3,https://assets.vogue.com/photos/6a438fc4a31d6fbb85f05658/master/w_2560%2Cc_limit/00003-ranra-spring-2027-menswear-credit-george-eyres-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-menswear/arnar-mar-jonsson
spring-2027-menswear,Arnar Mar Jonsson,4,https://assets.vogue.com/photos/6a438fc644d1c76d9a65e851/master/w_2560%2Cc_limit/00004-ranra-spring-2027-menswear-credit-george-eyres-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-menswear/arnar-mar-jonsson
spring-2027-menswear,Arnar Mar Jonsson,5,https://assets.vogue.com/photos/6a438fc6380f58b855662559/master/w_2560%2Cc_limit/00005-ranra-spring-2027-menswear-credit-george-eyres-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-menswear/arnar-mar-jonsson
spring-2027-menswear,Arnar Mar Jonsson,6,https://assets.vogue.com/photos/6a438fc67738beb65136d321/master/w_2560%2Cc_limit/00006-ranra-spring-2027-menswear-credit-george-eyres-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-menswear/arnar-mar-jonsson
spring-2027-menswear,Arnar Mar Jonsson,7,https://assets.vogue.com/photos/6a4390078a63821c5505f7d0/master/w_1280%2Cc_limit/00001-ranra-spring-2027-menswear-credit-george-eyres-brand.jpg,Spring 2027 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/arnar-mar-jonsson
spring-2027-menswear,Arnar Mar Jonsson,8,https://assets.vogue.com/photos/697c7bf5d0457bf987ad3dd9/master/w_1280%2Cc_limit/00001-ranra-fall-2026-ready-to-wear-copenhagen-credit-brand.jpg,Copenhagen Fall 2026,https://www.vogue.com/fashion-shows/spring-2027-menswear/arnar-mar-jonsson
spring-2027-menswear,Arnar Mar Jonsson,9,https://assets.vogue.com/photos/6890c8e98c0bddcb6c2bcc8c/master/w_1280%2Cc_limit/00001-ranra-spring-2026-ready-to-wear-copenhagen-credit-gorunway.jpg,Copenhagen Spring 2026,https://www.vogue.com/fashion-shows/spring-2027-menswear/arnar-mar-jonsson
spring-2027-menswear,Arnar Mar Jonsson,10,https://assets.vogue.com/photos/67b484de43d6d74f53ca366f/master/w_1280%2Cc_limit/00001-ranra-fall-2025-menswear-credit-brand.jpg,Fall 2025 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/arnar-mar-jonsson
spring-2027-menswear,Arnar Mar Jonsson,11,https://assets.vogue.com/photos/66729868c03e30af4ca6bcbb/master/w_1280%2Cc_limit/00001-ranra-spring-2025-menswear-credit-william-scarborough.jpg,Spring 2025 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/arnar-mar-jonsson
spring-2027-menswear,Arnar Mar Jonsson,12,https://assets.vogue.com/photos/65af854463dc938187fe85d9/master/w_1280%2Cc_limit/00011-ranra-fall-2024-mens-credit-brand.jpg,Fall 2024 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/arnar-mar-jonsson
