season,designer,look_number,image_url,caption,source_url
spring-2027-menswear,Bed Jw Ford,1,https://assets.vogue.com/photos/6a416eb74a680d32c1716d2e/master/w_2560%2Cc_limit/00001-bed-jw-ford-spring-2027-menswear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-menswear/bed-jw-ford
spring-2027-menswear,Bed Jw Ford,2,https://assets.vogue.com/photos/6a416eb713b40960bb81ca8c/master/w_2560%2Cc_limit/00002-bed-jw-ford-spring-2027-menswear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-menswear/bed-jw-ford
spring-2027-menswear,Bed Jw Ford,3,https://assets.vogue.com/photos/6a416eb75217055957f3b2a9/master/w_2560%2Cc_limit/00003-bed-jw-ford-spring-2027-menswear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-menswear/bed-jw-ford
spring-2027-menswear,Bed Jw Ford,4,https://assets.vogue.com/photos/6a416ebba5e55f251b58c26c/master/w_2560%2Cc_limit/00004-bed-jw-ford-spring-2027-menswear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-menswear/bed-jw-ford
spring-2027-menswear,Bed Jw Ford,5,https://assets.vogue.com/photos/6a416eba7b458d4f8167be07/master/w_2560%2Cc_limit/00005-bed-jw-ford-spring-2027-menswear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-menswear/bed-jw-ford
spring-2027-menswear,Bed Jw Ford,6,https://assets.vogue.com/photos/6a416ebbcf1779c1e5d57c36/master/w_2560%2Cc_limit/00006-bed-jw-ford-spring-2027-menswear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-menswear/bed-jw-ford
spring-2027-menswear,Bed Jw Ford,7,https://assets.vogue.com/photos/6a416f13db021300903f40fe/master/w_1280%2Cc_limit/00001-bed-jw-ford-spring-2027-menswear-credit-gorunway.jpg,Spring 2027 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/bed-jw-ford
spring-2027-menswear,Bed Jw Ford,8,https://assets.vogue.com/photos/69767a902b88a173485a1d82/master/w_1280%2Cc_limit/OBY01123.jpg,Fall 2026 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/bed-jw-ford
spring-2027-menswear,Bed Jw Ford,9,https://assets.vogue.com/photos/6861901c68c58a750793b326/master/w_1280%2Cc_limit/00001-bed-jw-ford-spring-2026-menswear-credit-brand.jpg,Spring 2026 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/bed-jw-ford
spring-2027-menswear,Bed Jw Ford,10,https://assets.vogue.com/photos/67937e1c8bab3b68f70e9888/master/w_1280%2Cc_limit/00001-bed-j-w-ford-fall-2025-menswear-credit-brand.jpg,Fall 2025 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/bed-jw-ford
spring-2027-menswear,Bed Jw Ford,11,https://assets.vogue.com/photos/66781dd7269297e854e895b1/master/w_1280%2Cc_limit/00001-bed-jw-ford-spring-2025-menswear-credit-gorunway.jpg,Spring 2025 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/bed-jw-ford
spring-2027-menswear,Bed Jw Ford,12,https://assets.vogue.com/photos/65ad6d73a16abb705eb0e813/master/w_1280%2Cc_limit/00001-bed-jw-ford-fall-2024-menswear-credit-gorunway.jpg,Fall 2024 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/bed-jw-ford
