season,designer,look_number,image_url,caption,source_url
spring-2027-menswear,Berluti,1,https://assets.vogue.com/photos/6a3bc1b0aba3348cd5db3d70/master/w_2560%2Cc_limit/00001-berluti-spring-2027-menswear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-menswear/berluti
spring-2027-menswear,Berluti,2,https://assets.vogue.com/photos/6a3bc1b0fb20c669e9e4473c/master/w_2560%2Cc_limit/00002-berluti-spring-2027-menswear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-menswear/berluti
spring-2027-menswear,Berluti,3,https://assets.vogue.com/photos/6a3bc1af1c05fc7ccf199819/master/w_2560%2Cc_limit/00003-berluti-spring-2027-menswear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-menswear/berluti
spring-2027-menswear,Berluti,4,https://assets.vogue.com/photos/6a3bc1b31ad57a5d40309968/master/w_2560%2Cc_limit/00004-berluti-spring-2027-menswear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-menswear/berluti
spring-2027-menswear,Berluti,5,https://assets.vogue.com/photos/6a3bc1b4a5e55f251b5899d0/master/w_2560%2Cc_limit/00005-berluti-spring-2027-menswear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-menswear/berluti
spring-2027-menswear,Berluti,6,https://assets.vogue.com/photos/6a3bc1b4e7349c94ffbe57d5/master/w_2560%2Cc_limit/00006-berluti-spring-2027-menswear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-menswear/berluti
spring-2027-menswear,Berluti,7,https://assets.vogue.com/photos/6a3bc233d1ddba749507b869/master/w_1280%2Cc_limit/00001-berluti-spring-2027-menswear-credit-brand.jpg,Spring 2027 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/berluti
spring-2027-menswear,Berluti,8,https://assets.vogue.com/photos/696fc202ff54c0289aa7431c/master/w_1280%2Cc_limit/00001-berluti-fall-2026-menswear-credit-brand.jpg,Fall 2026 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/berluti
spring-2027-menswear,Berluti,9,https://assets.vogue.com/photos/685abb204e93742a6ba9b204/master/w_1280%2Cc_limit/00001-berluti-spring-2026-menswear-credit-brand.jpg,Spring 2026 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/berluti
spring-2027-menswear,Berluti,10,https://assets.vogue.com/photos/678fae8bd181509318980deb/master/w_1280%2Cc_limit/00001-berluti-fall-2025-menswear-credit-brand.jpg,Fall 2025 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/berluti
spring-2027-menswear,Berluti,11,https://assets.vogue.com/photos/667293421edbd0dce81ef3f7/master/w_1280%2Cc_limit/00001-berluti-spring-2025-menswear-credit-brand.jpg,Spring 2025 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/berluti
spring-2027-menswear,Berluti,12,https://assets.vogue.com/photos/65a6eea3e2516e2adb9833ad/master/w_1280%2Cc_limit/00001-berluti-fall-2024-menswear-credit-brand.jpg,Fall 2024 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/berluti
