season,designer,look_number,image_url,caption,source_url
spring-2027-menswear,Canali,1,https://assets.vogue.com/photos/6a393e62148b98c597a2253b/master/w_2560%2Cc_limit/00001-canali-spring-2027-menswear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-menswear/canali
spring-2027-menswear,Canali,2,https://assets.vogue.com/photos/6a393e61c166d6fb9f53b2f8/master/w_2560%2Cc_limit/00002-canali-spring-2027-menswear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-menswear/canali
spring-2027-menswear,Canali,3,https://assets.vogue.com/photos/6a393e62a39154d4ff5ee82c/master/w_2560%2Cc_limit/00003-canali-spring-2027-menswear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-menswear/canali
spring-2027-menswear,Canali,4,https://assets.vogue.com/photos/6a393e64815d9fad91f197cb/master/w_2560%2Cc_limit/00004-canali-spring-2027-menswear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-menswear/canali
spring-2027-menswear,Canali,5,https://assets.vogue.com/photos/6a393e65187cb61636778f7a/master/w_2560%2Cc_limit/00005-canali-spring-2027-menswear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-menswear/canali
spring-2027-menswear,Canali,6,https://assets.vogue.com/photos/6a393e659d115f69a9cadbfa/master/w_2560%2Cc_limit/00006-canali-spring-2027-menswear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-menswear/canali
spring-2027-menswear,Canali,7,https://assets.vogue.com/photos/6a393ebab9bb88869f469b3c/master/w_1280%2Cc_limit/00001-canali-spring-2027-menswear-credit-brand.jpg,Spring 2027 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/canali
spring-2027-menswear,Canali,8,https://assets.vogue.com/photos/696ce80daa7efa7ffd0c9dce/master/w_1280%2Cc_limit/00001-canali-fall-2026-menswear-credit-brand.jpg,Fall 2026 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/canali
spring-2027-menswear,Canali,9,https://assets.vogue.com/photos/6858159c1f31502deb6c6936/master/w_1280%2Cc_limit/00001-canali-spring-2026-menswear-credit-brand.jpg,Spring 2026 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/canali
spring-2027-menswear,Canali,10,https://assets.vogue.com/photos/67896c53ee45ffd654d2c2d3/master/w_1280%2Cc_limit/00001-canali-fall-2025-menswear-credit-brand.jpg,Fall 2025 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/canali
spring-2027-menswear,Canali,11,https://assets.vogue.com/photos/666ec45acaf11517333724eb/master/w_1280%2Cc_limit/00001-canali-spring-2025-menswear-credit-brand.jpg,Spring 2025 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/canali
spring-2027-menswear,Canali,12,https://assets.vogue.com/photos/5f6a6bbfacc1f016d8410424/master/w_1280%2Cc_limit/00001-Canali-Menswear-Spring-2021.jpg,Spring 2021 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/canali
